<<<<<<< HEAD
Name: angerville-1
Location: 48.3201 , 2.0284
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.55,316
2020/07/24 03:00UTC,3.14,316
2020/07/24 06:00UTC,2.80,317
2020/07/24 09:00UTC,2.49,302
2020/07/24 12:00UTC,3.96,283
2020/07/24 15:00UTC,4.07,282
2020/07/24 18:00UTC,3.41,289
2020/07/24 21:00UTC,1.41,287
2020/07/25 00:00UTC,1.94,274
2020/07/25 03:00UTC,2.65,251
2020/07/25 06:00UTC,3.22,237
2020/07/25 09:00UTC,5.15,234
2020/07/25 12:00UTC,5.29,235
2020/07/25 15:00UTC,5.44,242
2020/07/25 18:00UTC,4.66,246
2020/07/25 21:00UTC,2.83,259
2020/07/26 00:00UTC,4.63,237
2020/07/26 03:00UTC,4.50,236
2020/07/26 06:00UTC,5.02,240
2020/07/26 09:00UTC,5.16,267
2020/07/26 12:00UTC,4.97,263
2020/07/26 15:00UTC,4.97,270
2020/07/26 18:00UTC,2.85,283
2020/07/26 21:00UTC,2.22,341
2020/07/27 00:00UTC,1.35,25
2020/07/27 03:00UTC,1.84,91
2020/07/27 06:00UTC,1.73,147
2020/07/27 09:00UTC,4.03,209
2020/07/27 12:00UTC,5.02,218
2020/07/27 15:00UTC,6.01,234
2020/07/27 18:00UTC,3.95,250
2020/07/27 21:00UTC,3.97,259
2020/07/28 00:00UTC,4.18,262
2020/07/28 03:00UTC,3.52,240
2020/07/28 06:00UTC,4.33,256
2020/07/28 09:00UTC,3.83,281
2020/07/28 12:00UTC,3.79,271
2020/07/28 15:00UTC,4.38,288
2020/07/28 18:00UTC,4.16,321
2020/07/28 21:00UTC,3.98,340
2020/07/29 00:00UTC,2.44,339
2020/07/29 03:00UTC,2.26,323
2020/07/29 06:00UTC,2.03,325
2020/07/29 09:00UTC,1.46,289
2020/07/29 12:00UTC,2.33,278
2020/07/29 15:00UTC,2.13,291
2020/07/29 18:00UTC,0.67,338
2020/07/29 21:00UTC,2.79,346
2020/07/30 00:00UTC,2.43,54
2020/07/30 03:00UTC,2.16,72
2020/07/30 06:00UTC,2.05,85
2020/07/30 09:00UTC,2.08,101
2020/07/30 12:00UTC,1.76,110
2020/07/30 15:00UTC,1.71,111
2020/07/30 18:00UTC,2.31,76
2020/07/30 21:00UTC,3.63,85
2020/07/31 00:00UTC,3.49,91
2020/07/31 03:00UTC,3.01,91
2020/07/31 06:00UTC,3.22,99
2020/07/31 09:00UTC,2.77,144
2020/07/31 12:00UTC,3.83,212
2020/07/31 15:00UTC,5.09,230
2020/07/31 18:00UTC,2.56,236
2020/07/31 21:00UTC,3.22,309
2020/08/01 00:00UTC,2.82,214
2020/08/01 03:00UTC,4.00,240
