<<<<<<< HEAD
Name: angerville-2-b
Location: 48.3219 , 2.0306
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.83,330
2020/07/24 03:00UTC,2.84,322
2020/07/24 06:00UTC,2.15,313
2020/07/24 09:00UTC,1.42,270
2020/07/24 12:00UTC,3.50,254
2020/07/24 15:00UTC,4.18,267
2020/07/24 18:00UTC,2.23,279
2020/07/24 21:00UTC,1.79,279
2020/07/25 00:00UTC,2.91,237
2020/07/25 03:00UTC,4.07,242
2020/07/25 06:00UTC,3.90,231
2020/07/25 09:00UTC,4.32,230
2020/07/25 12:00UTC,5.72,228
2020/07/25 15:00UTC,6.36,230
2020/07/25 18:00UTC,5.07,235
2020/07/25 21:00UTC,5.61,254
2020/07/26 00:00UTC,5.63,242
2020/07/26 03:00UTC,4.91,249
2020/07/26 06:00UTC,3.63,276
2020/07/26 09:00UTC,3.45,275
2020/07/26 12:00UTC,4.19,257
2020/07/26 15:00UTC,3.99,262
2020/07/26 18:00UTC,3.04,287
2020/07/26 21:00UTC,2.19,326
2020/07/27 00:00UTC,0.85,20
2020/07/27 03:00UTC,1.38,318
2020/07/27 06:00UTC,0.61,333
2020/07/27 09:00UTC,0.91,251
2020/07/27 12:00UTC,1.51,240
2020/07/27 15:00UTC,2.64,258
2020/07/27 18:00UTC,3.03,263
2020/07/27 21:00UTC,2.92,279
2020/07/28 00:00UTC,3.03,276
2020/07/28 03:00UTC,2.49,292
2020/07/28 06:00UTC,1.81,295
2020/07/28 09:00UTC,1.52,286
2020/07/28 12:00UTC,2.11,277
2020/07/28 15:00UTC,3.75,308
2020/07/28 18:00UTC,4.93,348
2020/07/28 21:00UTC,4.61,352
2020/07/29 00:00UTC,3.97,350
2020/07/29 03:00UTC,3.05,345
2020/07/29 06:00UTC,2.67,342
2020/07/29 09:00UTC,2.83,349
2020/07/29 12:00UTC,2.51,356
2020/07/29 15:00UTC,1.78,17
2020/07/29 18:00UTC,3.69,13
2020/07/29 21:00UTC,5.18,359
2020/07/30 00:00UTC,4.38,16
2020/07/30 03:00UTC,3.70,39
2020/07/30 06:00UTC,3.45,49
2020/07/30 09:00UTC,3.81,50
2020/07/30 12:00UTC,3.47,50
2020/07/30 18:00UTC,4.16,23
2020/07/30 21:00UTC,5.13,57
2020/07/31 00:00UTC,4.85,43
2020/07/31 03:00UTC,4.44,48
2020/07/31 06:00UTC,4.08,59
2020/07/31 09:00UTC,4.59,64
2020/07/31 12:00UTC,4.15,63
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,1.66,21
1,2020-07-23 21:00:00,1.65,306
2,2020-07-24 00:00:00,3.11,339
3,2020-07-24 03:00:00,2.2,338
4,2020-07-24 06:00:00,1.72,312
5,2020-07-24 09:00:00,1.69,271
6,2020-07-24 12:00:00,3.58,254
7,2020-07-24 18:00:00,2.14,272
8,2020-07-24 21:00:00,1.62,248
9,2020-07-25 00:00:00,4.06,247
10,2020-07-25 03:00:00,4.04,237
11,2020-07-25 06:00:00,3.96,231
12,2020-07-25 09:00:00,4.56,233
13,2020-07-25 12:00:00,6.25,232
14,2020-07-25 15:00:00,6.79,238
15,2020-07-25 18:00:00,4.23,232
16,2020-07-26 06:00:00,3.46,258
17,2020-07-26 09:00:00,3.67,274
18,2020-07-26 12:00:00,4.18,255
19,2020-07-26 15:00:00,3.23,261
20,2020-07-26 18:00:00,3.99,296
21,2020-07-26 21:00:00,2.87,332
22,2020-07-27 03:00:00,1.8,350
23,2020-07-27 06:00:00,1.42,353
24,2020-07-27 12:00:00,0.85,230
25,2020-07-27 18:00:00,3.99,293
26,2020-07-27 21:00:00,1.53,257
27,2020-07-28 00:00:00,2.05,342
28,2020-07-28 03:00:00,0.28,76
29,2020-07-28 18:00:00,4.11,245
30,2020-07-28 21:00:00,4.15,319
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
