<<<<<<< HEAD
Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.70,306
2020/07/24 03:00UTC,2.87,326
2020/07/24 06:00UTC,1.89,329
2020/07/24 09:00UTC,1.25,274
2020/07/24 12:00UTC,2.47,247
2020/07/24 15:00UTC,4.50,269
2020/07/24 18:00UTC,2.55,289
2020/07/24 21:00UTC,1.52,280
2020/07/25 00:00UTC,2.36,223
2020/07/25 03:00UTC,3.80,241
2020/07/25 06:00UTC,3.81,229
2020/07/25 09:00UTC,3.87,230
2020/07/25 12:00UTC,5.29,222
2020/07/25 15:00UTC,5.26,235
2020/07/25 18:00UTC,4.02,233
2020/07/25 21:00UTC,5.08,256
2020/07/26 00:00UTC,5.08,247
2020/07/26 03:00UTC,5.04,238
2020/07/26 06:00UTC,3.94,263
2020/07/26 09:00UTC,3.78,281
2020/07/26 12:00UTC,3.93,278
2020/07/26 15:00UTC,2.72,264
2020/07/26 18:00UTC,3.80,293
2020/07/26 21:00UTC,2.40,305
2020/07/27 00:00UTC,0.86,7
2020/07/27 03:00UTC,0.78,237
2020/07/27 06:00UTC,0.96,251
2020/07/27 09:00UTC,1.37,255
2020/07/27 12:00UTC,1.61,264
2020/07/27 15:00UTC,2.06,237
2020/07/27 18:00UTC,3.18,256
2020/07/27 21:00UTC,2.20,295
2020/07/28 00:00UTC,1.72,289
2020/07/28 03:00UTC,1.96,292
2020/07/28 06:00UTC,1.27,281
2020/07/28 09:00UTC,1.51,283
2020/07/28 12:00UTC,1.76,275
2020/07/28 15:00UTC,3.41,283
2020/07/28 18:00UTC,4.81,348
2020/07/28 21:00UTC,4.93,351
2020/07/29 00:00UTC,3.90,354
2020/07/29 03:00UTC,3.30,349
2020/07/29 06:00UTC,2.62,351
2020/07/29 09:00UTC,2.41,352
2020/07/29 12:00UTC,2.53,5
2020/07/29 15:00UTC,3.13,358
2020/07/29 18:00UTC,2.25,2
2020/07/29 21:00UTC,3.99,13
2020/07/30 00:00UTC,4.16,36
2020/07/30 03:00UTC,3.95,48
2020/07/30 06:00UTC,3.61,51
2020/07/30 09:00UTC,3.75,47
2020/07/30 12:00UTC,3.64,43
2020/07/30 18:00UTC,4.18,38
2020/07/30 21:00UTC,5.19,52
2020/07/31 00:00UTC,4.42,46
2020/07/31 03:00UTC,4.30,52
2020/07/31 06:00UTC,4.04,61
2020/07/31 09:00UTC,4.29,62
2020/07/31 12:00UTC,3.70,50
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,2.05,360
1,2020-07-23 21:00:00,1.44,45
2,2020-07-24 00:00:00,2.82,318
3,2020-07-24 03:00:00,2.36,343
4,2020-07-24 06:00:00,1.64,327
5,2020-07-24 09:00:00,1.61,278
6,2020-07-24 12:00:00,2.79,253
7,2020-07-24 18:00:00,2.23,269
8,2020-07-24 21:00:00,1.99,229
9,2020-07-25 00:00:00,3.43,232
10,2020-07-25 03:00:00,3.79,238
11,2020-07-25 06:00:00,3.97,230
12,2020-07-25 09:00:00,4.35,233
13,2020-07-25 12:00:00,4.64,229
14,2020-07-25 15:00:00,4.93,235
15,2020-07-25 18:00:00,3.9,234
16,2020-07-26 06:00:00,3.98,240
17,2020-07-26 09:00:00,4.72,266
18,2020-07-26 12:00:00,4.57,269
19,2020-07-26 15:00:00,3.96,266
20,2020-07-26 18:00:00,3.12,292
21,2020-07-26 21:00:00,2.61,314
22,2020-07-27 03:00:00,1.29,360
23,2020-07-27 06:00:00,0.97,350
24,2020-07-27 12:00:00,1.1,297
25,2020-07-27 18:00:00,1.07,288
26,2020-07-27 21:00:00,1.5,315
27,2020-07-28 00:00:00,1.05,276
28,2020-07-28 03:00:00,0.34,236
29,2020-07-28 18:00:00,4.96,276
30,2020-07-28 21:00:00,3.69,283
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
