,Time,Speed(m/s),Direction (deg N)
0,2020-07-26 06:00:00,3.9,257
1,2020-07-26 09:00:00,4.75,269
2,2020-07-26 12:00:00,5.59,264
3,2020-07-26 15:00:00,4.68,272
4,2020-07-26 18:00:00,2.06,258
5,2020-07-26 21:00:00,0.88,246
6,2020-07-27 00:00:00,1.68,147
7,2020-07-27 03:00:00,2.37,173
8,2020-07-27 06:00:00,3.27,179
9,2020-07-27 09:00:00,5.2,208
10,2020-07-27 12:00:00,6.17,214
11,2020-07-27 15:00:00,7.48,241
12,2020-07-27 18:00:00,4.45,246
13,2020-07-27 21:00:00,3.96,259
14,2020-07-28 00:00:00,3.43,247
15,2020-07-28 03:00:00,3.27,260
16,2020-07-28 06:00:00,3.43,287
17,2020-07-28 09:00:00,3.17,280
18,2020-07-28 12:00:00,4.16,244
19,2020-07-28 15:00:00,4.44,270
20,2020-07-28 18:00:00,4.39,301
21,2020-07-28 21:00:00,3.63,326
22,2020-07-29 00:00:00,2.79,325
23,2020-07-29 03:00:00,2.35,306
24,2020-07-29 06:00:00,1.78,307
25,2020-07-29 09:00:00,1.99,360
26,2020-07-29 12:00:00,2.31,356
27,2020-07-29 15:00:00,2.23,11
28,2020-07-29 18:00:00,3.83,51
29,2020-07-29 21:00:00,3.36,55
30,2020-07-30 00:00:00,3.02,50
31,2020-07-30 03:00:00,2.95,61
32,2020-07-30 06:00:00,3.22,62
33,2020-07-30 09:00:00,4.66,74
34,2020-07-30 12:00:00,4.79,73
35,2020-07-30 15:00:00,4.23,73
36,2020-07-30 18:00:00,3.78,48
37,2020-07-30 21:00:00,3.88,52
38,2020-07-31 00:00:00,3.03,76
39,2020-07-31 03:00:00,2.73,72
40,2020-07-31 06:00:00,2.82,77
41,2020-07-31 09:00:00,3.14,88
42,2020-07-31 12:00:00,3.0,114
43,2020-07-31 15:00:00,1.46,62
44,2020-07-31 18:00:00,2.36,110
45,2020-07-31 21:00:00,0.95,47
46,2020-08-01 00:00:00,0.98,76
47,2020-08-01 03:00:00,0.86,19
48,2020-08-01 06:00:00,3.94,173
49,2020-08-01 09:00:00,2.81,224
50,2020-08-01 12:00:00,4.54,262
51,2020-08-01 15:00:00,5.09,268
52,2020-08-01 18:00:00,3.93,304
53,2020-08-01 21:00:00,3.83,330
54,2020-08-02 00:00:00,2.92,311
55,2020-08-02 03:00:00,2.98,279
56,2020-08-02 06:00:00,3.44,280
57,2020-08-02 09:00:00,3.35,303
58,2020-08-02 12:00:00,4.48,324
59,2020-08-02 15:00:00,4.8,325
60,2020-08-02 18:00:00,3.99,328
61,2020-08-02 21:00:00,3.45,349
62,2020-08-03 00:00:00,2.61,7
63,2020-08-03 03:00:00,1.53,19
64,2020-08-03 06:00:00,0.87,340
65,2020-08-03 09:00:00,1.41,314
66,2020-08-03 12:00:00,3.08,293
67,2020-08-03 15:00:00,3.26,293
68,2020-08-03 18:00:00,3.25,285
69,2020-08-03 21:00:00,2.67,290
70,2020-08-04 00:00:00,2.47,274
71,2020-08-04 03:00:00,2.73,239
72,2020-08-04 06:00:00,3.8,246
73,2020-08-04 09:00:00,4.81,268
74,2020-08-04 12:00:00,4.32,265
75,2020-08-04 15:00:00,4.52,292
76,2020-08-04 18:00:00,3.65,326
77,2020-08-04 21:00:00,1.83,331
78,2020-08-05 00:00:00,1.58,320
79,2020-08-05 03:00:00,1.05,328
80,2020-08-05 06:00:00,0.53,325
