Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.86,325
2020/07/24 03:00UTC,2.88,321
2020/07/24 06:00UTC,2.15,312
2020/07/24 09:00UTC,1.45,270
2020/07/24 12:00UTC,3.28,255
2020/07/24 15:00UTC,4.30,269
2020/07/24 18:00UTC,2.10,283
2020/07/24 21:00UTC,1.49,282
2020/07/25 00:00UTC,2.52,227
2020/07/25 03:00UTC,4.04,241
2020/07/25 06:00UTC,3.90,230
2020/07/25 09:00UTC,4.18,228
2020/07/25 12:00UTC,5.65,227
2020/07/25 15:00UTC,6.35,231
2020/07/25 18:00UTC,4.74,233
2020/07/25 21:00UTC,5.53,256
2020/07/26 00:00UTC,5.54,243
2020/07/26 03:00UTC,4.94,246
2020/07/26 06:00UTC,3.65,277
2020/07/26 09:00UTC,3.33,273
2020/07/26 12:00UTC,4.19,260
2020/07/26 15:00UTC,3.78,266
2020/07/26 18:00UTC,2.98,282
2020/07/26 21:00UTC,2.23,323
2020/07/27 00:00UTC,1.18,20
2020/07/27 03:00UTC,1.28,339
2020/07/27 06:00UTC,0.68,349
2020/07/27 09:00UTC,0.78,257
2020/07/27 12:00UTC,1.29,251
2020/07/27 15:00UTC,2.20,267
2020/07/27 18:00UTC,3.22,270
2020/07/27 21:00UTC,2.92,274
2020/07/28 00:00UTC,2.95,274
2020/07/28 03:00UTC,2.34,297
2020/07/28 06:00UTC,1.62,300
2020/07/28 09:00UTC,1.48,287
2020/07/28 12:00UTC,2.05,281
2020/07/28 15:00UTC,3.78,312
2020/07/28 18:00UTC,5.00,348
2020/07/28 21:00UTC,4.67,349
2020/07/29 00:00UTC,3.93,347
2020/07/29 03:00UTC,3.01,343
2020/07/29 06:00UTC,2.64,340
2020/07/29 09:00UTC,2.80,347
2020/07/29 12:00UTC,2.41,356
2020/07/29 15:00UTC,1.76,8
2020/07/29 18:00UTC,3.30,12
2020/07/29 21:00UTC,4.93,2
2020/07/30 00:00UTC,4.14,20
2020/07/30 03:00UTC,3.66,41
2020/07/30 06:00UTC,3.38,50
2020/07/30 09:00UTC,3.59,49
2020/07/30 12:00UTC,3.34,50
2020/07/30 18:00UTC,4.03,22
2020/07/30 21:00UTC,5.21,55
2020/07/31 00:00UTC,4.66,41
2020/07/31 03:00UTC,4.38,50
2020/07/31 06:00UTC,3.98,60
2020/07/31 09:00UTC,4.37,64
2020/07/31 12:00UTC,3.91,62
