,Time,Speed(m/s),Direction (deg N)
0,2020-07-25 06:00:00,2.4,227
1,2020-07-25 09:00:00,5.24,236
2,2020-07-25 12:00:00,5.69,231
3,2020-07-25 15:00:00,6.55,237
4,2020-07-25 18:00:00,3.45,227
5,2020-07-25 21:00:00,4.39,236
6,2020-07-26 00:00:00,4.84,242
7,2020-07-26 03:00:00,3.84,246
8,2020-07-26 06:00:00,3.66,249
9,2020-07-26 09:00:00,3.4,266
10,2020-07-26 12:00:00,4.67,269
11,2020-07-26 15:00:00,5.05,278
12,2020-07-26 18:00:00,3.09,278
13,2020-07-26 21:00:00,1.66,285
14,2020-07-27 00:00:00,0.6,10
15,2020-07-27 03:00:00,1.2,152
16,2020-07-27 06:00:00,2.36,178
17,2020-07-27 09:00:00,4.18,211
18,2020-07-27 12:00:00,5.17,216
19,2020-07-27 15:00:00,6.1,228
20,2020-07-27 18:00:00,3.78,235
21,2020-07-27 21:00:00,3.98,253
22,2020-07-28 00:00:00,3.73,248
23,2020-07-28 03:00:00,4.07,236
24,2020-07-28 06:00:00,4.54,252
25,2020-07-28 09:00:00,4.59,256
26,2020-07-28 12:00:00,5.41,260
27,2020-07-28 15:00:00,4.95,278
28,2020-07-28 18:00:00,3.61,284
29,2020-07-28 21:00:00,4.04,316
30,2020-07-29 00:00:00,3.14,321
31,2020-07-29 03:00:00,2.35,311
32,2020-07-29 06:00:00,2.12,311
33,2020-07-29 09:00:00,1.68,333
34,2020-07-29 12:00:00,2.01,310
35,2020-07-29 15:00:00,2.33,328
36,2020-07-29 18:00:00,2.16,334
37,2020-07-29 21:00:00,2.97,7
38,2020-07-30 00:00:00,3.16,39
39,2020-07-30 03:00:00,2.62,45
40,2020-07-30 06:00:00,2.64,58
41,2020-07-30 09:00:00,3.06,83
42,2020-07-30 12:00:00,3.2,69
43,2020-07-30 15:00:00,3.55,63
44,2020-07-30 18:00:00,3.54,69
45,2020-07-30 21:00:00,3.78,66
46,2020-07-31 00:00:00,3.33,65
47,2020-07-31 03:00:00,3.01,64
48,2020-07-31 06:00:00,3.63,66
49,2020-07-31 09:00:00,4.83,77
50,2020-07-31 12:00:00,5.46,80
51,2020-07-31 15:00:00,5.03,73
52,2020-07-31 18:00:00,4.14,65
53,2020-07-31 21:00:00,3.94,66
54,2020-08-01 00:00:00,3.31,82
55,2020-08-01 03:00:00,3.44,66
56,2020-08-01 06:00:00,2.92,86
57,2020-08-01 09:00:00,3.09,108
58,2020-08-01 12:00:00,2.13,132
59,2020-08-01 15:00:00,2.97,201
60,2020-08-01 18:00:00,2.65,241
61,2020-08-01 21:00:00,1.1,306
62,2020-08-02 00:00:00,1.32,189
63,2020-08-02 03:00:00,1.44,293
64,2020-08-02 06:00:00,2.81,300
65,2020-08-02 09:00:00,3.45,297
66,2020-08-02 12:00:00,4.38,292
67,2020-08-02 15:00:00,4.68,295
68,2020-08-02 18:00:00,3.69,314
69,2020-08-02 21:00:00,3.58,303
70,2020-08-03 00:00:00,3.52,308
71,2020-08-03 03:00:00,3.17,294
72,2020-08-03 06:00:00,2.93,308
73,2020-08-03 09:00:00,2.7,341
74,2020-08-03 12:00:00,3.15,6
75,2020-08-03 15:00:00,4.68,347
76,2020-08-03 18:00:00,3.54,340
77,2020-08-03 21:00:00,4.14,343
78,2020-08-04 00:00:00,3.01,345
79,2020-08-04 03:00:00,2.92,332
80,2020-08-04 06:00:00,2.45,327
