Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.98,305
2020/07/24 03:00UTC,3.18,293
2020/07/24 06:00UTC,2.81,276
2020/07/24 09:00UTC,3.58,281
2020/07/24 12:00UTC,3.89,259
2020/07/24 15:00UTC,3.46,318
2020/07/24 18:00UTC,1.60,304
2020/07/24 21:00UTC,1.34,334
2020/07/25 00:00UTC,0.66,254
2020/07/25 03:00UTC,2.02,261
2020/07/25 06:00UTC,3.13,228
2020/07/25 09:00UTC,5.17,226
2020/07/25 12:00UTC,5.78,234
2020/07/25 15:00UTC,6.66,233
2020/07/25 18:00UTC,5.28,238
2020/07/25 21:00UTC,5.79,232
2020/07/26 00:00UTC,5.23,235
2020/07/26 03:00UTC,4.66,279
2020/07/26 06:00UTC,4.42,273
2020/07/26 09:00UTC,5.18,272
2020/07/26 12:00UTC,3.28,290
2020/07/26 15:00UTC,3.75,290
2020/07/26 18:00UTC,4.10,314
2020/07/26 21:00UTC,2.45,324
2020/07/27 00:00UTC,1.92,324
2020/07/27 03:00UTC,1.15,304
2020/07/27 06:00UTC,0.42,237
2020/07/27 09:00UTC,1.07,220
2020/07/27 12:00UTC,1.75,192
2020/07/27 15:00UTC,3.28,206
2020/07/27 18:00UTC,4.49,221
2020/07/27 21:00UTC,3.94,237
2020/07/28 00:00UTC,3.14,311
2020/07/28 03:00UTC,2.65,294
2020/07/28 06:00UTC,2.41,286
2020/07/28 09:00UTC,2.77,274
2020/07/28 12:00UTC,3.63,303
2020/07/28 15:00UTC,5.74,334
2020/07/28 18:00UTC,4.63,333
2020/07/28 21:00UTC,3.73,333
2020/07/29 00:00UTC,3.39,324
2020/07/29 03:00UTC,2.44,317
2020/07/29 06:00UTC,1.92,310
2020/07/29 09:00UTC,2.19,320
2020/07/29 12:00UTC,1.39,322
2020/07/29 15:00UTC,5.26,349
2020/07/29 18:00UTC,5.29,346
2020/07/29 21:00UTC,4.11,356
2020/07/30 00:00UTC,3.68,15
2020/07/30 03:00UTC,2.70,35
2020/07/30 06:00UTC,2.27,54
2020/07/30 09:00UTC,2.85,61
2020/07/30 12:00UTC,2.96,52
2020/07/30 18:00UTC,2.07,47
2020/07/30 21:00UTC,5.22,45
2020/07/31 00:00UTC,5.07,46
2020/07/31 03:00UTC,4.38,55
2020/07/31 06:00UTC,3.84,64
2020/07/31 09:00UTC,4.47,66
2020/07/31 12:00UTC,4.35,59
