<<<<<<< HEAD
Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.56,331
2020/07/24 03:00UTC,2.56,286
2020/07/24 06:00UTC,2.23,268
2020/07/24 09:00UTC,3.23,280
2020/07/24 12:00UTC,4.11,275
2020/07/24 15:00UTC,3.53,287
2020/07/24 18:00UTC,2.70,278
2020/07/24 21:00UTC,1.34,307
2020/07/25 00:00UTC,1.03,230
2020/07/25 03:00UTC,1.78,232
2020/07/25 06:00UTC,2.38,239
2020/07/25 09:00UTC,4.50,227
2020/07/25 12:00UTC,5.44,234
2020/07/25 15:00UTC,6.49,240
2020/07/25 18:00UTC,3.49,268
2020/07/25 21:00UTC,4.26,239
2020/07/26 00:00UTC,5.03,237
2020/07/26 03:00UTC,4.08,246
2020/07/26 06:00UTC,3.53,272
2020/07/26 09:00UTC,4.91,272
2020/07/26 12:00UTC,4.77,263
2020/07/26 15:00UTC,4.40,276
2020/07/26 18:00UTC,3.07,286
2020/07/26 21:00UTC,1.80,326
2020/07/27 00:00UTC,0.34,77
2020/07/27 03:00UTC,0.90,81
2020/07/27 06:00UTC,1.60,119
2020/07/27 09:00UTC,3.73,182
2020/07/27 12:00UTC,4.69,221
2020/07/27 15:00UTC,4.98,239
2020/07/27 18:00UTC,3.99,246
2020/07/27 21:00UTC,4.24,248
2020/07/28 00:00UTC,4.74,249
2020/07/28 03:00UTC,4.15,256
2020/07/28 06:00UTC,4.72,274
2020/07/28 09:00UTC,4.26,283
2020/07/28 12:00UTC,5.25,282
2020/07/28 15:00UTC,5.20,303
2020/07/28 18:00UTC,4.99,316
2020/07/28 21:00UTC,3.00,311
2020/07/29 00:00UTC,1.95,288
2020/07/29 03:00UTC,2.20,267
2020/07/29 06:00UTC,1.83,273
2020/07/29 09:00UTC,1.99,286
2020/07/29 12:00UTC,2.48,300
2020/07/29 15:00UTC,3.24,312
2020/07/29 18:00UTC,3.54,339
2020/07/29 21:00UTC,2.74,14
2020/07/30 00:00UTC,2.27,43
2020/07/30 03:00UTC,1.86,46
2020/07/30 06:00UTC,1.59,48
2020/07/30 09:00UTC,1.98,107
2020/07/30 12:00UTC,1.36,116
2020/07/30 15:00UTC,1.31,107
2020/07/30 18:00UTC,2.23,52
2020/07/30 21:00UTC,3.10,72
2020/07/31 00:00UTC,2.57,101
2020/07/31 03:00UTC,2.02,91
2020/07/31 06:00UTC,2.72,100
2020/07/31 09:00UTC,3.57,118
2020/07/31 12:00UTC,3.38,169
2020/07/31 15:00UTC,4.20,220
2020/07/31 18:00UTC,2.97,249
2020/07/31 21:00UTC,3.39,333
2020/08/01 00:00UTC,0.92,135
2020/08/01 03:00UTC,3.42,243
2020/08/01 06:00UTC,4.03,247
2020/08/01 09:00UTC,4.97,229
2020/08/01 12:00UTC,6.58,237
2020/08/01 15:00UTC,8.11,233
2020/08/01 18:00UTC,7.03,245
2020/08/01 21:00UTC,5.53,240
2020/08/02 00:00UTC,6.15,238
2020/08/02 03:00UTC,5.76,229
2020/08/02 06:00UTC,5.60,234
2020/08/02 09:00UTC,7.74,239
2020/08/02 12:00UTC,7.46,246
2020/08/02 15:00UTC,6.97,258
2020/08/02 18:00UTC,6.94,267
2020/08/02 21:00UTC,5.31,251
2020/08/03 00:00UTC,5.54,251
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,2.65,281
1,2020-07-23 21:00:00,1.96,297
2,2020-07-24 00:00:00,2.45,328
3,2020-07-24 03:00:00,2.12,284
4,2020-07-24 06:00:00,2.17,267
5,2020-07-24 09:00:00,3.01,279
6,2020-07-24 12:00:00,4.04,268
7,2020-07-24 15:00:00,4.15,279
8,2020-07-24 18:00:00,3.07,279
9,2020-07-24 21:00:00,1.61,318
10,2020-07-25 00:00:00,0.83,252
11,2020-07-25 03:00:00,1.76,251
12,2020-07-25 06:00:00,1.79,234
13,2020-07-25 09:00:00,3.83,225
14,2020-07-25 12:00:00,5.33,231
15,2020-07-25 15:00:00,6.14,239
16,2020-07-25 18:00:00,4.52,246
17,2020-07-25 21:00:00,2.49,221
18,2020-07-26 00:00:00,6.49,235
19,2020-07-26 03:00:00,5.0,241
20,2020-07-26 06:00:00,4.28,266
21,2020-07-26 09:00:00,5.33,274
22,2020-07-26 12:00:00,4.59,257
23,2020-07-26 15:00:00,4.55,266
24,2020-07-26 18:00:00,3.16,291
25,2020-07-26 21:00:00,1.92,333
26,2020-07-27 00:00:00,0.47,283
27,2020-07-27 03:00:00,0.4,285
28,2020-07-27 06:00:00,0.67,103
29,2020-07-27 09:00:00,3.17,172
30,2020-07-27 12:00:00,4.64,204
31,2020-07-27 15:00:00,5.0,232
32,2020-07-27 18:00:00,3.32,240
33,2020-07-27 21:00:00,2.06,225
34,2020-07-28 00:00:00,3.0,254
35,2020-07-28 03:00:00,2.69,239
36,2020-07-28 06:00:00,2.98,237
37,2020-07-28 09:00:00,5.09,242
38,2020-07-28 12:00:00,4.96,228
39,2020-07-28 15:00:00,5.31,247
40,2020-07-28 18:00:00,4.64,315
41,2020-07-28 21:00:00,2.68,312
42,2020-07-29 00:00:00,2.63,304
43,2020-07-29 03:00:00,2.88,281
44,2020-07-29 06:00:00,3.09,279
45,2020-07-29 09:00:00,4.14,296
46,2020-07-29 12:00:00,4.14,300
47,2020-07-29 15:00:00,3.53,307
48,2020-07-29 18:00:00,2.5,342
49,2020-07-29 21:00:00,2.65,355
50,2020-07-30 00:00:00,2.04,7
51,2020-07-30 03:00:00,1.17,360
52,2020-07-30 06:00:00,1.14,354
53,2020-07-30 09:00:00,1.63,44
54,2020-07-30 12:00:00,1.15,61
55,2020-07-30 15:00:00,1.69,71
56,2020-07-30 18:00:00,2.42,42
57,2020-07-30 21:00:00,3.66,59
58,2020-07-31 00:00:00,3.18,89
59,2020-07-31 03:00:00,2.72,96
60,2020-07-31 06:00:00,2.87,113
61,2020-07-31 09:00:00,3.17,126
62,2020-07-31 12:00:00,2.88,131
63,2020-07-31 15:00:00,2.4,175
64,2020-07-31 18:00:00,1.71,187
65,2020-07-31 21:00:00,2.52,204
66,2020-08-01 00:00:00,3.65,260
