<<<<<<< HEAD
Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.99,321
2020/07/24 03:00UTC,2.83,316
2020/07/24 06:00UTC,2.19,303
2020/07/24 09:00UTC,1.69,265
2020/07/24 12:00UTC,3.33,249
2020/07/24 15:00UTC,4.66,279
2020/07/24 18:00UTC,1.86,297
2020/07/24 21:00UTC,0.81,314
2020/07/25 00:00UTC,1.65,191
2020/07/25 03:00UTC,3.58,238
2020/07/25 06:00UTC,3.69,228
2020/07/25 09:00UTC,4.19,225
2020/07/25 12:00UTC,5.00,222
2020/07/25 15:00UTC,6.39,231
2020/07/25 18:00UTC,4.00,226
2020/07/25 21:00UTC,5.29,260
2020/07/26 00:00UTC,5.33,242
2020/07/26 03:00UTC,4.78,242
2020/07/26 06:00UTC,3.78,281
2020/07/26 09:00UTC,3.34,268
2020/07/26 12:00UTC,3.54,267
2020/07/26 15:00UTC,3.70,281
2020/07/26 18:00UTC,2.53,278
2020/07/26 21:00UTC,2.42,316
2020/07/27 00:00UTC,1.61,1
2020/07/27 03:00UTC,1.55,1
2020/07/27 06:00UTC,1.02,10
2020/07/27 09:00UTC,0.50,283
2020/07/27 12:00UTC,0.91,268
2020/07/27 15:00UTC,1.14,280
2020/07/27 18:00UTC,3.33,285
2020/07/27 21:00UTC,3.13,256
2020/07/28 00:00UTC,3.14,274
2020/07/28 03:00UTC,2.30,309
2020/07/28 06:00UTC,1.48,311
2020/07/28 09:00UTC,1.40,283
2020/07/28 12:00UTC,2.15,284
2020/07/28 15:00UTC,4.47,322
2020/07/28 18:00UTC,5.05,345
2020/07/28 21:00UTC,4.57,342
2020/07/29 00:00UTC,3.68,342
2020/07/29 03:00UTC,2.81,334
2020/07/29 06:00UTC,2.38,333
2020/07/29 09:00UTC,2.60,337
2020/07/29 12:00UTC,2.03,343
2020/07/29 15:00UTC,2.28,348
2020/07/29 18:00UTC,2.11,9
2020/07/29 21:00UTC,4.68,9
2020/07/30 00:00UTC,3.72,34
2020/07/30 03:00UTC,3.56,47
2020/07/30 06:00UTC,3.14,54
2020/07/30 09:00UTC,3.09,49
2020/07/30 12:00UTC,2.93,48
2020/07/30 18:00UTC,3.84,40
2020/07/30 21:00UTC,4.85,46
2020/07/31 00:00UTC,4.35,41
2020/07/31 03:00UTC,4.36,55
2020/07/31 06:00UTC,3.86,62
2020/07/31 09:00UTC,3.99,61
2020/07/31 12:00UTC,3.56,58
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,1.71,331
1,2020-07-23 21:00:00,0.93,22
2,2020-07-24 00:00:00,3.27,330
3,2020-07-24 03:00:00,2.03,326
4,2020-07-24 06:00:00,1.77,301
5,2020-07-24 09:00:00,1.96,267
6,2020-07-24 12:00:00,3.52,256
7,2020-07-24 18:00:00,1.8,309
8,2020-07-24 21:00:00,0.16,144
9,2020-07-25 00:00:00,2.5,215
10,2020-07-25 03:00:00,3.95,235
11,2020-07-25 06:00:00,3.92,230
12,2020-07-25 09:00:00,4.17,227
13,2020-07-25 12:00:00,5.15,228
14,2020-07-25 15:00:00,5.86,233
15,2020-07-25 18:00:00,3.44,234
16,2020-07-26 06:00:00,3.67,257
17,2020-07-26 09:00:00,4.08,276
18,2020-07-26 12:00:00,2.99,270
19,2020-07-26 15:00:00,5.16,269
20,2020-07-26 18:00:00,4.06,320
21,2020-07-26 21:00:00,2.97,341
22,2020-07-27 03:00:00,2.02,339
23,2020-07-27 06:00:00,1.58,338
24,2020-07-27 12:00:00,0.94,228
25,2020-07-27 18:00:00,1.96,120
26,2020-07-27 21:00:00,1.76,279
27,2020-07-28 00:00:00,2.42,337
28,2020-07-28 03:00:00,0.56,20
29,2020-07-28 18:00:00,4.54,275
30,2020-07-28 21:00:00,4.57,317
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
