<<<<<<< HEAD
Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.01,306
2020/07/24 03:00UTC,2.24,326
2020/07/24 06:00UTC,2.41,297
2020/07/24 09:00UTC,2.76,287
2020/07/24 12:00UTC,3.82,276
2020/07/24 15:00UTC,4.08,286
2020/07/24 18:00UTC,3.55,290
2020/07/24 21:00UTC,1.75,279
2020/07/25 00:00UTC,1.28,247
2020/07/25 03:00UTC,1.97,234
2020/07/25 06:00UTC,3.47,241
2020/07/25 09:00UTC,5.11,230
2020/07/25 12:00UTC,5.29,230
2020/07/25 15:00UTC,5.76,238
2020/07/25 18:00UTC,4.44,245
2020/07/25 21:00UTC,2.66,259
2020/07/26 00:00UTC,3.97,227
2020/07/26 03:00UTC,4.28,236
2020/07/26 06:00UTC,4.54,232
2020/07/26 09:00UTC,5.14,270
2020/07/26 12:00UTC,5.28,265
2020/07/26 15:00UTC,4.74,272
2020/07/26 18:00UTC,3.26,281
2020/07/26 21:00UTC,1.73,319
2020/07/27 00:00UTC,1.55,65
2020/07/27 03:00UTC,1.89,82
2020/07/27 06:00UTC,1.86,129
2020/07/27 09:00UTC,3.75,199
2020/07/27 12:00UTC,4.93,218
2020/07/27 15:00UTC,5.56,232
2020/07/27 18:00UTC,3.37,234
2020/07/27 21:00UTC,3.74,255
2020/07/28 00:00UTC,3.81,261
2020/07/28 03:00UTC,3.39,243
2020/07/28 06:00UTC,4.51,250
2020/07/28 09:00UTC,4.08,277
2020/07/28 12:00UTC,3.72,272
2020/07/28 15:00UTC,4.37,285
2020/07/28 18:00UTC,3.57,313
2020/07/28 21:00UTC,3.14,333
2020/07/29 00:00UTC,1.71,323
2020/07/29 03:00UTC,1.45,294
2020/07/29 06:00UTC,1.52,299
2020/07/29 09:00UTC,1.52,271
2020/07/29 12:00UTC,2.39,282
2020/07/29 15:00UTC,1.92,283
2020/07/29 18:00UTC,1.52,294
2020/07/29 21:00UTC,3.42,40
2020/07/30 00:00UTC,2.89,59
2020/07/30 03:00UTC,2.03,73
2020/07/30 06:00UTC,2.07,77
2020/07/30 09:00UTC,2.19,102
2020/07/30 12:00UTC,1.81,108
2020/07/30 15:00UTC,1.77,94
2020/07/30 18:00UTC,3.40,67
2020/07/30 21:00UTC,3.32,86
2020/07/31 00:00UTC,3.52,97
2020/07/31 03:00UTC,2.84,99
2020/07/31 06:00UTC,3.30,97
2020/07/31 09:00UTC,4.07,104
2020/07/31 12:00UTC,2.78,171
2020/07/31 15:00UTC,4.58,227
2020/07/31 18:00UTC,3.55,250
2020/07/31 21:00UTC,1.88,254
2020/08/01 00:00UTC,3.09,179
2020/08/01 03:00UTC,3.91,220
2020/08/01 06:00UTC,3.89,241
2020/08/01 09:00UTC,4.38,230
2020/08/01 12:00UTC,6.51,216
2020/08/01 15:00UTC,7.69,225
2020/08/01 18:00UTC,7.57,241
2020/08/01 21:00UTC,6.06,242
2020/08/02 00:00UTC,6.64,240
2020/08/02 03:00UTC,5.55,235
2020/08/02 06:00UTC,5.93,233
2020/08/02 09:00UTC,7.87,243
2020/08/02 12:00UTC,8.07,253
2020/08/02 15:00UTC,5.69,258
2020/08/02 18:00UTC,4.24,260
2020/08/02 21:00UTC,5.22,258
2020/08/03 00:00UTC,4.53,250
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,1.11,264
1,2020-07-23 21:00:00,1.82,28
2,2020-07-24 00:00:00,2.03,300
3,2020-07-24 03:00:00,2.04,329
4,2020-07-24 06:00:00,1.85,313
5,2020-07-24 09:00:00,2.72,288
6,2020-07-24 12:00:00,3.68,277
7,2020-07-24 15:00:00,4.04,282
8,2020-07-24 18:00:00,3.94,294
9,2020-07-24 21:00:00,1.68,277
10,2020-07-25 00:00:00,0.64,255
11,2020-07-25 03:00:00,1.82,225
12,2020-07-25 06:00:00,2.85,234
13,2020-07-25 09:00:00,4.3,237
14,2020-07-25 12:00:00,4.74,226
15,2020-07-25 15:00:00,6.03,239
16,2020-07-25 18:00:00,4.32,236
17,2020-07-25 21:00:00,2.73,224
18,2020-07-26 00:00:00,4.57,238
19,2020-07-26 03:00:00,4.8,242
20,2020-07-26 06:00:00,5.15,244
21,2020-07-26 09:00:00,5.28,265
22,2020-07-26 12:00:00,5.09,264
23,2020-07-26 15:00:00,4.87,273
24,2020-07-26 18:00:00,3.28,291
25,2020-07-26 21:00:00,1.49,306
