<<<<<<< HEAD
Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.61,317
2020/07/24 03:00UTC,3.20,317
2020/07/24 06:00UTC,2.83,317
2020/07/24 09:00UTC,2.52,302
2020/07/24 12:00UTC,4.02,283
2020/07/24 15:00UTC,4.09,282
2020/07/24 18:00UTC,3.33,289
2020/07/24 21:00UTC,1.36,288
2020/07/25 00:00UTC,1.95,274
2020/07/25 03:00UTC,2.69,251
2020/07/25 06:00UTC,3.24,236
2020/07/25 09:00UTC,5.17,233
2020/07/25 12:00UTC,5.35,236
2020/07/25 15:00UTC,5.49,242
2020/07/25 18:00UTC,4.66,249
2020/07/25 21:00UTC,2.80,258
2020/07/26 00:00UTC,4.73,237
2020/07/26 03:00UTC,4.57,237
2020/07/26 06:00UTC,5.01,242
2020/07/26 09:00UTC,5.14,268
2020/07/26 12:00UTC,4.92,264
2020/07/26 15:00UTC,4.96,270
2020/07/26 18:00UTC,2.89,282
2020/07/26 21:00UTC,2.30,341
2020/07/27 00:00UTC,1.37,23
2020/07/27 03:00UTC,1.85,90
2020/07/27 06:00UTC,1.78,144
2020/07/27 09:00UTC,4.08,209
2020/07/27 12:00UTC,5.09,218
2020/07/27 15:00UTC,6.06,233
2020/07/27 18:00UTC,4.03,250
2020/07/27 21:00UTC,4.01,258
2020/07/28 00:00UTC,4.27,262
2020/07/28 03:00UTC,3.53,240
2020/07/28 06:00UTC,4.30,257
2020/07/28 09:00UTC,3.82,284
2020/07/28 12:00UTC,3.85,272
2020/07/28 15:00UTC,4.44,288
2020/07/28 18:00UTC,4.34,323
2020/07/28 21:00UTC,3.99,340
2020/07/29 00:00UTC,2.51,338
2020/07/29 03:00UTC,2.33,322
2020/07/29 06:00UTC,2.06,324
2020/07/29 09:00UTC,1.51,289
2020/07/29 12:00UTC,2.31,277
2020/07/29 15:00UTC,2.12,290
2020/07/29 18:00UTC,0.71,342
2020/07/29 21:00UTC,2.96,346
2020/07/30 00:00UTC,2.42,52
2020/07/30 03:00UTC,2.19,71
2020/07/30 06:00UTC,2.07,85
2020/07/30 09:00UTC,2.09,102
2020/07/30 12:00UTC,1.78,112
2020/07/30 15:00UTC,1.72,115
2020/07/30 18:00UTC,2.16,78
2020/07/30 21:00UTC,3.61,86
2020/07/31 00:00UTC,3.47,92
2020/07/31 03:00UTC,3.02,91
2020/07/31 06:00UTC,3.27,100
2020/07/31 09:00UTC,2.80,145
2020/07/31 12:00UTC,4.00,212
2020/07/31 15:00UTC,5.12,230
2020/07/31 18:00UTC,2.52,232
2020/07/31 21:00UTC,3.39,312
2020/08/01 00:00UTC,2.67,215
2020/08/01 03:00UTC,4.04,242
2020/08/01 06:00UTC,4.41,237
2020/08/01 09:00UTC,5.41,231
2020/08/01 12:00UTC,8.15,230
2020/08/01 15:00UTC,8.79,233
2020/08/01 18:00UTC,7.31,240
2020/08/01 21:00UTC,6.62,237
2020/08/02 00:00UTC,6.21,238
2020/08/02 03:00UTC,5.43,235
2020/08/02 06:00UTC,6.16,247
2020/08/02 09:00UTC,8.04,243
2020/08/02 12:00UTC,7.77,255
2020/08/02 15:00UTC,6.46,254
2020/08/02 18:00UTC,6.99,265
2020/08/02 21:00UTC,4.79,254
2020/08/03 00:00UTC,4.87,251
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,2.72,283
1,2020-07-23 21:00:00,1.99,331
2,2020-07-24 00:00:00,2.89,313
3,2020-07-24 03:00:00,3.4,324
4,2020-07-24 06:00:00,2.78,319
5,2020-07-24 09:00:00,2.6,303
6,2020-07-24 12:00:00,4.05,280
7,2020-07-24 15:00:00,4.49,281
8,2020-07-24 18:00:00,3.0,294
9,2020-07-24 21:00:00,2.01,292
10,2020-07-25 00:00:00,1.71,290
11,2020-07-25 03:00:00,2.12,244
12,2020-07-25 06:00:00,2.75,241
13,2020-07-25 09:00:00,4.33,234
14,2020-07-25 12:00:00,5.19,237
15,2020-07-25 15:00:00,5.39,235
16,2020-07-25 18:00:00,4.89,240
17,2020-07-25 21:00:00,3.33,228
18,2020-07-26 00:00:00,5.35,240
19,2020-07-26 03:00:00,5.14,239
20,2020-07-26 06:00:00,5.27,255
21,2020-07-26 09:00:00,4.93,269
22,2020-07-26 12:00:00,4.86,260
23,2020-07-26 15:00:00,5.15,269
24,2020-07-26 18:00:00,3.79,286
25,2020-07-26 21:00:00,2.04,328
26,2020-07-27 00:00:00,1.34,355
27,2020-07-27 03:00:00,1.33,99
28,2020-07-27 06:00:00,1.5,142
29,2020-07-27 09:00:00,2.87,194
30,2020-07-27 12:00:00,4.41,214
31,2020-07-27 15:00:00,4.74,227
32,2020-07-27 18:00:00,2.88,235
33,2020-07-27 21:00:00,2.56,208
34,2020-07-28 00:00:00,3.11,274
35,2020-07-28 03:00:00,2.73,245
36,2020-07-28 06:00:00,3.01,250
37,2020-07-28 09:00:00,3.52,242
38,2020-07-28 12:00:00,4.42,239
39,2020-07-28 15:00:00,5.09,243
40,2020-07-28 18:00:00,3.83,276
41,2020-07-28 21:00:00,3.6,323
42,2020-07-29 00:00:00,2.67,319
43,2020-07-29 03:00:00,3.36,319
44,2020-07-29 06:00:00,3.22,300
45,2020-07-29 09:00:00,3.31,306
46,2020-07-29 12:00:00,3.63,292
47,2020-07-29 15:00:00,3.94,310
48,2020-07-29 18:00:00,4.72,338
49,2020-07-29 21:00:00,3.09,359
50,2020-07-30 00:00:00,2.24,7
51,2020-07-30 03:00:00,2.03,23
52,2020-07-30 06:00:00,2.16,28
53,2020-07-30 09:00:00,2.62,47
54,2020-07-30 12:00:00,2.34,71
55,2020-07-30 15:00:00,2.61,76
56,2020-07-30 18:00:00,2.4,71
57,2020-07-30 21:00:00,3.62,82
58,2020-07-31 00:00:00,3.68,87
59,2020-07-31 03:00:00,3.13,90
60,2020-07-31 06:00:00,3.42,99
61,2020-07-31 09:00:00,3.6,109
62,2020-07-31 12:00:00,2.66,145
63,2020-07-31 15:00:00,3.16,230
64,2020-07-31 18:00:00,1.94,225
65,2020-07-31 21:00:00,2.48,211
66,2020-08-01 00:00:00,3.21,257
67,2020-08-01 03:00:00,2.93,262
68,2020-08-01 06:00:00,4.0,238
69,2020-08-01 09:00:00,5.3,237
70,2020-08-01 12:00:00,6.78,240
71,2020-08-01 15:00:00,7.17,250
72,2020-08-01 18:00:00,6.18,277
73,2020-08-01 21:00:00,4.02,263
74,2020-08-02 00:00:00,4.81,254
75,2020-08-02 03:00:00,4.39,250
76,2020-08-02 06:00:00,4.56,246
77,2020-08-02 09:00:00,6.13,247
78,2020-08-02 12:00:00,6.1,248
79,2020-08-02 15:00:00,6.26,240
80,2020-08-02 18:00:00,4.74,252
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
