,Time,Speed(m/s),Direction (deg N)
0,2020-07-25 00:00:00,0.5,139
1,2020-07-25 03:00:00,2.25,227
2,2020-07-25 06:00:00,2.8,230
3,2020-07-25 09:00:00,3.56,223
4,2020-07-25 12:00:00,3.57,219
5,2020-07-25 15:00:00,4.6,214
6,2020-07-25 18:00:00,4.32,231
7,2020-07-25 21:00:00,4.47,231
8,2020-07-26 00:00:00,5.5,237
9,2020-07-26 03:00:00,5.14,234
10,2020-07-26 06:00:00,4.91,236
11,2020-07-26 09:00:00,6.09,254
12,2020-07-26 12:00:00,6.07,263
13,2020-07-26 15:00:00,5.64,271
14,2020-07-26 18:00:00,2.92,258
15,2020-07-26 21:00:00,1.7,271
16,2020-07-27 00:00:00,1.49,232
17,2020-07-27 03:00:00,2.79,231
18,2020-07-27 06:00:00,2.8,228
19,2020-07-27 09:00:00,2.88,233
20,2020-07-27 12:00:00,2.62,236
21,2020-07-27 15:00:00,2.39,264
22,2020-07-27 18:00:00,2.95,246
23,2020-07-27 21:00:00,4.62,259
24,2020-07-28 00:00:00,4.8,252
25,2020-07-28 03:00:00,4.7,243
26,2020-07-28 06:00:00,4.51,245
27,2020-07-28 09:00:00,5.94,262
28,2020-07-28 12:00:00,5.95,277
29,2020-07-28 15:00:00,6.0,302
30,2020-07-28 18:00:00,4.93,345
31,2020-07-28 21:00:00,4.19,358
32,2020-07-29 00:00:00,3.47,341
33,2020-07-29 03:00:00,2.5,335
34,2020-07-29 06:00:00,1.72,334
35,2020-07-29 09:00:00,1.47,337
36,2020-07-29 12:00:00,1.84,356
37,2020-07-29 15:00:00,2.24,23
38,2020-07-29 18:00:00,3.41,58
39,2020-07-29 21:00:00,4.33,30
40,2020-07-30 00:00:00,4.05,32
41,2020-07-30 03:00:00,3.62,42
42,2020-07-30 06:00:00,3.33,46
43,2020-07-30 09:00:00,3.39,52
44,2020-07-30 12:00:00,3.49,41
45,2020-07-30 15:00:00,3.5,40
46,2020-07-30 18:00:00,4.48,43
47,2020-07-30 21:00:00,4.95,50
48,2020-07-31 00:00:00,4.73,49
49,2020-07-31 03:00:00,4.26,51
50,2020-07-31 06:00:00,3.69,57
51,2020-07-31 09:00:00,3.59,66
52,2020-07-31 12:00:00,3.07,57
53,2020-07-31 15:00:00,2.46,41
54,2020-07-31 18:00:00,2.86,48
55,2020-07-31 21:00:00,3.56,68
56,2020-08-01 00:00:00,3.44,71
57,2020-08-01 03:00:00,3.12,88
58,2020-08-01 06:00:00,1.99,134
59,2020-08-01 09:00:00,4.1,214
60,2020-08-01 12:00:00,5.46,244
