Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/21 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/21 18:00UTC,3.97,27
2020/07/21 21:00UTC,4.18,32
2020/07/22 00:00UTC,4.34,27
2020/07/22 03:00UTC,3.69,21
2020/07/22 06:00UTC,4.01,39
2020/07/22 09:00UTC,4.25,38
2020/07/22 12:00UTC,3.56,28
2020/07/22 15:00UTC,3.54,24
2020/07/22 18:00UTC,3.07,32
2020/07/22 21:00UTC,3.45,38
2020/07/23 00:00UTC,2.66,35
2020/07/23 03:00UTC,1.95,31
2020/07/23 06:00UTC,1.84,26
2020/07/23 09:00UTC,2.41,36
2020/07/23 12:00UTC,1.70,14
2020/07/23 15:00UTC,2.34,346
2020/07/23 18:00UTC,1.26,311
2020/07/23 21:00UTC,1.76,336
2020/07/24 00:00UTC,1.69,338
2020/07/24 03:00UTC,2.43,321
2020/07/24 06:00UTC,2.34,305
2020/07/24 09:00UTC,2.60,276
2020/07/24 12:00UTC,4.30,277
2020/07/24 15:00UTC,4.21,300
2020/07/24 18:00UTC,2.78,305
2020/07/24 21:00UTC,1.58,304
2020/07/25 00:00UTC,0.72,222
2020/07/25 03:00UTC,1.81,217
2020/07/25 06:00UTC,2.66,201
2020/07/25 09:00UTC,4.44,237
2020/07/25 12:00UTC,5.85,231
2020/07/25 15:00UTC,5.91,256
2020/07/25 18:00UTC,2.59,254
2020/07/25 21:00UTC,3.64,246
2020/07/26 00:00UTC,4.44,244
2020/07/26 03:00UTC,4.88,247
2020/07/26 06:00UTC,4.71,267
2020/07/26 09:00UTC,4.69,277
2020/07/26 12:00UTC,5.47,277
2020/07/26 15:00UTC,5.37,286
2020/07/26 18:00UTC,3.36,285
2020/07/26 21:00UTC,1.93,281
2020/07/27 00:00UTC,2.00,285
2020/07/27 03:00UTC,1.12,257
2020/07/27 06:00UTC,1.42,271
2020/07/27 09:00UTC,2.81,292
2020/07/27 12:00UTC,3.12,295
2020/07/27 15:00UTC,2.96,304
2020/07/27 18:00UTC,2.15,351
2020/07/27 21:00UTC,0.54,46
2020/07/28 00:00UTC,0.71,121
2020/07/28 03:00UTC,0.94,101
2020/07/28 06:00UTC,1.59,77
2020/07/28 09:00UTC,2.82,90
2020/07/28 12:00UTC,3.21,92
2020/07/28 15:00UTC,2.57,93
2020/07/28 18:00UTC,3.14,58
2020/07/28 21:00UTC,3.88,76
2020/07/29 00:00UTC,3.72,93
2020/07/29 03:00UTC,2.46,346
2020/07/29 06:00UTC,3.59,3
2020/07/29 09:00UTC,3.86,337
2020/07/29 12:00UTC,5.53,329
2020/07/29 15:00UTC,4.45,344
2020/07/29 18:00UTC,2.92,344
2020/07/29 21:00UTC,0.65,49
2020/07/30 00:00UTC,0.82,249
2020/07/30 03:00UTC,2.15,299
2020/07/30 06:00UTC,3.09,284
2020/07/30 09:00UTC,4.55,257
2020/07/30 12:00UTC,5.29,259
2020/07/30 15:00UTC,5.58,255
2020/07/30 18:00UTC,4.64,252
2020/07/30 21:00UTC,4.10,219
2020/07/31 00:00UTC,6.99,220
2020/07/31 03:00UTC,7.31,223
2020/07/31 06:00UTC,7.47,225
2020/07/31 09:00UTC,7.49,236
2020/07/31 12:00UTC,7.75,257
2020/07/31 15:00UTC,5.30,253
2020/07/31 18:00UTC,4.36,251
