Name: angerville-1-b
Location: 48.3201 , 2.0284
Issued: 2020/07/08 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 00:00UTC,3.33,323
2020/07/08 03:00UTC,2.12,300
2020/07/08 06:00UTC,2.02,258
2020/07/08 09:00UTC,2.54,272
2020/07/08 12:00UTC,3.35,256
2020/07/08 15:00UTC,4.01,267
2020/07/08 18:00UTC,4.15,300
2020/07/08 21:00UTC,3.76,315
2020/07/09 00:00UTC,3.05,302
2020/07/09 03:00UTC,2.38,294
2020/07/09 06:00UTC,1.36,249
2020/07/09 09:00UTC,1.72,239
2020/07/09 12:00UTC,2.92,238
2020/07/09 15:00UTC,3.89,250
2020/07/09 18:00UTC,4.33,261
2020/07/09 21:00UTC,3.49,254
2020/07/10 00:00UTC,3.52,271
2020/07/10 03:00UTC,4.31,250
2020/07/10 06:00UTC,4.38,251
2020/07/10 09:00UTC,6.83,269
2020/07/10 12:00UTC,6.35,274
2020/07/10 15:00UTC,6.45,305
2020/07/10 18:00UTC,7.16,338
2020/07/10 21:00UTC,5.40,339
2020/07/11 00:00UTC,3.61,330
2020/07/11 03:00UTC,2.83,328
2020/07/11 06:00UTC,1.86,342
2020/07/11 09:00UTC,2.26,22
2020/07/11 12:00UTC,3.34,13
2020/07/11 15:00UTC,3.81,6
2020/07/11 18:00UTC,4.13,345
2020/07/11 21:00UTC,5.43,355
2020/07/12 00:00UTC,4.57,14
2020/07/12 03:00UTC,3.91,26
2020/07/12 06:00UTC,3.15,32
2020/07/12 09:00UTC,3.17,43
2020/07/12 12:00UTC,2.36,47
2020/07/12 15:00UTC,3.08,33
2020/07/12 18:00UTC,3.65,355
2020/07/12 21:00UTC,4.26,18
2020/07/13 00:00UTC,4.74,40
2020/07/13 03:00UTC,3.66,42
2020/07/13 06:00UTC,2.57,32
2020/07/13 09:00UTC,2.59,32
2020/07/13 12:00UTC,2.08,28
2020/07/13 15:00UTC,2.05,10
2020/07/13 18:00UTC,3.93,11
2020/07/13 21:00UTC,3.54,17
2020/07/14 00:00UTC,4.60,344
2020/07/14 03:00UTC,3.93,340
2020/07/14 06:00UTC,3.18,335
2020/07/14 09:00UTC,2.89,334
2020/07/14 12:00UTC,2.46,323
2020/07/14 15:00UTC,3.32,322
2020/07/14 18:00UTC,4.92,345
2020/07/14 21:00UTC,4.78,345
2020/07/15 00:00UTC,3.91,352
2020/07/15 03:00UTC,3.28,1
2020/07/15 06:00UTC,2.51,16
2020/07/15 09:00UTC,2.49,35
2020/07/15 12:00UTC,1.98,45
