Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,2.52,225
2017/01/01 06:00UTC,2.50,203
2017/01/01 12:00UTC,4.41,227
2017/01/01 18:00UTC,2.87,200
2017/01/02 00:00UTC,2.84,209
2017/01/02 06:00UTC,0.49,212
2017/01/02 12:00UTC,1.13,26
2017/01/02 18:00UTC,3.54,36
2017/01/03 00:00UTC,3.06,45
2017/01/03 06:00UTC,1.88,57
2017/01/03 12:00UTC,1.56,359
2017/01/03 18:00UTC,1.45,270
2017/01/04 00:00UTC,4.60,262
2017/01/04 06:00UTC,4.81,253
2017/01/04 12:00UTC,5.22,266
2017/01/04 18:00UTC,4.25,336
2017/01/05 00:00UTC,4.96,347
2017/01/05 06:00UTC,3.53,353
2017/01/05 12:00UTC,2.96,8
2017/01/05 18:00UTC,2.64,29
2017/01/06 00:00UTC,3.01,72
2017/01/06 06:00UTC,1.95,94
2017/01/06 12:00UTC,2.01,91
2017/01/06 18:00UTC,2.90,77
2017/01/07 00:00UTC,2.10,108
2017/01/07 06:00UTC,1.08,129
2017/01/07 12:00UTC,1.80,230
2017/01/07 18:00UTC,1.92,237
2017/01/08 00:00UTC,1.33,280
2017/01/08 06:00UTC,2.53,44
2017/01/08 12:00UTC,1.33,39
2017/01/08 18:00UTC,1.43,104
2017/01/09 00:00UTC,1.55,189
2017/01/09 06:00UTC,2.50,185
2017/01/09 12:00UTC,3.69,222
2017/01/09 18:00UTC,4.27,232
2017/01/10 00:00UTC,6.48,217
2017/01/10 06:00UTC,4.13,318
2017/01/10 12:00UTC,3.97,307
2017/01/10 18:00UTC,2.83,332
2017/01/11 00:00UTC,2.43,248
2017/01/11 06:00UTC,4.71,216
2017/01/11 12:00UTC,6.48,241
2017/01/11 18:00UTC,5.86,290
2017/01/12 00:00UTC,5.28,276
2017/01/12 06:00UTC,3.38,238
2017/01/12 12:00UTC,4.73,201
2017/01/12 18:00UTC,10.29,205
2017/01/13 00:00UTC,8.34,258
2017/01/13 06:00UTC,6.83,262
2017/01/13 12:00UTC,8.20,310
2017/01/13 18:00UTC,8.15,295
2017/01/14 00:00UTC,5.18,293
2017/01/14 06:00UTC,5.78,312
2017/01/14 12:00UTC,3.97,269
2017/01/14 18:00UTC,4.10,315
2017/01/15 00:00UTC,4.27,346
2017/01/15 06:00UTC,2.70,316
2017/01/15 12:00UTC,2.46,284
2017/01/15 18:00UTC,3.69,182
2017/01/16 00:00UTC,2.89,125
2017/01/16 06:00UTC,3.62,48
2017/01/16 12:00UTC,3.38,43
2017/01/16 18:00UTC,3.37,41
2017/01/17 00:00UTC,4.43,39
2017/01/17 06:00UTC,6.21,42
2017/01/17 12:00UTC,6.96,32
2017/01/17 18:00UTC,5.97,32
2017/01/18 00:00UTC,6.45,41
2017/01/18 06:00UTC,6.69,38
2017/01/18 12:00UTC,7.83,57
2017/01/18 18:00UTC,6.20,56
2017/01/19 00:00UTC,5.46,50
2017/01/19 06:00UTC,4.85,61
2017/01/19 12:00UTC,4.73,79
2017/01/19 18:00UTC,2.97,59
2017/01/20 00:00UTC,3.67,61
2017/01/20 06:00UTC,2.87,53
2017/01/20 12:00UTC,3.18,96
2017/01/20 18:00UTC,2.12,76
2017/01/21 00:00UTC,2.19,77
2017/01/21 06:00UTC,1.05,134
2017/01/21 12:00UTC,2.53,96
2017/01/21 18:00UTC,1.87,95
2017/01/22 00:00UTC,0.98,77
2017/01/22 06:00UTC,3.35,80
2017/01/22 12:00UTC,3.58,47
2017/01/22 18:00UTC,2.64,40
2017/01/23 00:00UTC,3.34,47
2017/01/23 06:00UTC,3.21,30
2017/01/23 12:00UTC,4.05,35
2017/01/23 18:00UTC,3.60,39
2017/01/24 00:00UTC,2.71,33
2017/01/24 06:00UTC,2.60,359
2017/01/24 12:00UTC,1.34,38
2017/01/24 18:00UTC,2.34,43
2017/01/25 00:00UTC,2.95,37
2017/01/25 06:00UTC,3.08,33
2017/01/25 12:00UTC,4.21,64
2017/01/25 18:00UTC,3.17,85
2017/01/26 00:00UTC,2.74,110
2017/01/26 06:00UTC,2.57,121
2017/01/26 12:00UTC,3.87,115
2017/01/26 18:00UTC,5.07,103
2017/01/27 00:00UTC,6.43,133
2017/01/27 06:00UTC,4.91,172
2017/01/27 12:00UTC,5.98,144
2017/01/27 18:00UTC,6.76,160
2017/01/28 00:00UTC,6.44,161
2017/01/28 06:00UTC,5.72,186
2017/01/28 12:00UTC,4.29,214
2017/01/28 18:00UTC,3.09,213
2017/01/29 00:00UTC,4.87,193
2017/01/29 06:00UTC,4.54,217
2017/01/29 12:00UTC,3.25,192
2017/01/29 18:00UTC,5.42,164
2017/01/30 00:00UTC,6.88,194
2017/01/30 06:00UTC,5.57,217
2017/01/30 12:00UTC,3.90,232
2017/01/30 18:00UTC,3.90,232
2017/01/31 00:00UTC,3.55,230
2017/01/31 06:00UTC,3.07,214
2017/01/31 12:00UTC,1.14,223
2017/01/31 18:00UTC,1.50,151
2017/02/01 00:00UTC,2.43,147
2017/02/01 06:00UTC,3.24,175
2017/02/01 12:00UTC,3.37,176
2017/02/01 18:00UTC,4.78,190
2017/02/02 00:00UTC,4.56,184
2017/02/02 06:00UTC,5.39,156
2017/02/02 12:00UTC,5.90,169
2017/02/02 18:00UTC,5.95,189
2017/02/03 00:00UTC,6.13,210
2017/02/03 06:00UTC,5.88,198
2017/02/03 12:00UTC,7.28,164
2017/02/03 18:00UTC,10.51,224
2017/02/04 00:00UTC,6.07,193
2017/02/04 06:00UTC,8.28,138
2017/02/04 12:00UTC,11.14,282
2017/02/04 18:00UTC,5.14,230
2017/02/05 00:00UTC,6.16,171
2017/02/05 06:00UTC,4.92,149
2017/02/05 12:00UTC,5.12,221
2017/02/05 18:00UTC,1.36,113
2017/02/06 00:00UTC,6.68,316
2017/02/06 06:00UTC,6.11,324
2017/02/06 12:00UTC,3.58,319
2017/02/06 18:00UTC,2.44,236
2017/02/07 00:00UTC,5.11,178
2017/02/07 06:00UTC,3.94,184
2017/02/07 12:00UTC,4.23,286
2017/02/07 18:00UTC,3.37,306
2017/02/08 00:00UTC,3.08,323
2017/02/08 06:00UTC,2.78,327
2017/02/08 12:00UTC,6.12,344
2017/02/08 18:00UTC,3.75,346
2017/02/09 00:00UTC,3.83,355
2017/02/09 06:00UTC,3.25,2
2017/02/09 12:00UTC,4.71,40
2017/02/09 18:00UTC,3.74,63
2017/02/10 00:00UTC,3.16,43
2017/02/10 06:00UTC,2.72,32
2017/02/10 12:00UTC,3.22,50
2017/02/10 18:00UTC,3.88,8
2017/02/11 00:00UTC,3.36,349
2017/02/11 06:00UTC,3.08,341
2017/02/11 12:00UTC,1.75,331
2017/02/11 18:00UTC,1.53,27
2017/02/12 00:00UTC,2.32,58
2017/02/12 06:00UTC,3.76,69
2017/02/12 12:00UTC,3.22,88
2017/02/12 18:00UTC,6.10,111
2017/02/13 00:00UTC,6.05,101
2017/02/13 06:00UTC,5.15,93
2017/02/13 12:00UTC,6.27,93
2017/02/13 18:00UTC,5.49,101
2017/02/14 00:00UTC,4.32,123
2017/02/14 06:00UTC,4.99,163
2017/02/14 12:00UTC,5.39,153
2017/02/14 18:00UTC,4.82,159
2017/02/15 00:00UTC,4.41,159
2017/02/15 06:00UTC,4.12,187
2017/02/15 12:00UTC,3.32,184
2017/02/15 18:00UTC,2.51,194
2017/02/16 00:00UTC,0.56,201
2017/02/16 06:00UTC,1.28,147
2017/02/16 12:00UTC,0.91,264
2017/02/16 18:00UTC,2.05,329
2017/02/17 00:00UTC,2.71,328
2017/02/17 06:00UTC,0.99,48
2017/02/17 12:00UTC,1.25,46
2017/02/17 18:00UTC,1.83,45
2017/02/18 00:00UTC,2.70,90
2017/02/18 06:00UTC,2.15,88
2017/02/18 12:00UTC,3.06,86
2017/02/18 18:00UTC,3.72,78
2017/02/19 00:00UTC,0.91,77
2017/02/19 06:00UTC,0.29,271
2017/02/19 12:00UTC,1.53,257
2017/02/19 18:00UTC,2.79,266
2017/02/20 00:00UTC,3.71,251
2017/02/20 06:00UTC,4.05,226
2017/02/20 12:00UTC,5.11,229
2017/02/20 18:00UTC,4.82,245
2017/02/21 00:00UTC,4.92,254
2017/02/21 06:00UTC,4.67,262
2017/02/21 12:00UTC,4.98,265
2017/02/21 18:00UTC,4.30,249
2017/02/22 00:00UTC,4.95,243
2017/02/22 06:00UTC,5.88,237
2017/02/22 12:00UTC,6.87,245
2017/02/22 18:00UTC,5.47,235
2017/02/23 00:00UTC,6.24,234
2017/02/23 06:00UTC,7.63,217
2017/02/23 12:00UTC,9.99,229
2017/02/23 18:00UTC,7.29,276
2017/02/24 00:00UTC,5.67,268
2017/02/24 06:00UTC,4.45,281
2017/02/24 12:00UTC,5.38,316
2017/02/24 18:00UTC,3.06,340
2017/02/25 00:00UTC,0.38,244
2017/02/25 06:00UTC,2.15,189
2017/02/25 12:00UTC,2.87,197
2017/02/25 18:00UTC,4.18,197
2017/02/26 00:00UTC,4.65,205
2017/02/26 06:00UTC,5.39,217
2017/02/26 12:00UTC,5.31,212
2017/02/26 18:00UTC,5.91,207
2017/02/27 00:00UTC,6.53,215
2017/02/27 06:00UTC,7.37,200
2017/02/27 12:00UTC,11.90,197
2017/02/27 18:00UTC,7.39,226
2017/02/28 00:00UTC,7.44,225
2017/02/28 06:00UTC,6.47,206
2017/02/28 12:00UTC,11.57,245
2017/02/28 18:00UTC,5.76,252
2017/03/01 00:00UTC,8.52,250
2017/03/01 06:00UTC,6.44,239
2017/03/01 12:00UTC,8.88,206
2017/03/01 18:00UTC,7.86,225
2017/03/02 00:00UTC,8.47,258
2017/03/02 06:00UTC,5.57,257
2017/03/02 12:00UTC,4.21,242
2017/03/02 18:00UTC,2.47,201
2017/03/03 00:00UTC,3.84,142
2017/03/03 06:00UTC,4.27,152
2017/03/03 12:00UTC,4.81,162
2017/03/03 18:00UTC,5.08,164
2017/03/04 00:00UTC,6.43,172
2017/03/04 06:00UTC,4.21,192
2017/03/04 12:00UTC,4.43,272
2017/03/04 18:00UTC,5.24,231
2017/03/05 00:00UTC,5.10,230
2017/03/05 06:00UTC,6.42,203
2017/03/05 12:00UTC,9.68,204
2017/03/05 18:00UTC,9.34,260
2017/03/06 00:00UTC,8.35,246
2017/03/06 06:00UTC,4.53,232
2017/03/06 12:00UTC,0.92,336
2017/03/06 18:00UTC,6.16,283
2017/03/07 00:00UTC,6.47,281
2017/03/07 06:00UTC,5.96,284
2017/03/07 12:00UTC,5.16,286
2017/03/07 18:00UTC,1.75,267
2017/03/08 00:00UTC,3.76,194
2017/03/08 06:00UTC,5.65,198
2017/03/08 12:00UTC,7.07,245
2017/03/08 18:00UTC,6.83,242
2017/03/09 00:00UTC,6.17,246
2017/03/09 06:00UTC,6.06,236
2017/03/09 12:00UTC,5.62,259
2017/03/09 18:00UTC,3.04,270
2017/03/10 00:00UTC,1.69,336
2017/03/10 06:00UTC,1.83,101
2017/03/10 12:00UTC,3.01,113
2017/03/10 18:00UTC,3.13,83
2017/03/11 00:00UTC,3.32,112
2017/03/11 06:00UTC,2.54,93
2017/03/11 12:00UTC,2.33,98
2017/03/11 18:00UTC,3.06,67
2017/03/12 00:00UTC,1.09,120
2017/03/12 06:00UTC,0.23,257
2017/03/12 12:00UTC,1.87,298
2017/03/12 18:00UTC,5.03,351
2017/03/13 00:00UTC,4.32,344
2017/03/13 06:00UTC,4.94,358
2017/03/13 12:00UTC,4.16,359
2017/03/13 18:00UTC,4.35,353
2017/03/14 00:00UTC,3.42,360
2017/03/14 06:00UTC,1.09,2
2017/03/14 12:00UTC,1.47,331
2017/03/14 18:00UTC,2.71,356
2017/03/15 00:00UTC,2.33,0
2017/03/15 06:00UTC,1.83,45
2017/03/15 12:00UTC,3.31,36
2017/03/15 18:00UTC,3.50,32
2017/03/16 00:00UTC,2.65,51
2017/03/16 06:00UTC,2.67,92
2017/03/16 12:00UTC,1.75,114
2017/03/16 18:00UTC,1.26,142
2017/03/17 00:00UTC,3.13,249
2017/03/17 06:00UTC,3.07,318
2017/03/17 12:00UTC,3.87,304
2017/03/17 18:00UTC,3.57,291
2017/03/18 00:00UTC,5.86,257
2017/03/18 06:00UTC,7.07,250
2017/03/18 12:00UTC,8.42,264
2017/03/19 00:00UTC,5.11,253
2017/03/19 06:00UTC,4.94,241
2017/03/19 12:00UTC,6.95,249
2017/03/19 18:00UTC,4.59,250
2017/03/20 00:00UTC,5.04,241
2017/03/20 06:00UTC,4.94,227
2017/03/20 12:00UTC,7.18,223
2017/03/20 18:00UTC,5.40,229
2017/03/21 00:00UTC,6.07,233
2017/03/21 06:00UTC,3.89,244
2017/03/21 12:00UTC,4.37,310
2017/03/21 18:00UTC,1.86,321
2017/03/22 00:00UTC,3.26,184
2017/03/22 06:00UTC,4.58,175
2017/03/22 12:00UTC,4.57,150
2017/03/22 18:00UTC,3.33,134
2017/03/23 00:00UTC,4.25,131
2017/03/23 06:00UTC,2.48,92
2017/03/23 12:00UTC,2.06,191
2017/03/23 18:00UTC,2.99,227
2017/03/24 00:00UTC,2.78,232
2017/03/24 06:00UTC,2.24,351
2017/03/24 12:00UTC,4.54,32
2017/03/24 18:00UTC,4.42,43
2017/03/25 00:00UTC,6.45,55
2017/03/25 06:00UTC,6.94,55
2017/03/25 12:00UTC,6.27,56
2017/03/25 18:00UTC,5.17,60
2017/03/26 00:00UTC,3.57,84
2017/03/26 06:00UTC,1.22,137
2017/03/26 12:00UTC,0.85,142
2017/03/26 18:00UTC,1.98,90
2017/03/27 00:00UTC,2.96,84
2017/03/27 06:00UTC,2.16,56
2017/03/27 12:00UTC,2.50,97
2017/03/27 18:00UTC,2.17,169
2017/03/28 00:00UTC,4.27,201
2017/03/28 06:00UTC,3.20,220
2017/03/28 12:00UTC,3.29,236
2017/03/28 18:00UTC,2.64,242
2017/03/29 00:00UTC,3.46,245
2017/03/29 06:00UTC,2.39,219
2017/03/29 12:00UTC,1.53,165
2017/03/29 18:00UTC,2.20,131
2017/03/30 00:00UTC,3.07,179
2017/03/30 06:00UTC,2.91,138
2017/03/30 12:00UTC,3.31,135
2017/03/30 18:00UTC,4.27,160
2017/03/31 00:00UTC,5.03,187
2017/03/31 06:00UTC,3.90,193
2017/03/31 12:00UTC,2.96,224
2017/03/31 18:00UTC,2.64,203
2017/04/01 00:00UTC,4.04,214
2017/04/01 06:00UTC,2.94,229
2017/04/01 12:00UTC,4.42,239
2017/04/01 18:00UTC,2.50,200
2017/04/02 00:00UTC,1.40,145
2017/04/02 06:00UTC,0.97,23
2017/04/02 12:00UTC,2.13,358
2017/04/02 18:00UTC,3.82,355
2017/04/03 00:00UTC,3.51,7
2017/04/03 06:00UTC,1.94,27
2017/04/03 12:00UTC,3.49,14
2017/04/03 18:00UTC,3.29,1
2017/04/04 00:00UTC,0.56,88
2017/04/04 06:00UTC,1.12,161
2017/04/04 12:00UTC,2.56,358
2017/04/04 18:00UTC,4.42,348
2017/04/05 00:00UTC,4.86,0
2017/04/05 06:00UTC,3.51,14
2017/04/05 12:00UTC,5.45,9
2017/04/05 18:00UTC,4.99,357
2017/04/06 00:00UTC,4.99,10
2017/04/06 06:00UTC,4.28,21
2017/04/06 12:00UTC,6.31,28
2017/04/06 18:00UTC,4.10,31
2017/04/07 00:00UTC,2.82,47
2017/04/07 06:00UTC,2.53,31
2017/04/07 12:00UTC,2.18,49
2017/04/07 18:00UTC,3.29,19
2017/04/08 00:00UTC,2.98,62
2017/04/08 06:00UTC,2.31,73
2017/04/08 12:00UTC,2.31,51
2017/04/08 18:00UTC,2.93,51
2017/04/09 00:00UTC,1.81,89
2017/04/09 06:00UTC,1.74,94
2017/04/09 12:00UTC,0.99,141
2017/04/09 18:00UTC,0.58,276
2017/04/10 00:00UTC,2.88,223
2017/04/10 06:00UTC,3.88,334
2017/04/10 12:00UTC,4.01,347
2017/04/10 18:00UTC,5.53,4
2017/04/11 00:00UTC,3.78,0
2017/04/11 06:00UTC,2.62,27
2017/04/11 12:00UTC,2.09,34
2017/04/11 18:00UTC,3.13,20
2017/04/12 00:00UTC,1.61,18
2017/04/12 06:00UTC,1.40,346
2017/04/12 12:00UTC,1.34,266
2017/04/12 18:00UTC,3.64,289
2017/04/13 00:00UTC,4.07,326
2017/04/13 06:00UTC,1.99,284
2017/04/13 12:00UTC,1.81,329
2017/04/13 18:00UTC,2.06,11
2017/04/14 00:00UTC,2.39,36
2017/04/14 06:00UTC,1.40,48
2017/04/14 12:00UTC,1.57,353
2017/04/14 18:00UTC,2.74,344
2017/04/15 00:00UTC,2.10,339
2017/04/15 06:00UTC,2.07,290
2017/04/15 12:00UTC,5.18,281
2017/04/15 18:00UTC,4.02,282
2017/04/16 00:00UTC,3.77,314
2017/04/16 06:00UTC,2.95,298
2017/04/16 12:00UTC,3.32,304
2017/04/16 18:00UTC,2.87,299
2017/04/17 00:00UTC,2.88,310
2017/04/17 06:00UTC,3.31,265
2017/04/17 12:00UTC,4.55,315
2017/04/17 18:00UTC,4.48,7
2017/04/18 00:00UTC,3.78,33
2017/04/18 06:00UTC,2.85,30
2017/04/18 12:00UTC,5.12,5
2017/04/19 00:00UTC,3.95,25
2017/04/19 06:00UTC,3.49,36
2017/04/19 12:00UTC,5.25,16
2017/04/19 18:00UTC,4.99,33
2017/04/20 00:00UTC,3.69,60
2017/04/20 06:00UTC,2.83,64
2017/04/20 12:00UTC,3.22,41
2017/04/20 18:00UTC,3.28,45
2017/04/21 00:00UTC,2.25,55
2017/04/21 06:00UTC,2.02,46
2017/04/21 12:00UTC,1.81,36
2017/04/21 18:00UTC,2.23,15
2017/04/22 00:00UTC,2.34,13
2017/04/22 06:00UTC,1.68,25
2017/04/22 12:00UTC,2.92,10
2017/04/22 18:00UTC,3.68,25
2017/04/23 00:00UTC,4.39,44
2017/04/23 06:00UTC,4.05,56
2017/04/23 12:00UTC,2.94,38
2017/04/23 18:00UTC,4.31,36
2017/04/24 00:00UTC,2.97,54
2017/04/24 06:00UTC,2.96,63
2017/04/24 12:00UTC,2.56,21
2017/04/24 18:00UTC,3.88,348
2017/04/25 00:00UTC,3.50,346
2017/04/25 06:00UTC,4.56,342
2017/04/25 12:00UTC,3.25,18
2017/04/25 18:00UTC,2.66,0
2017/04/26 00:00UTC,4.20,350
2017/04/26 06:00UTC,3.64,11
2017/04/26 12:00UTC,3.45,342
2017/04/26 18:00UTC,3.29,345
2017/04/27 00:00UTC,3.29,334
2017/04/27 06:00UTC,3.09,352
2017/04/27 12:00UTC,5.03,352
2017/04/27 18:00UTC,4.29,340
2017/04/28 00:00UTC,3.97,320
2017/04/28 06:00UTC,2.71,260
2017/04/28 12:00UTC,3.37,253
2017/04/28 18:00UTC,1.78,293
2017/04/29 00:00UTC,1.11,235
2017/04/29 06:00UTC,0.59,177
2017/04/29 12:00UTC,4.33,128
2017/04/29 18:00UTC,4.63,104
2017/04/30 00:00UTC,5.09,116
2017/04/30 06:00UTC,4.81,151
2017/04/30 12:00UTC,4.96,164
2017/04/30 18:00UTC,7.99,238
2017/05/01 00:00UTC,7.43,189
2017/05/01 06:00UTC,6.23,220
2017/05/01 12:00UTC,7.96,235
2017/05/01 18:00UTC,4.79,207
2017/05/02 00:00UTC,3.37,184
2017/05/02 06:00UTC,2.47,85
2017/05/02 12:00UTC,3.37,18
2017/05/02 18:00UTC,3.23,6
2017/05/03 00:00UTC,3.26,14
2017/05/03 06:00UTC,1.58,346
2017/05/03 12:00UTC,1.73,337
2017/05/03 18:00UTC,1.79,46
2017/05/04 00:00UTC,1.84,21
2017/05/04 06:00UTC,1.46,15
2017/05/04 12:00UTC,2.36,5
2017/05/04 18:00UTC,2.31,26
2017/05/05 00:00UTC,2.56,45
2017/05/05 06:00UTC,2.36,58
2017/05/05 12:00UTC,5.40,84
2017/05/05 18:00UTC,4.93,83
2017/05/06 00:00UTC,5.29,80
2017/05/06 06:00UTC,2.23,147
2017/05/06 12:00UTC,6.43,253
2017/05/06 18:00UTC,5.35,262
2017/05/07 00:00UTC,4.27,265
2017/05/07 06:00UTC,4.81,302
2017/05/07 12:00UTC,4.99,327
2017/05/07 18:00UTC,2.83,339
2017/05/08 00:00UTC,3.70,344
2017/05/08 06:00UTC,1.87,342
2017/05/08 12:00UTC,4.90,356
2017/05/08 18:00UTC,4.43,6
2017/05/09 00:00UTC,3.16,15
2017/05/09 06:00UTC,4.19,33
2017/05/09 12:00UTC,4.05,40
2017/05/09 18:00UTC,3.62,57
2017/05/10 00:00UTC,3.87,87
2017/05/10 06:00UTC,4.04,77
2017/05/10 12:00UTC,2.38,91
2017/05/10 18:00UTC,1.50,192
2017/05/11 00:00UTC,5.13,214
2017/05/11 06:00UTC,2.57,121
2017/05/11 12:00UTC,3.97,186
