Name: arville
Location: 48.1694 , 2.5539
Issued: 2020/07/08 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,1.57,265
2020/07/08 09:00UTC,3.01,265
2020/07/08 12:00UTC,4.11,286
2020/07/08 15:00UTC,3.72,282
2020/07/08 18:00UTC,2.03,301
2020/07/08 21:00UTC,1.78,358
2020/07/09 00:00UTC,0.47,293
2020/07/09 03:00UTC,1.23,321
2020/07/09 06:00UTC,0.95,216
2020/07/09 09:00UTC,2.30,251
2020/07/09 12:00UTC,3.31,256
2020/07/09 15:00UTC,4.35,271
2020/07/09 18:00UTC,3.01,274
2020/07/09 21:00UTC,2.06,248
2020/07/10 00:00UTC,2.99,275
2020/07/10 03:00UTC,2.62,261
2020/07/10 06:00UTC,3.15,266
2020/07/10 09:00UTC,4.72,270
2020/07/10 12:00UTC,4.64,276
2020/07/10 15:00UTC,2.53,262
2020/07/10 18:00UTC,3.90,327
2020/07/10 21:00UTC,3.99,342
2020/07/11 00:00UTC,2.47,350
2020/07/11 03:00UTC,2.20,338
2020/07/11 06:00UTC,1.82,347
2020/07/11 09:00UTC,2.98,7
2020/07/11 12:00UTC,3.57,18
2020/07/11 15:00UTC,3.86,44
2020/07/11 18:00UTC,2.76,54
2020/07/11 21:00UTC,3.30,41
2020/07/12 00:00UTC,3.79,25
2020/07/12 03:00UTC,3.47,24
2020/07/12 06:00UTC,3.87,35
2020/07/12 09:00UTC,4.35,52
2020/07/12 12:00UTC,5.07,62
2020/07/12 15:00UTC,5.12,57
2020/07/12 18:00UTC,3.84,51
2020/07/12 21:00UTC,3.63,42
2020/07/13 00:00UTC,3.33,32
2020/07/13 03:00UTC,2.87,29
2020/07/13 06:00UTC,3.35,32
2020/07/13 09:00UTC,3.23,38
2020/07/13 12:00UTC,2.89,42
2020/07/13 15:00UTC,2.12,24
2020/07/13 18:00UTC,1.70,23
2020/07/13 21:00UTC,3.83,347
2020/07/14 00:00UTC,3.12,351
2020/07/14 03:00UTC,2.35,348
2020/07/14 06:00UTC,2.53,326
2020/07/14 09:00UTC,2.53,313
2020/07/14 12:00UTC,3.21,291
2020/07/14 15:00UTC,3.88,295
2020/07/14 18:00UTC,2.99,295
2020/07/14 21:00UTC,2.97,326
2020/07/15 00:00UTC,1.86,357
2020/07/15 03:00UTC,0.93,334
2020/07/15 06:00UTC,0.94,325
2020/07/15 09:00UTC,1.29,256
2020/07/15 12:00UTC,1.34,260
2020/07/15 15:00UTC,0.73,262
2020/07/15 18:00UTC,0.62,17
2020/07/15 21:00UTC,0.50,31
2020/07/16 00:00UTC,0.83,100
2020/07/16 03:00UTC,1.22,69
2020/07/16 06:00UTC,1.58,47
2020/07/16 09:00UTC,1.63,69
2020/07/16 12:00UTC,0.40,160
2020/07/16 15:00UTC,0.15,78
2020/07/16 18:00UTC,2.00,1
2020/07/16 21:00UTC,3.01,5
2020/07/17 00:00UTC,2.83,16
2020/07/17 03:00UTC,2.24,15
2020/07/17 06:00UTC,2.42,3
2020/07/17 09:00UTC,2.45,0
2020/07/17 12:00UTC,2.26,323
2020/07/17 15:00UTC,1.78,317
2020/07/17 18:00UTC,1.21,350
2020/07/17 21:00UTC,1.14,39
2020/07/18 00:00UTC,1.42,74
2020/07/18 03:00UTC,1.23,150
2020/07/18 06:00UTC,0.85,145
