Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,2.73,226
2017/01/01 06:00UTC,2.69,201
2017/01/01 12:00UTC,4.36,219
2017/01/01 18:00UTC,3.21,197
2017/01/02 00:00UTC,3.28,203
2017/01/02 06:00UTC,0.21,265
2017/01/02 12:00UTC,2.25,21
2017/01/02 18:00UTC,3.72,36
2017/01/03 00:00UTC,2.85,42
2017/01/03 06:00UTC,1.51,52
2017/01/03 12:00UTC,1.36,343
2017/01/03 18:00UTC,2.00,269
2017/01/04 00:00UTC,4.99,266
2017/01/04 06:00UTC,5.07,260
2017/01/04 12:00UTC,5.12,280
2017/01/04 18:00UTC,4.57,344
2017/01/05 00:00UTC,5.14,349
2017/01/05 06:00UTC,3.91,352
2017/01/05 12:00UTC,2.98,6
2017/01/05 18:00UTC,2.38,24
2017/01/06 00:00UTC,2.66,81
2017/01/06 06:00UTC,1.95,110
2017/01/06 12:00UTC,1.83,106
2017/01/06 18:00UTC,2.29,93
2017/01/07 00:00UTC,2.00,141
2017/01/07 06:00UTC,1.39,168
2017/01/07 12:00UTC,2.20,232
2017/01/07 18:00UTC,1.90,246
2017/01/08 00:00UTC,1.53,331
2017/01/08 06:00UTC,2.78,37
2017/01/08 12:00UTC,1.05,8
2017/01/08 18:00UTC,1.45,129
2017/01/09 00:00UTC,1.92,207
2017/01/09 06:00UTC,2.69,200
2017/01/09 12:00UTC,3.22,227
2017/01/09 18:00UTC,4.71,231
2017/01/10 00:00UTC,6.15,234
2017/01/10 06:00UTC,4.13,313
2017/01/10 12:00UTC,3.87,309
2017/01/10 18:00UTC,3.01,325
2017/01/11 00:00UTC,2.48,259
2017/01/11 06:00UTC,4.72,218
2017/01/11 12:00UTC,6.56,251
2017/01/11 18:00UTC,6.35,296
2017/01/12 00:00UTC,5.39,282
2017/01/12 06:00UTC,3.36,240
2017/01/12 12:00UTC,4.94,202
2017/01/12 18:00UTC,10.66,206
2017/01/13 00:00UTC,8.23,259
2017/01/13 06:00UTC,6.72,262
2017/01/13 12:00UTC,7.80,306
2017/01/13 18:00UTC,8.46,302
2017/01/14 00:00UTC,5.34,294
2017/01/14 06:00UTC,5.81,314
2017/01/14 12:00UTC,4.35,272
2017/01/14 18:00UTC,4.16,318
2017/01/15 00:00UTC,4.44,348
2017/01/15 06:00UTC,2.96,316
2017/01/15 12:00UTC,1.50,274
2017/01/15 18:00UTC,3.79,183
2017/01/16 00:00UTC,2.46,90
2017/01/16 06:00UTC,3.55,51
2017/01/16 12:00UTC,2.75,50
2017/01/16 18:00UTC,2.94,49
2017/01/17 00:00UTC,3.71,43
2017/01/17 06:00UTC,5.78,42
2017/01/17 12:00UTC,6.86,35
2017/01/17 18:00UTC,5.28,27
2017/01/18 00:00UTC,5.98,40
2017/01/18 06:00UTC,6.31,36
2017/01/18 12:00UTC,6.90,53
2017/01/18 18:00UTC,6.25,54
2017/01/19 00:00UTC,5.33,49
2017/01/19 06:00UTC,4.81,60
2017/01/19 12:00UTC,5.46,81
2017/01/19 18:00UTC,3.59,64
2017/01/20 00:00UTC,3.84,65
2017/01/20 06:00UTC,3.21,57
2017/01/20 12:00UTC,3.44,91
2017/01/20 18:00UTC,2.35,77
2017/01/21 00:00UTC,2.56,80
2017/01/21 06:00UTC,0.78,127
2017/01/21 12:00UTC,2.20,95
2017/01/21 18:00UTC,1.75,102
2017/01/22 00:00UTC,0.49,86
2017/01/22 06:00UTC,2.64,81
2017/01/22 12:00UTC,3.09,41
2017/01/22 18:00UTC,2.43,35
2017/01/23 00:00UTC,2.95,37
2017/01/23 06:00UTC,3.12,22
2017/01/23 12:00UTC,4.00,32
2017/01/23 18:00UTC,3.33,38
2017/01/24 00:00UTC,2.24,29
2017/01/24 06:00UTC,2.36,352
2017/01/24 12:00UTC,0.61,19
2017/01/24 18:00UTC,1.78,50
2017/01/25 00:00UTC,2.64,45
2017/01/25 06:00UTC,2.95,26
2017/01/25 12:00UTC,3.82,68
2017/01/25 18:00UTC,3.23,88
2017/01/26 00:00UTC,3.01,111
2017/01/26 06:00UTC,2.63,126
2017/01/26 12:00UTC,3.92,117
2017/01/26 18:00UTC,5.21,106
2017/01/27 00:00UTC,6.13,130
2017/01/27 06:00UTC,4.56,173
2017/01/27 12:00UTC,5.31,141
2017/01/27 18:00UTC,6.12,159
2017/01/28 00:00UTC,6.38,161
2017/01/28 06:00UTC,5.98,190
2017/01/28 12:00UTC,4.29,222
2017/01/28 18:00UTC,3.36,206
2017/01/29 00:00UTC,4.54,193
2017/01/29 06:00UTC,4.39,217
2017/01/29 12:00UTC,3.62,191
2017/01/29 18:00UTC,5.99,164
2017/01/30 00:00UTC,7.32,198
2017/01/30 06:00UTC,5.16,220
2017/01/30 12:00UTC,3.77,233
2017/01/30 18:00UTC,3.56,235
2017/01/31 00:00UTC,3.03,233
2017/01/31 06:00UTC,2.18,214
2017/01/31 12:00UTC,0.23,251
2017/01/31 18:00UTC,1.65,134
2017/02/01 00:00UTC,2.89,158
2017/02/01 06:00UTC,3.45,185
2017/02/01 12:00UTC,3.61,182
