Name: boissy-la-riviere
Location: 48.3795 , 2.1776
Issued: 2020/07/08 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,2.17,278
2020/07/08 09:00UTC,3.33,263
2020/07/08 12:00UTC,4.33,282
2020/07/08 15:00UTC,4.09,286
2020/07/08 18:00UTC,2.70,316
2020/07/08 21:00UTC,1.96,344
2020/07/09 00:00UTC,1.09,295
2020/07/09 03:00UTC,1.49,298
2020/07/09 06:00UTC,1.70,237
2020/07/09 09:00UTC,3.11,249
2020/07/09 12:00UTC,4.21,250
2020/07/09 15:00UTC,5.00,252
2020/07/09 18:00UTC,3.12,256
2020/07/09 21:00UTC,2.64,258
2020/07/10 00:00UTC,2.45,298
2020/07/10 03:00UTC,2.32,280
2020/07/10 06:00UTC,2.77,265
2020/07/10 09:00UTC,4.85,274
2020/07/10 12:00UTC,4.50,276
2020/07/10 15:00UTC,3.64,317
2020/07/10 18:00UTC,5.24,332
2020/07/10 21:00UTC,4.17,340
2020/07/11 00:00UTC,2.80,331
2020/07/11 03:00UTC,2.51,326
2020/07/11 06:00UTC,2.33,343
2020/07/11 09:00UTC,3.35,359
2020/07/11 12:00UTC,3.27,4
2020/07/11 15:00UTC,3.26,15
2020/07/11 18:00UTC,2.71,15
2020/07/11 21:00UTC,3.51,20
2020/07/12 00:00UTC,4.08,27
2020/07/12 03:00UTC,3.54,23
2020/07/12 06:00UTC,3.94,34
2020/07/12 09:00UTC,4.68,51
2020/07/12 12:00UTC,4.68,70
2020/07/12 15:00UTC,4.60,72
2020/07/12 18:00UTC,3.58,67
2020/07/12 21:00UTC,3.37,54
2020/07/13 00:00UTC,3.22,34
2020/07/13 03:00UTC,3.18,28
2020/07/13 06:00UTC,3.24,35
2020/07/13 09:00UTC,3.30,33
2020/07/13 12:00UTC,2.83,45
2020/07/13 15:00UTC,2.14,354
2020/07/13 18:00UTC,3.22,338
2020/07/13 21:00UTC,4.81,347
2020/07/14 00:00UTC,3.73,343
2020/07/14 03:00UTC,3.00,330
2020/07/14 06:00UTC,2.90,321
2020/07/14 09:00UTC,2.75,301
2020/07/14 12:00UTC,3.30,280
2020/07/14 15:00UTC,4.36,297
2020/07/14 18:00UTC,3.57,308
2020/07/14 21:00UTC,3.18,330
2020/07/15 00:00UTC,2.21,334
2020/07/15 03:00UTC,1.51,325
2020/07/15 06:00UTC,1.21,309
2020/07/15 09:00UTC,2.01,253
2020/07/15 12:00UTC,2.31,249
2020/07/15 15:00UTC,2.05,248
2020/07/15 18:00UTC,1.35,254
2020/07/15 21:00UTC,1.12,281
2020/07/16 00:00UTC,2.02,17
2020/07/16 03:00UTC,1.79,32
2020/07/16 06:00UTC,2.03,29
2020/07/16 09:00UTC,2.22,49
2020/07/16 12:00UTC,1.12,13
2020/07/16 15:00UTC,0.84,40
2020/07/16 18:00UTC,3.13,344
2020/07/16 21:00UTC,3.49,6
2020/07/17 00:00UTC,2.52,16
2020/07/17 03:00UTC,2.42,352
2020/07/17 06:00UTC,2.63,349
2020/07/17 09:00UTC,2.29,348
2020/07/17 12:00UTC,2.41,306
2020/07/17 15:00UTC,1.90,303
2020/07/17 18:00UTC,1.51,331
2020/07/17 21:00UTC,1.87,350
2020/07/18 00:00UTC,1.75,44
2020/07/18 03:00UTC,0.20,74
2020/07/18 06:00UTC,0.25,44
