Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,3.07,221
2017/01/01 06:00UTC,3.04,192
2017/01/01 12:00UTC,4.63,208
2017/01/01 18:00UTC,3.66,199
2017/01/02 00:00UTC,3.02,201
2017/01/02 06:00UTC,0.89,315
2017/01/02 12:00UTC,3.80,40
2017/01/02 18:00UTC,3.28,30
2017/01/03 00:00UTC,2.47,23
2017/01/03 06:00UTC,0.89,341
2017/01/03 12:00UTC,2.01,273
2017/01/03 18:00UTC,3.98,261
2017/01/04 00:00UTC,6.11,262
2017/01/04 06:00UTC,5.82,279
2017/01/04 12:00UTC,5.49,293
2017/01/04 18:00UTC,4.74,353
2017/01/05 00:00UTC,5.35,348
2017/01/05 06:00UTC,4.29,353
2017/01/05 12:00UTC,2.82,5
2017/01/05 18:00UTC,2.20,19
2017/01/06 00:00UTC,2.64,97
2017/01/06 06:00UTC,2.55,144
2017/01/06 12:00UTC,1.96,160
2017/01/06 18:00UTC,2.25,162
2017/01/07 00:00UTC,3.37,193
2017/01/07 06:00UTC,2.99,202
2017/01/07 12:00UTC,2.94,238
2017/01/07 18:00UTC,2.08,275
2017/01/08 00:00UTC,3.47,359
2017/01/08 06:00UTC,2.28,32
2017/01/08 12:00UTC,0.95,274
2017/01/08 18:00UTC,1.47,157
2017/01/09 00:00UTC,2.78,214
2017/01/09 06:00UTC,2.41,208
2017/01/09 12:00UTC,2.90,241
2017/01/09 18:00UTC,6.00,223
2017/01/10 00:00UTC,5.59,280
2017/01/10 06:00UTC,4.10,295
2017/01/10 12:00UTC,3.94,306
2017/01/10 18:00UTC,3.47,307
2017/01/11 00:00UTC,3.28,254
2017/01/11 06:00UTC,4.82,226
2017/01/11 12:00UTC,7.19,276
2017/01/11 18:00UTC,6.79,296
2017/01/12 00:00UTC,5.83,285
2017/01/12 06:00UTC,3.79,238
2017/01/12 12:00UTC,5.54,199
2017/01/12 18:00UTC,10.28,200
2017/01/13 00:00UTC,8.44,266
2017/01/13 06:00UTC,5.81,255
2017/01/13 12:00UTC,8.17,293
2017/01/13 18:00UTC,8.97,310
2017/01/14 00:00UTC,5.64,301
2017/01/14 06:00UTC,5.83,312
2017/01/14 12:00UTC,4.63,282
2017/01/14 18:00UTC,3.87,322
2017/01/15 00:00UTC,4.45,345
2017/01/15 06:00UTC,3.36,318
2017/01/15 12:00UTC,1.36,224
2017/01/15 18:00UTC,3.07,191
2017/01/16 00:00UTC,2.64,62
2017/01/16 06:00UTC,2.77,67
2017/01/16 12:00UTC,1.60,81
2017/01/16 18:00UTC,2.57,61
2017/01/17 00:00UTC,3.07,57
2017/01/17 06:00UTC,4.68,50
2017/01/17 12:00UTC,5.64,45
2017/01/17 18:00UTC,4.22,32
2017/01/18 00:00UTC,5.32,51
2017/01/18 06:00UTC,5.42,42
2017/01/18 12:00UTC,5.71,51
2017/01/18 18:00UTC,6.28,54
2017/01/19 00:00UTC,5.30,52
2017/01/19 06:00UTC,4.47,66
2017/01/19 12:00UTC,4.60,86
2017/01/19 18:00UTC,4.12,74
2017/01/20 00:00UTC,3.94,82
2017/01/20 06:00UTC,4.04,71
2017/01/20 12:00UTC,4.39,97
2017/01/20 18:00UTC,2.87,89
2017/01/21 00:00UTC,3.02,84
