Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/08 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,2.77,262
2020/07/08 09:00UTC,4.50,274
2020/07/08 12:00UTC,4.59,275
2020/07/08 15:00UTC,4.38,291
2020/07/08 18:00UTC,3.76,298
2020/07/08 21:00UTC,2.40,312
2020/07/09 00:00UTC,1.98,250
2020/07/09 03:00UTC,2.20,248
2020/07/09 06:00UTC,2.31,247
2020/07/09 09:00UTC,3.75,246
2020/07/09 12:00UTC,4.62,254
2020/07/09 15:00UTC,5.32,251
2020/07/09 18:00UTC,4.41,259
2020/07/09 21:00UTC,3.40,318
2020/07/10 00:00UTC,2.67,270
2020/07/10 03:00UTC,3.57,265
2020/07/10 06:00UTC,4.06,267
2020/07/10 09:00UTC,4.41,276
2020/07/10 12:00UTC,4.75,333
2020/07/10 15:00UTC,6.09,323
2020/07/10 18:00UTC,5.48,332
2020/07/10 21:00UTC,3.66,319
2020/07/11 00:00UTC,2.57,297
2020/07/11 03:00UTC,2.40,313
2020/07/11 06:00UTC,2.39,326
2020/07/11 09:00UTC,3.23,351
2020/07/11 12:00UTC,3.61,346
2020/07/11 15:00UTC,4.02,353
2020/07/11 18:00UTC,4.64,359
2020/07/11 21:00UTC,4.46,8
2020/07/12 00:00UTC,3.12,25
2020/07/12 03:00UTC,2.62,27
2020/07/12 06:00UTC,3.07,38
2020/07/12 09:00UTC,3.82,52
2020/07/12 12:00UTC,3.69,53
2020/07/12 15:00UTC,4.18,43
2020/07/12 18:00UTC,4.58,38
2020/07/12 21:00UTC,3.91,41
2020/07/13 00:00UTC,3.15,33
2020/07/13 03:00UTC,2.38,30
2020/07/13 06:00UTC,2.24,28
2020/07/13 09:00UTC,2.81,15
2020/07/13 12:00UTC,2.68,4
2020/07/13 15:00UTC,3.54,339
2020/07/13 18:00UTC,5.37,349
2020/07/13 21:00UTC,3.50,340
2020/07/14 00:00UTC,2.71,329
2020/07/14 03:00UTC,2.18,308
2020/07/14 06:00UTC,2.07,285
2020/07/14 09:00UTC,3.02,285
2020/07/14 12:00UTC,4.04,285
2020/07/14 15:00UTC,5.11,294
2020/07/14 18:00UTC,4.38,302
2020/07/14 21:00UTC,2.90,310
2020/07/15 00:00UTC,2.19,286
2020/07/15 03:00UTC,1.57,269
2020/07/15 06:00UTC,1.78,257
2020/07/15 09:00UTC,2.29,250
2020/07/15 12:00UTC,2.35,255
2020/07/15 15:00UTC,2.64,274
2020/07/15 18:00UTC,2.54,307
2020/07/15 21:00UTC,2.71,350
2020/07/16 00:00UTC,1.07,19
2020/07/16 03:00UTC,0.99,350
2020/07/16 06:00UTC,1.28,358
2020/07/16 09:00UTC,1.49,12
2020/07/16 12:00UTC,1.03,349
2020/07/16 15:00UTC,3.81,348
2020/07/16 18:00UTC,3.80,357
2020/07/16 21:00UTC,2.77,13
2020/07/17 00:00UTC,2.45,353
2020/07/17 03:00UTC,2.03,341
2020/07/17 06:00UTC,1.85,340
2020/07/17 09:00UTC,1.68,327
2020/07/17 12:00UTC,2.81,288
2020/07/17 15:00UTC,2.93,288
2020/07/17 18:00UTC,2.44,321
2020/07/17 21:00UTC,2.70,7
2020/07/18 00:00UTC,2.27,5
2020/07/18 03:00UTC,1.45,3
2020/07/18 06:00UTC,0.99,14
