Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,2.76,221
2017/01/01 06:00UTC,2.80,200
2017/01/01 12:00UTC,4.52,218
2017/01/01 18:00UTC,3.29,199
2017/01/02 00:00UTC,3.18,202
2017/01/02 06:00UTC,0.58,229
2017/01/02 12:00UTC,2.31,27
2017/01/02 18:00UTC,3.33,33
2017/01/03 00:00UTC,2.43,29
2017/01/03 06:00UTC,1.07,41
2017/01/03 12:00UTC,1.64,307
2017/01/03 18:00UTC,2.78,265
2017/01/04 00:00UTC,5.34,261
2017/01/04 06:00UTC,5.28,261
2017/01/04 12:00UTC,5.31,284
2017/01/04 18:00UTC,4.67,346
2017/01/05 00:00UTC,5.28,343
2017/01/05 06:00UTC,4.22,349
2017/01/05 12:00UTC,2.98,1
2017/01/05 18:00UTC,2.47,28
2017/01/06 00:00UTC,2.85,81
2017/01/06 06:00UTC,1.87,112
2017/01/06 12:00UTC,1.70,112
2017/01/06 18:00UTC,2.13,102
2017/01/07 00:00UTC,1.97,153
2017/01/07 06:00UTC,1.64,173
2017/01/07 12:00UTC,2.33,224
2017/01/07 18:00UTC,1.67,226
2017/01/08 00:00UTC,1.45,341
2017/01/08 06:00UTC,2.12,41
2017/01/08 12:00UTC,0.71,21
2017/01/08 18:00UTC,1.13,139
2017/01/09 00:00UTC,1.65,209
2017/01/09 06:00UTC,2.78,191
2017/01/09 12:00UTC,3.25,219
2017/01/09 18:00UTC,4.42,226
2017/01/10 00:00UTC,6.35,229
2017/01/10 06:00UTC,3.91,315
2017/01/10 12:00UTC,3.60,309
2017/01/10 18:00UTC,2.83,325
2017/01/11 00:00UTC,2.43,249
2017/01/11 06:00UTC,4.79,213
2017/01/11 12:00UTC,6.45,247
2017/01/11 18:00UTC,6.34,294
2017/01/12 00:00UTC,5.52,281
2017/01/12 06:00UTC,3.51,240
2017/01/12 12:00UTC,4.78,197
2017/01/12 18:00UTC,10.24,200
2017/01/13 00:00UTC,8.97,261
2017/01/13 06:00UTC,6.68,260
2017/01/13 12:00UTC,7.54,301
2017/01/13 18:00UTC,8.68,303
2017/01/14 00:00UTC,5.12,299
2017/01/14 06:00UTC,5.86,313
2017/01/14 12:00UTC,4.15,268
2017/01/14 18:00UTC,4.05,323
2017/01/15 00:00UTC,4.21,348
2017/01/15 06:00UTC,3.20,314
2017/01/15 12:00UTC,1.92,285
2017/01/15 18:00UTC,3.85,173
2017/01/16 00:00UTC,2.99,109
2017/01/16 06:00UTC,3.47,51
2017/01/16 12:00UTC,2.63,44
2017/01/16 18:00UTC,2.95,44
2017/01/17 00:00UTC,3.64,44
2017/01/17 06:00UTC,5.78,46
2017/01/17 12:00UTC,6.23,35
2017/01/17 18:00UTC,5.11,30
2017/01/18 00:00UTC,5.98,43
2017/01/18 06:00UTC,6.25,38
2017/01/18 12:00UTC,6.55,53
2017/01/18 18:00UTC,6.13,54
2017/01/19 00:00UTC,5.22,51
2017/01/19 06:00UTC,4.42,62
2017/01/19 12:00UTC,5.00,81
2017/01/19 18:00UTC,3.68,67
2017/01/20 00:00UTC,3.85,68
2017/01/20 06:00UTC,3.22,64
2017/01/20 12:00UTC,3.47,93
2017/01/20 18:00UTC,2.45,82
2017/01/21 00:00UTC,2.68,84
2017/01/21 06:00UTC,1.19,128
2017/01/21 12:00UTC,2.24,110
2017/01/21 18:00UTC,1.50,109
2017/01/22 00:00UTC,0.72,116
2017/01/22 06:00UTC,2.58,86
2017/01/22 12:00UTC,2.97,42
2017/01/22 18:00UTC,2.33,26
2017/01/23 00:00UTC,2.72,31
2017/01/23 06:00UTC,3.07,21
2017/01/23 12:00UTC,3.86,33
2017/01/23 18:00UTC,2.96,36
2017/01/24 00:00UTC,2.18,14
2017/01/24 06:00UTC,2.55,340
2017/01/24 12:00UTC,0.77,27
2017/01/24 18:00UTC,1.93,46
2017/01/25 00:00UTC,2.64,48
2017/01/25 06:00UTC,2.97,31
2017/01/25 12:00UTC,3.68,70
2017/01/25 18:00UTC,3.17,93
2017/01/26 00:00UTC,3.17,111
2017/01/26 06:00UTC,2.71,128
2017/01/26 12:00UTC,3.57,117
2017/01/26 18:00UTC,5.20,101
2017/01/27 00:00UTC,5.76,120
2017/01/27 06:00UTC,4.95,173
2017/01/27 12:00UTC,5.50,146
2017/01/27 18:00UTC,6.36,162
2017/01/28 00:00UTC,6.60,161
2017/01/28 06:00UTC,6.07,185
2017/01/28 12:00UTC,4.24,213
2017/01/28 18:00UTC,3.32,214
2017/01/29 00:00UTC,4.50,193
2017/01/29 06:00UTC,4.49,217
2017/01/29 12:00UTC,3.70,192
2017/01/29 18:00UTC,5.77,162
2017/01/30 00:00UTC,7.27,193
2017/01/30 06:00UTC,5.15,217
2017/01/30 12:00UTC,3.48,232
2017/01/30 18:00UTC,2.88,226
2017/01/31 00:00UTC,2.61,241
2017/01/31 06:00UTC,1.23,186
2017/01/31 12:00UTC,0.73,102
2017/01/31 18:00UTC,1.99,122
2017/02/01 00:00UTC,3.14,146
2017/02/01 06:00UTC,3.67,170
2017/02/01 12:00UTC,3.53,171
2017/02/01 18:00UTC,5.06,194
2017/02/02 00:00UTC,5.19,188
2017/02/02 06:00UTC,5.69,157
2017/02/02 12:00UTC,6.13,172
2017/02/02 18:00UTC,6.16,184
2017/02/03 00:00UTC,6.13,208
2017/02/03 06:00UTC,5.43,194
2017/02/03 12:00UTC,6.63,159
2017/02/03 18:00UTC,9.66,213
2017/02/04 00:00UTC,5.96,195
2017/02/04 06:00UTC,7.68,128
2017/02/04 12:00UTC,7.49,294
2017/02/04 18:00UTC,5.35,235
2017/02/05 00:00UTC,5.42,165
2017/02/05 06:00UTC,4.60,133
2017/02/05 12:00UTC,4.03,220
2017/02/05 18:00UTC,0.37,202
2017/02/06 00:00UTC,6.80,325
2017/02/06 06:00UTC,6.09,327
2017/02/06 12:00UTC,3.15,328
2017/02/06 18:00UTC,2.08,233
2017/02/07 00:00UTC,5.09,177
2017/02/07 06:00UTC,3.95,179
2017/02/07 12:00UTC,4.27,285
2017/02/07 18:00UTC,3.69,306
2017/02/08 00:00UTC,3.43,319
2017/02/08 06:00UTC,2.76,335
2017/02/08 12:00UTC,6.15,344
2017/02/08 18:00UTC,3.94,349
2017/02/09 00:00UTC,4.01,357
2017/02/09 06:00UTC,3.18,8
2017/02/09 12:00UTC,3.99,40
2017/02/09 18:00UTC,3.63,67
2017/02/10 00:00UTC,3.13,50
2017/02/10 06:00UTC,3.00,35
2017/02/10 12:00UTC,3.01,53
2017/02/10 18:00UTC,3.75,359
2017/02/11 00:00UTC,3.54,344
2017/02/11 06:00UTC,2.96,335
2017/02/11 12:00UTC,1.50,343
2017/02/11 18:00UTC,1.78,23
2017/02/12 00:00UTC,1.89,56
2017/02/12 06:00UTC,3.35,79
2017/02/12 12:00UTC,3.17,80
2017/02/12 18:00UTC,5.97,107
2017/02/13 00:00UTC,6.67,100
2017/02/13 06:00UTC,5.76,96
2017/02/13 12:00UTC,6.45,93
2017/02/13 18:00UTC,6.30,96
2017/02/14 00:00UTC,4.63,115
2017/02/14 06:00UTC,4.20,156
2017/02/14 12:00UTC,5.09,148
2017/02/14 18:00UTC,4.97,160
2017/02/15 00:00UTC,4.57,159
2017/02/15 06:00UTC,4.38,182
2017/02/15 12:00UTC,3.67,186
2017/02/15 18:00UTC,2.77,203
2017/02/16 00:00UTC,0.43,333
2017/02/16 06:00UTC,1.48,92
2017/02/16 12:00UTC,0.72,302
2017/02/16 18:00UTC,2.47,340
2017/02/17 00:00UTC,2.96,325
2017/02/17 06:00UTC,0.90,5
2017/02/17 12:00UTC,0.61,326
2017/02/17 18:00UTC,1.00,25
2017/02/18 00:00UTC,1.85,110
2017/02/18 06:00UTC,1.32,111
2017/02/18 12:00UTC,2.58,100
2017/02/18 18:00UTC,3.23,86
2017/02/19 00:00UTC,0.84,155
2017/02/19 06:00UTC,0.22,276
2017/02/19 12:00UTC,1.66,255
2017/02/19 18:00UTC,2.75,267
2017/02/20 00:00UTC,3.60,259
2017/02/20 06:00UTC,4.16,228
2017/02/20 12:00UTC,4.87,227
2017/02/20 18:00UTC,4.76,249
2017/02/21 00:00UTC,5.27,258
2017/02/21 06:00UTC,4.63,265
2017/02/21 12:00UTC,5.28,271
2017/02/21 18:00UTC,4.38,246
2017/02/22 00:00UTC,5.14,244
2017/02/22 06:00UTC,5.87,240
2017/02/22 12:00UTC,7.21,247
2017/02/22 18:00UTC,5.77,233
2017/02/23 00:00UTC,6.50,234
2017/02/23 06:00UTC,7.87,217
2017/02/23 12:00UTC,10.83,228
2017/02/23 18:00UTC,7.97,274
2017/02/24 00:00UTC,6.01,270
2017/02/24 06:00UTC,4.57,281
2017/02/24 12:00UTC,5.49,315
2017/02/24 18:00UTC,3.15,341
2017/02/25 00:00UTC,0.97,226
2017/02/25 06:00UTC,2.72,184
2017/02/25 12:00UTC,3.50,196
2017/02/25 18:00UTC,4.62,201
2017/02/26 00:00UTC,4.97,206
2017/02/26 06:00UTC,5.21,217
2017/02/26 12:00UTC,5.26,208
2017/02/26 18:00UTC,6.23,206
2017/02/27 00:00UTC,6.72,214
2017/02/27 06:00UTC,7.12,198
2017/02/27 12:00UTC,11.42,192
2017/02/27 18:00UTC,8.04,225
2017/02/28 00:00UTC,7.24,225
2017/02/28 06:00UTC,6.00,206
2017/02/28 12:00UTC,9.84,249
2017/02/28 18:00UTC,5.64,247
2017/03/01 00:00UTC,8.47,253
