Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,1.50,223
2017/01/01 06:00UTC,2.32,198
2017/01/01 12:00UTC,3.45,191
2017/01/01 18:00UTC,2.59,189
2017/01/02 00:00UTC,2.38,200
2017/01/02 06:00UTC,1.16,202
2017/01/02 12:00UTC,2.62,34
2017/01/02 18:00UTC,2.35,25
2017/01/03 00:00UTC,1.10,28
2017/01/03 06:00UTC,0.85,27
2017/01/03 12:00UTC,1.41,243
2017/01/03 18:00UTC,2.20,237
2017/01/04 00:00UTC,3.66,230
2017/01/04 06:00UTC,3.47,239
2017/01/04 12:00UTC,4.34,273
2017/01/04 18:00UTC,2.35,313
2017/01/05 00:00UTC,2.79,318
2017/01/05 06:00UTC,2.44,358
2017/01/05 12:00UTC,2.97,351
2017/01/05 18:00UTC,2.37,2
2017/01/06 00:00UTC,2.37,79
2017/01/06 06:00UTC,1.29,92
2017/01/06 12:00UTC,2.29,120
2017/01/06 18:00UTC,1.72,110
2017/01/07 00:00UTC,1.34,148
2017/01/07 06:00UTC,1.92,155
2017/01/07 12:00UTC,2.92,222
2017/01/07 18:00UTC,2.28,217
2017/01/08 00:00UTC,1.51,278
2017/01/08 06:00UTC,2.22,17
2017/01/08 12:00UTC,0.25,335
2017/01/08 18:00UTC,1.32,208
2017/01/09 00:00UTC,2.32,235
2017/01/09 06:00UTC,2.78,190
2017/01/09 12:00UTC,2.37,212
2017/01/09 18:00UTC,3.06,206
2017/01/10 00:00UTC,4.36,228
2017/01/10 06:00UTC,2.32,267
2017/01/10 12:00UTC,4.51,322
2017/01/10 18:00UTC,1.80,308
2017/01/11 00:00UTC,2.60,247
2017/01/11 06:00UTC,4.07,202
2017/01/11 12:00UTC,5.42,244
2017/01/11 18:00UTC,4.50,288
2017/01/12 00:00UTC,4.78,263
2017/01/12 06:00UTC,2.94,229
2017/01/12 12:00UTC,5.97,208
2017/01/12 18:00UTC,10.26,208
2017/01/13 00:00UTC,7.19,265
2017/01/13 06:00UTC,4.84,246
2017/01/13 12:00UTC,6.35,305
2017/01/13 18:00UTC,6.47,304
2017/01/14 00:00UTC,4.29,287
2017/01/14 06:00UTC,3.33,299
2017/01/14 12:00UTC,4.63,286
2017/01/14 18:00UTC,2.31,289
2017/01/15 00:00UTC,2.23,329
2017/01/15 06:00UTC,2.03,297
2017/01/15 12:00UTC,1.95,271
2017/01/15 18:00UTC,2.79,168
2017/01/16 00:00UTC,2.12,110
2017/01/16 06:00UTC,2.08,43
2017/01/16 12:00UTC,2.00,7
2017/01/16 18:00UTC,2.57,11
2017/01/17 00:00UTC,2.62,30
2017/01/17 06:00UTC,2.33,15
2017/01/17 12:00UTC,5.10,35
2017/01/17 18:00UTC,3.90,20
2017/01/18 00:00UTC,4.60,41
2017/01/18 06:00UTC,4.61,29
2017/01/18 12:00UTC,5.64,55
2017/01/18 18:00UTC,3.67,25
2017/01/19 00:00UTC,3.65,35
2017/01/19 06:00UTC,3.85,42
2017/01/19 12:00UTC,3.57,63
2017/01/19 18:00UTC,2.21,42
2017/01/20 00:00UTC,2.45,46
2017/01/20 06:00UTC,2.25,59
2017/01/20 12:00UTC,2.99,102
2017/01/20 18:00UTC,2.03,69
2017/01/21 00:00UTC,2.23,92
2017/01/21 06:00UTC,1.55,105
2017/01/21 12:00UTC,1.71,116
2017/01/21 18:00UTC,1.29,103
2017/01/22 00:00UTC,1.31,107
2017/01/22 06:00UTC,2.42,73
2017/01/22 12:00UTC,2.37,36
2017/01/22 18:00UTC,2.64,23
2017/01/23 00:00UTC,2.61,20
2017/01/23 06:00UTC,2.53,7
2017/01/23 12:00UTC,2.96,20
2017/01/23 18:00UTC,2.08,1
2017/01/24 00:00UTC,1.65,4
2017/01/24 06:00UTC,0.49,262
2017/01/24 12:00UTC,0.73,342
2017/01/24 18:00UTC,1.57,24
2017/01/25 00:00UTC,1.73,45
2017/01/25 06:00UTC,2.14,28
2017/01/25 12:00UTC,3.06,59
2017/01/25 18:00UTC,2.23,107
2017/01/26 00:00UTC,2.51,115
2017/01/26 06:00UTC,2.90,119
2017/01/26 12:00UTC,3.24,116
2017/01/26 18:00UTC,3.55,101
2017/01/27 00:00UTC,4.92,116
2017/01/27 06:00UTC,2.61,160
2017/01/27 12:00UTC,4.87,154
2017/01/27 18:00UTC,5.48,162
2017/01/28 00:00UTC,6.02,152
2017/01/28 06:00UTC,5.02,164
2017/01/28 12:00UTC,4.84,206
2017/01/28 18:00UTC,2.59,195
2017/01/29 00:00UTC,2.86,179
2017/01/29 06:00UTC,3.98,211
2017/01/29 12:00UTC,4.29,182
2017/01/29 18:00UTC,4.66,143
2017/01/30 00:00UTC,7.23,195
2017/01/30 06:00UTC,4.88,214
2017/01/30 12:00UTC,4.17,235
2017/01/30 18:00UTC,2.17,209
2017/01/31 00:00UTC,2.67,218
2017/01/31 06:00UTC,1.75,204
2017/01/31 12:00UTC,0.76,223
2017/01/31 18:00UTC,1.33,181
2017/02/01 00:00UTC,2.84,162
2017/02/01 06:00UTC,2.51,161
2017/02/01 12:00UTC,4.24,174
2017/02/01 18:00UTC,2.83,187
2017/02/02 00:00UTC,3.46,174
2017/02/02 06:00UTC,4.69,143
2017/02/02 12:00UTC,6.11,182
2017/02/02 18:00UTC,4.63,166
2017/02/03 00:00UTC,4.57,205
2017/02/03 06:00UTC,4.02,187
2017/02/03 12:00UTC,7.36,171
2017/02/03 18:00UTC,7.16,208
2017/02/04 00:00UTC,4.77,183
2017/02/04 06:00UTC,7.04,140
2017/02/04 12:00UTC,5.56,277
2017/02/04 18:00UTC,3.36,227
2017/02/05 00:00UTC,3.95,165
2017/02/05 06:00UTC,3.77,135
2017/02/05 12:00UTC,5.13,232
2017/02/05 18:00UTC,1.24,262
2017/02/06 00:00UTC,6.73,338
2017/02/06 06:00UTC,5.00,327
2017/02/06 12:00UTC,3.27,349
2017/02/06 18:00UTC,1.14,213
2017/02/07 00:00UTC,3.76,173
2017/02/07 06:00UTC,2.75,170
2017/02/07 12:00UTC,4.00,294
2017/02/07 18:00UTC,2.25,306
2017/02/08 00:00UTC,2.36,312
2017/02/08 06:00UTC,2.08,354
2017/02/08 12:00UTC,4.85,349
2017/02/08 18:00UTC,2.74,353
2017/02/09 00:00UTC,2.56,340
2017/02/09 06:00UTC,3.16,347
2017/02/09 12:00UTC,3.01,29
2017/02/09 18:00UTC,1.99,60
2017/02/10 00:00UTC,1.99,47
2017/02/10 06:00UTC,2.48,27
2017/02/10 12:00UTC,2.76,33
2017/02/10 18:00UTC,2.89,349
2017/02/11 00:00UTC,2.46,329
2017/02/11 06:00UTC,2.04,324
2017/02/11 12:00UTC,1.69,325
2017/02/11 18:00UTC,0.75,336
2017/02/12 00:00UTC,0.94,75
