Name: lvs-pussay-b
Location: 48.3394 , 1.9727
Issued: 2020/07/08 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 00:00UTC,3.33,323
2020/07/08 03:00UTC,2.14,298
2020/07/08 06:00UTC,2.10,259
2020/07/08 09:00UTC,2.54,271
2020/07/08 12:00UTC,3.46,257
2020/07/08 15:00UTC,4.06,268
2020/07/08 18:00UTC,4.29,301
2020/07/08 21:00UTC,3.77,314
2020/07/09 00:00UTC,3.08,301
2020/07/09 03:00UTC,2.41,294
2020/07/09 06:00UTC,1.41,249
2020/07/09 09:00UTC,1.76,239
2020/07/09 12:00UTC,3.00,238
2020/07/09 15:00UTC,3.87,248
2020/07/09 18:00UTC,4.41,263
2020/07/09 21:00UTC,3.56,254
2020/07/10 00:00UTC,3.49,271
2020/07/10 03:00UTC,4.32,250
2020/07/10 06:00UTC,4.37,251
2020/07/10 09:00UTC,6.86,270
2020/07/10 12:00UTC,6.47,275
2020/07/10 15:00UTC,6.38,306
2020/07/10 18:00UTC,7.17,339
2020/07/10 21:00UTC,5.42,338
2020/07/11 00:00UTC,3.60,329
2020/07/11 03:00UTC,2.83,328
2020/07/11 06:00UTC,1.89,341
2020/07/11 09:00UTC,2.32,23
2020/07/11 12:00UTC,3.52,13
2020/07/11 15:00UTC,3.76,3
2020/07/11 18:00UTC,4.29,345
2020/07/11 21:00UTC,5.47,355
2020/07/12 00:00UTC,4.56,14
2020/07/12 03:00UTC,3.93,26
2020/07/12 06:00UTC,3.14,32
2020/07/12 09:00UTC,3.18,43
2020/07/12 12:00UTC,2.40,48
2020/07/12 15:00UTC,3.03,35
2020/07/12 18:00UTC,3.71,355
2020/07/12 21:00UTC,4.32,17
2020/07/13 00:00UTC,4.72,41
2020/07/13 03:00UTC,3.65,42
2020/07/13 06:00UTC,2.57,32
2020/07/13 09:00UTC,2.59,32
2020/07/13 12:00UTC,2.06,30
2020/07/13 15:00UTC,2.01,8
2020/07/13 18:00UTC,4.11,11
2020/07/13 21:00UTC,3.66,15
2020/07/14 00:00UTC,4.62,344
2020/07/14 03:00UTC,3.95,340
2020/07/14 06:00UTC,3.22,335
2020/07/14 09:00UTC,2.91,334
2020/07/14 12:00UTC,2.47,323
2020/07/14 15:00UTC,3.31,322
2020/07/14 18:00UTC,5.11,344
2020/07/14 21:00UTC,4.78,344
2020/07/15 00:00UTC,3.91,352
2020/07/15 03:00UTC,3.27,1
2020/07/15 06:00UTC,2.49,15
2020/07/15 09:00UTC,2.47,35
2020/07/15 12:00UTC,1.93,47
