Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/08 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,2.06,280
2020/07/08 09:00UTC,3.26,264
2020/07/08 12:00UTC,4.23,284
2020/07/08 15:00UTC,3.99,288
2020/07/08 18:00UTC,2.75,317
2020/07/08 21:00UTC,2.02,353
2020/07/09 00:00UTC,1.15,302
2020/07/09 03:00UTC,1.36,303
2020/07/09 06:00UTC,1.63,238
2020/07/09 09:00UTC,2.94,253
2020/07/09 12:00UTC,4.21,251
2020/07/09 15:00UTC,5.08,252
2020/07/09 18:00UTC,3.04,259
2020/07/09 21:00UTC,2.77,262
2020/07/10 00:00UTC,2.36,306
2020/07/10 03:00UTC,2.21,281
2020/07/10 06:00UTC,2.72,267
2020/07/10 09:00UTC,4.78,275
2020/07/10 12:00UTC,4.44,278
2020/07/10 15:00UTC,4.32,316
2020/07/10 18:00UTC,5.68,334
2020/07/10 21:00UTC,4.56,339
2020/07/11 00:00UTC,3.19,331
2020/07/11 03:00UTC,2.87,330
2020/07/11 06:00UTC,2.84,343
2020/07/11 09:00UTC,3.53,358
2020/07/11 12:00UTC,3.44,358
2020/07/11 15:00UTC,3.62,355
2020/07/11 18:00UTC,3.25,359
2020/07/11 21:00UTC,3.65,11
2020/07/12 00:00UTC,3.95,27
2020/07/12 03:00UTC,3.65,24
2020/07/12 06:00UTC,3.98,33
2020/07/12 09:00UTC,4.79,51
2020/07/12 12:00UTC,4.63,71
2020/07/12 15:00UTC,4.60,76
2020/07/12 18:00UTC,3.54,75
2020/07/12 21:00UTC,3.40,58
2020/07/13 00:00UTC,3.28,34
2020/07/13 03:00UTC,3.31,28
2020/07/13 06:00UTC,3.31,34
2020/07/13 09:00UTC,3.42,30
2020/07/13 12:00UTC,2.82,41
2020/07/13 15:00UTC,3.10,340
2020/07/13 18:00UTC,4.67,330
2020/07/13 21:00UTC,5.05,346
2020/07/14 00:00UTC,4.01,339
2020/07/14 03:00UTC,3.46,328
2020/07/14 06:00UTC,3.17,325
2020/07/14 09:00UTC,2.83,303
2020/07/14 12:00UTC,3.35,283
2020/07/14 15:00UTC,4.38,301
2020/07/14 18:00UTC,3.62,316
2020/07/14 21:00UTC,3.14,339
2020/07/15 00:00UTC,2.67,334
2020/07/15 03:00UTC,1.95,336
2020/07/15 06:00UTC,1.29,325
2020/07/15 09:00UTC,1.80,251
2020/07/15 12:00UTC,2.23,246
2020/07/15 15:00UTC,2.08,255
2020/07/15 18:00UTC,1.37,263
2020/07/15 21:00UTC,1.09,296
2020/07/16 00:00UTC,2.20,11
2020/07/16 03:00UTC,1.90,24
2020/07/16 06:00UTC,2.16,27
2020/07/16 09:00UTC,2.35,46
2020/07/16 12:00UTC,1.45,11
2020/07/16 15:00UTC,1.00,3
2020/07/16 18:00UTC,4.19,335
2020/07/16 21:00UTC,3.68,359
2020/07/17 00:00UTC,2.48,13
2020/07/17 03:00UTC,2.74,347
2020/07/17 06:00UTC,2.80,346
2020/07/17 09:00UTC,2.30,346
2020/07/17 12:00UTC,2.42,306
2020/07/17 15:00UTC,2.10,317
2020/07/17 18:00UTC,1.98,353
2020/07/17 21:00UTC,2.09,348
2020/07/18 00:00UTC,1.48,36
2020/07/18 03:00UTC,0.62,15
2020/07/18 06:00UTC,0.70,13
