Name: parc-du-gatinais-b
Location: 48.1399 , 2.5616
Issued: 2020/07/08 08:48UTC
Time,Speed(m/s),Direction (deg N)
2017/01/01 00:00UTC,2.51,225
2017/01/01 06:00UTC,2.48,203
2017/01/01 12:00UTC,4.41,228
2017/01/01 18:00UTC,2.82,201
2017/01/02 00:00UTC,2.80,210
2017/01/02 06:00UTC,0.48,213
2017/01/02 12:00UTC,1.05,28
2017/01/02 18:00UTC,3.54,36
2017/01/03 00:00UTC,3.12,46
2017/01/03 06:00UTC,1.92,58
2017/01/03 12:00UTC,1.58,2
2017/01/03 18:00UTC,1.36,271
2017/01/04 00:00UTC,4.56,262
2017/01/04 06:00UTC,4.77,252
2017/01/04 12:00UTC,5.23,265
2017/01/04 18:00UTC,4.22,335
2017/01/05 00:00UTC,4.93,347
2017/01/05 06:00UTC,3.47,353
2017/01/05 12:00UTC,2.96,8
2017/01/05 18:00UTC,2.66,30
2017/01/06 00:00UTC,3.03,71
2017/01/06 06:00UTC,1.96,93
2017/01/06 12:00UTC,2.03,90
2017/01/06 18:00UTC,2.96,76
2017/01/07 00:00UTC,2.15,105
2017/01/07 06:00UTC,1.09,126
2017/01/07 12:00UTC,1.75,231
2017/01/07 18:00UTC,1.94,237
2017/01/08 00:00UTC,1.38,276
2017/01/08 06:00UTC,2.55,45
2017/01/08 12:00UTC,1.37,40
2017/01/08 18:00UTC,1.46,102
2017/01/09 00:00UTC,1.56,188
2017/01/09 06:00UTC,2.48,185
2017/01/09 12:00UTC,3.71,222
2017/01/09 18:00UTC,4.27,232
2017/01/10 00:00UTC,6.49,216
2017/01/10 06:00UTC,4.14,318
2017/01/10 12:00UTC,3.98,307
2017/01/10 18:00UTC,2.82,332
2017/01/11 00:00UTC,2.44,248
2017/01/11 06:00UTC,4.71,217
2017/01/11 12:00UTC,6.49,241
2017/01/11 18:00UTC,5.82,289
2017/01/12 00:00UTC,5.26,276
2017/01/12 06:00UTC,3.38,238
2017/01/12 12:00UTC,4.74,201
2017/01/12 18:00UTC,10.28,206
2017/01/13 00:00UTC,8.30,258
2017/01/13 06:00UTC,6.83,262
2017/01/13 12:00UTC,8.21,311
2017/01/13 18:00UTC,8.11,294
2017/01/14 00:00UTC,5.18,292
2017/01/14 06:00UTC,5.77,312
2017/01/14 12:00UTC,3.95,269
2017/01/14 18:00UTC,4.10,314
2017/01/15 00:00UTC,4.26,346
2017/01/15 06:00UTC,2.67,316
2017/01/15 12:00UTC,2.51,284
2017/01/15 18:00UTC,3.67,182
2017/01/16 00:00UTC,2.89,127
2017/01/16 06:00UTC,3.63,48
2017/01/16 12:00UTC,3.43,42
2017/01/16 18:00UTC,3.41,40
2017/01/17 00:00UTC,4.51,39
2017/01/17 06:00UTC,6.24,41
2017/01/17 12:00UTC,7.00,31
2017/01/17 18:00UTC,6.03,32
2017/01/18 00:00UTC,6.47,41
2017/01/18 06:00UTC,6.71,38
2017/01/18 12:00UTC,7.93,58
2017/01/18 18:00UTC,6.19,56
2017/01/19 00:00UTC,5.47,50
2017/01/19 06:00UTC,4.86,62
2017/01/19 12:00UTC,4.69,79
2017/01/19 18:00UTC,2.90,59
