Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/08 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,1.49,263
2020/07/08 09:00UTC,2.96,265
2020/07/08 12:00UTC,4.09,287
2020/07/08 15:00UTC,3.65,283
2020/07/08 18:00UTC,1.96,299
2020/07/08 21:00UTC,1.83,1
2020/07/09 00:00UTC,0.43,294
2020/07/09 03:00UTC,1.21,325
2020/07/09 06:00UTC,0.88,213
2020/07/09 09:00UTC,2.18,252
2020/07/09 12:00UTC,3.22,257
2020/07/09 15:00UTC,4.32,273
2020/07/09 18:00UTC,3.01,277
2020/07/09 21:00UTC,2.00,248
2020/07/10 00:00UTC,3.01,274
2020/07/10 03:00UTC,2.65,259
2020/07/10 06:00UTC,3.18,266
2020/07/10 09:00UTC,4.72,270
2020/07/10 12:00UTC,4.66,276
2020/07/10 15:00UTC,2.73,256
2020/07/10 18:00UTC,3.84,326
2020/07/10 21:00UTC,4.05,342
2020/07/11 00:00UTC,2.51,351
2020/07/11 03:00UTC,2.26,339
2020/07/11 06:00UTC,1.88,347
2020/07/11 09:00UTC,2.98,8
2020/07/11 12:00UTC,3.62,18
2020/07/11 15:00UTC,3.85,43
2020/07/11 18:00UTC,2.75,53
2020/07/11 21:00UTC,3.27,42
2020/07/12 00:00UTC,3.73,24
2020/07/12 03:00UTC,3.48,24
2020/07/12 06:00UTC,3.87,35
2020/07/12 09:00UTC,4.35,52
2020/07/12 12:00UTC,5.11,61
2020/07/12 15:00UTC,5.18,56
2020/07/12 18:00UTC,3.84,52
2020/07/12 21:00UTC,3.67,41
2020/07/13 00:00UTC,3.35,32
2020/07/13 03:00UTC,2.86,29
2020/07/13 06:00UTC,3.38,32
2020/07/13 09:00UTC,3.23,38
2020/07/13 12:00UTC,2.90,41
2020/07/13 15:00UTC,2.21,21
2020/07/13 18:00UTC,1.72,20
2020/07/13 21:00UTC,3.74,346
2020/07/14 00:00UTC,3.12,351
2020/07/14 03:00UTC,2.37,349
2020/07/14 06:00UTC,2.55,327
2020/07/14 09:00UTC,2.54,315
2020/07/14 12:00UTC,3.22,293
2020/07/14 15:00UTC,3.83,296
2020/07/14 18:00UTC,2.94,296
2020/07/14 21:00UTC,2.95,327
2020/07/15 00:00UTC,1.93,358
2020/07/15 03:00UTC,0.98,339
2020/07/15 06:00UTC,0.97,331
2020/07/15 09:00UTC,1.19,256
2020/07/15 12:00UTC,1.22,261
2020/07/15 15:00UTC,0.61,269
2020/07/15 18:00UTC,0.80,26
2020/07/15 21:00UTC,0.63,42
2020/07/16 00:00UTC,0.88,113
2020/07/16 03:00UTC,1.17,73
2020/07/16 06:00UTC,1.56,48
2020/07/16 09:00UTC,1.61,72
2020/07/16 12:00UTC,0.50,162
2020/07/16 15:00UTC,0.04,134
2020/07/16 18:00UTC,2.06,359
2020/07/16 21:00UTC,2.98,3
2020/07/17 00:00UTC,2.84,15
2020/07/17 03:00UTC,2.28,15
2020/07/17 06:00UTC,2.42,3
2020/07/17 09:00UTC,2.48,1
2020/07/17 12:00UTC,2.26,324
2020/07/17 15:00UTC,1.85,321
2020/07/17 18:00UTC,1.34,359
2020/07/17 21:00UTC,1.16,44
2020/07/18 00:00UTC,1.35,80
2020/07/18 03:00UTC,1.27,149
2020/07/18 06:00UTC,0.85,142
