Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.74,228
1,2017-01-01 06:00:00,2.62,201
2,2017-01-01 12:00:00,4.31,219
3,2017-01-01 18:00:00,3.2,195
4,2017-01-02 00:00:00,3.21,201
5,2017-01-02 06:00:00,0.17,311
6,2017-01-02 12:00:00,2.31,20
7,2017-01-02 18:00:00,3.84,37
8,2017-01-03 00:00:00,3.05,45
9,2017-01-03 06:00:00,1.63,53
10,2017-01-03 12:00:00,1.37,355
11,2017-01-03 18:00:00,1.77,269
12,2017-01-04 00:00:00,4.88,266
13,2017-01-04 06:00:00,4.96,262
14,2017-01-04 12:00:00,5.06,280
15,2017-01-04 18:00:00,4.58,341
16,2017-01-05 00:00:00,5.11,352
17,2017-01-05 06:00:00,3.88,355
18,2017-01-05 12:00:00,2.96,9
19,2017-01-05 18:00:00,2.39,25
20,2017-01-06 00:00:00,2.63,80
21,2017-01-06 06:00:00,2.01,111
22,2017-01-06 12:00:00,1.87,106
23,2017-01-06 18:00:00,2.28,93
24,2017-01-07 00:00:00,2.1,139
25,2017-01-07 06:00:00,1.35,165
26,2017-01-07 12:00:00,2.17,235
27,2017-01-07 18:00:00,2.01,252
28,2017-01-08 00:00:00,1.63,329
29,2017-01-08 06:00:00,3.06,37
30,2017-01-08 12:00:00,1.14,6
31,2017-01-08 18:00:00,1.6,128
32,2017-01-09 00:00:00,1.99,208
33,2017-01-09 06:00:00,2.69,204
34,2017-01-09 12:00:00,3.21,230
35,2017-01-09 18:00:00,4.88,233
36,2017-01-10 00:00:00,6.14,237
37,2017-01-10 06:00:00,4.2,312
38,2017-01-10 12:00:00,3.95,309
39,2017-01-10 18:00:00,3.06,324
40,2017-01-11 00:00:00,2.61,262
41,2017-01-11 06:00:00,4.72,220
42,2017-01-11 12:00:00,6.63,254
43,2017-01-11 18:00:00,6.35,296
44,2017-01-12 00:00:00,5.32,282
45,2017-01-12 06:00:00,3.31,241
46,2017-01-12 12:00:00,4.99,203
47,2017-01-12 18:00:00,10.85,207
48,2017-01-13 00:00:00,8.07,259
49,2017-01-13 06:00:00,6.71,263
50,2017-01-13 12:00:00,7.75,308
51,2017-01-13 18:00:00,8.34,302
52,2017-01-14 00:00:00,5.43,293
53,2017-01-14 06:00:00,5.78,315
54,2017-01-14 12:00:00,4.5,274
55,2017-01-14 18:00:00,4.25,317
56,2017-01-15 00:00:00,4.54,347
57,2017-01-15 06:00:00,2.91,317
58,2017-01-15 12:00:00,1.37,268
59,2017-01-15 18:00:00,3.75,186
60,2017-01-16 00:00:00,2.33,77
61,2017-01-16 06:00:00,3.55,52
62,2017-01-16 12:00:00,2.78,53
63,2017-01-16 18:00:00,2.94,50
64,2017-01-17 00:00:00,3.72,43
65,2017-01-17 06:00:00,5.87,42
66,2017-01-17 12:00:00,7.13,37
67,2017-01-17 18:00:00,5.33,27
68,2017-01-18 00:00:00,5.97,39
69,2017-01-18 06:00:00,6.3,36
70,2017-01-18 12:00:00,6.99,53
71,2017-01-18 18:00:00,6.29,55
72,2017-01-19 00:00:00,5.38,49
73,2017-01-19 06:00:00,4.92,59
74,2017-01-19 12:00:00,5.63,81
75,2017-01-19 18:00:00,3.56,64
76,2017-01-20 00:00:00,3.8,65
77,2017-01-20 06:00:00,3.25,56
78,2017-01-20 12:00:00,3.49,90
79,2017-01-20 18:00:00,2.36,76
80,2017-01-21 00:00:00,2.59,78
81,2017-01-21 06:00:00,0.62,116
82,2017-01-21 12:00:00,2.23,90
83,2017-01-21 18:00:00,1.81,101
84,2017-01-22 00:00:00,0.52,69
85,2017-01-22 06:00:00,2.67,79
86,2017-01-22 12:00:00,3.08,40
87,2017-01-22 18:00:00,2.51,38
88,2017-01-23 00:00:00,3.04,41
89,2017-01-23 06:00:00,3.16,24
90,2017-01-23 12:00:00,4.02,33
91,2017-01-23 18:00:00,3.46,39
92,2017-01-24 00:00:00,2.25,34
93,2017-01-24 06:00:00,2.27,358
94,2017-01-24 12:00:00,0.57,19
95,2017-01-24 18:00:00,1.69,53
96,2017-01-25 00:00:00,2.62,46
97,2017-01-25 06:00:00,2.89,24
98,2017-01-25 12:00:00,3.88,68
99,2017-01-25 18:00:00,3.28,87
100,2017-01-26 00:00:00,2.99,112
101,2017-01-26 06:00:00,2.65,124
102,2017-01-26 12:00:00,4.05,117
103,2017-01-26 18:00:00,5.27,108
104,2017-01-27 00:00:00,6.24,132
105,2017-01-27 06:00:00,4.43,172
106,2017-01-27 12:00:00,5.19,139
107,2017-01-27 18:00:00,5.99,157
108,2017-01-28 00:00:00,6.31,161
109,2017-01-28 06:00:00,6.01,192
110,2017-01-28 12:00:00,4.36,227
111,2017-01-28 18:00:00,3.45,204
112,2017-01-29 00:00:00,4.53,194
113,2017-01-29 06:00:00,4.34,217
114,2017-01-29 12:00:00,3.62,190
115,2017-01-29 18:00:00,6.08,164
116,2017-01-30 00:00:00,7.39,199
117,2017-01-30 06:00:00,5.1,222
118,2017-01-30 12:00:00,3.81,233
119,2017-01-30 18:00:00,3.75,239
120,2017-01-31 00:00:00,3.14,231
121,2017-01-31 06:00:00,2.38,218
122,2017-01-31 12:00:00,0.52,274
123,2017-01-31 18:00:00,1.62,139
124,2017-02-01 00:00:00,2.91,162
125,2017-02-01 06:00:00,3.42,190
126,2017-02-01 12:00:00,3.7,185
127,2017-02-01 18:00:00,4.9,195
128,2017-02-02 00:00:00,5.21,187
129,2017-02-02 06:00:00,5.42,165
130,2017-02-02 12:00:00,6.58,182
131,2017-02-02 18:00:00,6.09,196
132,2017-02-03 00:00:00,6.42,212
133,2017-02-03 06:00:00,5.91,199
134,2017-02-03 12:00:00,8.02,163
135,2017-02-03 18:00:00,10.48,231
136,2017-02-04 00:00:00,6.1,191
137,2017-02-04 06:00:00,8.33,129
138,2017-02-04 12:00:00,10.23,288
139,2017-02-04 18:00:00,4.64,226
140,2017-02-05 00:00:00,5.99,174
141,2017-02-05 06:00:00,4.94,144
142,2017-02-05 12:00:00,5.81,215
143,2017-02-05 18:00:00,1.05,65
144,2017-02-06 00:00:00,7.61,324
145,2017-02-06 06:00:00,6.12,324
146,2017-02-06 12:00:00,2.99,312
147,2017-02-06 18:00:00,2.4,216
148,2017-02-07 00:00:00,5.49,176
149,2017-02-07 06:00:00,3.17,208
150,2017-02-07 12:00:00,5.61,293
151,2017-02-07 18:00:00,3.42,308
152,2017-02-08 00:00:00,3.57,321
153,2017-02-08 06:00:00,3.34,328
154,2017-02-08 12:00:00,6.21,349
155,2017-02-08 18:00:00,3.66,352
156,2017-02-09 00:00:00,3.74,0
157,2017-02-09 06:00:00,3.17,6
158,2017-02-09 12:00:00,4.11,35
159,2017-02-09 18:00:00,3.48,64
160,2017-02-10 00:00:00,3.08,52
161,2017-02-10 06:00:00,3.02,30
162,2017-02-10 12:00:00,3.44,50
163,2017-02-10 18:00:00,3.92,12
164,2017-02-11 00:00:00,3.54,351
165,2017-02-11 06:00:00,3.41,344
166,2017-02-11 12:00:00,1.7,345
167,2017-02-11 18:00:00,2.11,39
168,2017-02-12 00:00:00,2.5,59
169,2017-02-12 06:00:00,3.97,70
170,2017-02-12 12:00:00,3.69,72
171,2017-02-12 18:00:00,5.94,105
172,2017-02-13 00:00:00,6.55,104
173,2017-02-13 06:00:00,5.74,96
174,2017-02-13 12:00:00,6.88,93
175,2017-02-13 18:00:00,5.76,99
176,2017-02-14 00:00:00,4.47,124
177,2017-02-14 06:00:00,5.36,162
178,2017-02-14 12:00:00,5.38,149
179,2017-02-14 18:00:00,4.86,163
180,2017-02-15 00:00:00,3.94,164
181,2017-02-15 06:00:00,3.98,193
182,2017-02-15 12:00:00,4.23,189
183,2017-02-15 18:00:00,2.59,198
184,2017-02-16 00:00:00,0.52,289
185,2017-02-16 06:00:00,0.9,111
