Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.67,222
1,2017-01-01 06:00:00,2.33,217
2,2017-01-01 12:00:00,3.47,198
3,2017-01-01 18:00:00,2.77,202
4,2017-01-02 00:00:00,2.21,200
5,2017-01-02 06:00:00,1.43,200
6,2017-01-02 12:00:00,2.53,27
7,2017-01-02 18:00:00,2.81,32
8,2017-01-03 00:00:00,1.82,50
9,2017-01-03 06:00:00,1.59,52
10,2017-01-03 12:00:00,0.53,242
11,2017-01-03 18:00:00,1.84,260
12,2017-01-04 00:00:00,3.33,240
13,2017-01-04 06:00:00,3.4,249
14,2017-01-04 12:00:00,4.45,269
15,2017-01-04 18:00:00,2.51,305
16,2017-01-05 00:00:00,2.58,326
17,2017-01-05 06:00:00,2.91,2
18,2017-01-05 12:00:00,2.79,360
19,2017-01-05 18:00:00,2.75,349
20,2017-01-06 00:00:00,2.39,73
21,2017-01-06 06:00:00,1.46,82
22,2017-01-06 12:00:00,2.41,108
23,2017-01-06 18:00:00,1.9,98
24,2017-01-07 00:00:00,1.15,129
25,2017-01-07 06:00:00,1.59,151
26,2017-01-07 12:00:00,2.91,239
27,2017-01-07 18:00:00,2.34,242
28,2017-01-08 00:00:00,1.96,286
29,2017-01-08 06:00:00,2.65,11
30,2017-01-08 12:00:00,0.83,355
31,2017-01-08 18:00:00,1.22,245
32,2017-01-09 00:00:00,2.37,232
33,2017-01-09 06:00:00,2.98,193
34,2017-01-09 12:00:00,2.97,248
35,2017-01-09 18:00:00,3.19,220
36,2017-01-10 00:00:00,4.5,244
37,2017-01-10 06:00:00,2.84,277
38,2017-01-10 12:00:00,4.99,322
39,2017-01-10 18:00:00,2.43,309
40,2017-01-11 00:00:00,2.58,245
41,2017-01-11 06:00:00,3.99,208
42,2017-01-11 12:00:00,5.48,251
43,2017-01-11 18:00:00,4.72,291
44,2017-01-12 00:00:00,4.91,266
45,2017-01-12 06:00:00,2.97,239
46,2017-01-12 12:00:00,6.36,210
47,2017-01-12 18:00:00,10.98,222
48,2017-01-13 00:00:00,7.03,267
49,2017-01-13 06:00:00,5.14,257
50,2017-01-13 12:00:00,6.89,312
51,2017-01-13 18:00:00,5.85,299
52,2017-01-14 00:00:00,5.04,295
53,2017-01-14 06:00:00,3.91,301
54,2017-01-14 12:00:00,5.14,291
55,2017-01-14 18:00:00,3.09,285
56,2017-01-15 00:00:00,2.65,330
57,2017-01-15 06:00:00,2.09,307
58,2017-01-15 12:00:00,2.62,283
59,2017-01-15 18:00:00,3.43,183
60,2017-01-16 00:00:00,1.12,76
61,2017-01-16 06:00:00,2.65,44
62,2017-01-16 12:00:00,2.32,25
63,2017-01-16 18:00:00,2.43,23
64,2017-01-17 00:00:00,3.02,31
65,2017-01-17 06:00:00,3.04,25
66,2017-01-17 12:00:00,5.67,31
67,2017-01-17 18:00:00,4.47,26
68,2017-01-18 00:00:00,5.38,44
69,2017-01-18 06:00:00,5.29,32
70,2017-01-18 12:00:00,6.06,51
71,2017-01-18 18:00:00,4.41,34
72,2017-01-19 00:00:00,4.37,39
73,2017-01-19 06:00:00,4.68,47
74,2017-01-19 12:00:00,4.01,64
75,2017-01-19 18:00:00,2.31,41
76,2017-01-20 00:00:00,2.45,49
77,2017-01-20 06:00:00,2.78,63
78,2017-01-20 12:00:00,2.91,96
79,2017-01-20 18:00:00,2.07,61
80,2017-01-21 00:00:00,2.11,81
81,2017-01-21 06:00:00,1.55,91
82,2017-01-21 12:00:00,2.09,114
83,2017-01-21 18:00:00,1.66,94
84,2017-01-22 00:00:00,1.57,90
85,2017-01-22 06:00:00,2.86,69
86,2017-01-22 12:00:00,2.98,39
87,2017-01-22 18:00:00,2.85,31
88,2017-01-23 00:00:00,2.82,28
89,2017-01-23 06:00:00,2.75,12
90,2017-01-23 12:00:00,3.41,28
91,2017-01-23 18:00:00,2.36,18
92,2017-01-24 00:00:00,1.91,23
93,2017-01-24 06:00:00,0.38,360
94,2017-01-24 12:00:00,0.84,351
95,2017-01-24 18:00:00,1.61,35
96,2017-01-25 00:00:00,2.0,46
97,2017-01-25 06:00:00,2.41,22
98,2017-01-25 12:00:00,3.51,55
99,2017-01-25 18:00:00,2.59,104
100,2017-01-26 00:00:00,2.68,106
101,2017-01-26 06:00:00,3.04,112
102,2017-01-26 12:00:00,3.74,112
103,2017-01-26 18:00:00,3.67,104
104,2017-01-27 00:00:00,5.4,122
105,2017-01-27 06:00:00,3.0,163
106,2017-01-27 12:00:00,5.07,149
107,2017-01-27 18:00:00,5.69,159
108,2017-01-28 00:00:00,5.92,152
109,2017-01-28 06:00:00,4.93,171
110,2017-01-28 12:00:00,4.31,211
111,2017-01-28 18:00:00,2.6,195
112,2017-01-29 00:00:00,2.96,183
113,2017-01-29 06:00:00,3.82,211
114,2017-01-29 12:00:00,4.33,184
115,2017-01-29 18:00:00,4.33,155
