Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.52,225
1,2017-01-01 06:00:00,2.5,203
2,2017-01-01 12:00:00,4.41,227
3,2017-01-01 18:00:00,2.87,200
4,2017-01-02 00:00:00,2.84,209
5,2017-01-02 06:00:00,0.49,212
6,2017-01-02 12:00:00,1.13,26
7,2017-01-02 18:00:00,3.54,36
8,2017-01-03 00:00:00,3.06,45
9,2017-01-03 06:00:00,1.88,57
10,2017-01-03 12:00:00,1.56,359
11,2017-01-03 18:00:00,1.45,270
12,2017-01-04 00:00:00,4.6,262
13,2017-01-04 06:00:00,4.81,253
14,2017-01-04 12:00:00,5.22,266
15,2017-01-04 18:00:00,4.25,336
16,2017-01-05 00:00:00,4.96,347
17,2017-01-05 06:00:00,3.53,353
18,2017-01-05 12:00:00,2.96,8
19,2017-01-05 18:00:00,2.64,29
20,2017-01-06 00:00:00,3.01,72
21,2017-01-06 06:00:00,1.95,94
22,2017-01-06 12:00:00,2.01,91
23,2017-01-06 18:00:00,2.9,77
24,2017-01-07 00:00:00,2.1,108
25,2017-01-07 06:00:00,1.08,129
26,2017-01-07 12:00:00,1.8,230
27,2017-01-07 18:00:00,1.92,237
28,2017-01-08 00:00:00,1.33,280
29,2017-01-08 06:00:00,2.53,44
30,2017-01-08 12:00:00,1.33,39
31,2017-01-08 18:00:00,1.43,104
32,2017-01-09 00:00:00,1.55,189
33,2017-01-09 06:00:00,2.5,185
34,2017-01-09 12:00:00,3.69,222
35,2017-01-09 18:00:00,4.27,232
36,2017-01-10 00:00:00,6.48,217
37,2017-01-10 06:00:00,4.13,318
38,2017-01-10 12:00:00,3.97,307
39,2017-01-10 18:00:00,2.83,332
40,2017-01-11 00:00:00,2.43,248
41,2017-01-11 06:00:00,4.71,216
42,2017-01-11 12:00:00,6.48,241
43,2017-01-11 18:00:00,5.86,290
44,2017-01-12 00:00:00,5.28,276
45,2017-01-12 06:00:00,3.38,238
46,2017-01-12 12:00:00,4.73,201
47,2017-01-12 18:00:00,10.29,205
48,2017-01-13 00:00:00,8.34,258
49,2017-01-13 06:00:00,6.83,262
50,2017-01-13 12:00:00,8.2,310
51,2017-01-13 18:00:00,8.15,295
52,2017-01-14 00:00:00,5.18,293
53,2017-01-14 06:00:00,5.78,312
54,2017-01-14 12:00:00,3.97,269
55,2017-01-14 18:00:00,4.1,315
56,2017-01-15 00:00:00,4.27,346
57,2017-01-15 06:00:00,2.7,316
58,2017-01-15 12:00:00,2.46,284
59,2017-01-15 18:00:00,3.69,182
60,2017-01-16 00:00:00,2.89,125
61,2017-01-16 06:00:00,3.62,48
62,2017-01-16 12:00:00,3.38,43
63,2017-01-16 18:00:00,3.37,41
64,2017-01-17 00:00:00,4.43,39
65,2017-01-17 06:00:00,6.21,42
66,2017-01-17 12:00:00,6.96,32
67,2017-01-17 18:00:00,5.97,32
68,2017-01-18 00:00:00,6.45,41
69,2017-01-18 06:00:00,6.69,38
70,2017-01-18 12:00:00,7.83,57
71,2017-01-18 18:00:00,6.2,56
72,2017-01-19 00:00:00,5.46,50
73,2017-01-19 06:00:00,4.85,61
74,2017-01-19 12:00:00,4.73,79
75,2017-01-19 18:00:00,2.97,59
76,2017-01-20 00:00:00,3.67,61
77,2017-01-20 06:00:00,2.87,53
78,2017-01-20 12:00:00,3.18,96
79,2017-01-20 18:00:00,2.12,76
80,2017-01-21 00:00:00,2.19,77
81,2017-01-21 06:00:00,1.05,134
82,2017-01-21 12:00:00,2.53,96
83,2017-01-21 18:00:00,1.87,95
84,2017-01-22 00:00:00,0.98,77
85,2017-01-22 06:00:00,3.35,80
86,2017-01-22 12:00:00,3.58,47
87,2017-01-22 18:00:00,2.64,40
88,2017-01-23 00:00:00,3.34,47
89,2017-01-23 06:00:00,3.21,30
90,2017-01-23 12:00:00,4.05,35
91,2017-01-23 18:00:00,3.6,39
92,2017-01-24 00:00:00,2.71,33
93,2017-01-24 06:00:00,2.6,359
94,2017-01-24 12:00:00,1.34,38
95,2017-01-24 18:00:00,2.34,43
96,2017-01-25 00:00:00,2.95,37
97,2017-01-25 06:00:00,3.08,33
98,2017-01-25 12:00:00,4.21,64
99,2017-01-25 18:00:00,3.17,85
100,2017-01-26 00:00:00,2.74,110
101,2017-01-26 06:00:00,2.57,121
102,2017-01-26 12:00:00,3.87,115
103,2017-01-26 18:00:00,5.07,103
104,2017-01-27 00:00:00,6.43,133
105,2017-01-27 06:00:00,4.91,172
106,2017-01-27 12:00:00,5.98,144
107,2017-01-27 18:00:00,6.76,160
108,2017-01-28 00:00:00,6.44,161
109,2017-01-28 06:00:00,5.72,186
110,2017-01-28 12:00:00,4.29,214
111,2017-01-28 18:00:00,3.09,213
112,2017-01-29 00:00:00,4.87,193
113,2017-01-29 06:00:00,4.54,217
114,2017-01-29 12:00:00,3.25,192
115,2017-01-29 18:00:00,5.42,164
116,2017-01-30 00:00:00,6.88,194
117,2017-01-30 06:00:00,5.57,217
118,2017-01-30 12:00:00,3.9,232
119,2017-01-30 18:00:00,3.9,232
120,2017-01-31 00:00:00,3.55,230
121,2017-01-31 06:00:00,3.07,214
122,2017-01-31 12:00:00,1.14,223
123,2017-01-31 18:00:00,1.5,151
124,2017-02-01 00:00:00,2.43,147
125,2017-02-01 06:00:00,3.24,175
126,2017-02-01 12:00:00,3.37,176
127,2017-02-01 18:00:00,4.78,190
128,2017-02-02 00:00:00,4.56,184
129,2017-02-02 06:00:00,5.39,156
