,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.45,223
1,2017-01-01 06:00:00,2.1,213
2,2017-01-01 12:00:00,3.09,206
3,2017-01-01 18:00:00,2.65,201
4,2017-01-02 00:00:00,1.91,205
5,2017-01-02 06:00:00,1.68,195
6,2017-01-02 12:00:00,1.51,13
7,2017-01-02 18:00:00,2.82,29
8,2017-01-03 00:00:00,1.89,56
9,2017-01-03 06:00:00,1.57,47
10,2017-01-03 12:00:00,0.4,255
11,2017-01-03 18:00:00,1.51,256
12,2017-01-04 00:00:00,3.26,230
13,2017-01-04 06:00:00,3.39,243
14,2017-01-04 12:00:00,4.76,258
15,2017-01-04 18:00:00,2.34,295
16,2017-01-05 00:00:00,2.42,326
17,2017-01-05 06:00:00,2.56,4
18,2017-01-05 12:00:00,2.6,352
19,2017-01-05 18:00:00,2.57,358
20,2017-01-06 00:00:00,2.55,66
21,2017-01-06 06:00:00,1.58,70
22,2017-01-06 12:00:00,2.6,92
23,2017-01-06 18:00:00,2.13,74
24,2017-01-07 00:00:00,1.38,92
25,2017-01-07 06:00:00,1.58,116
26,2017-01-07 12:00:00,2.15,242
27,2017-01-07 18:00:00,2.41,241
28,2017-01-08 00:00:00,2.25,256
29,2017-01-08 06:00:00,2.37,11
30,2017-01-08 12:00:00,0.93,29
31,2017-01-08 18:00:00,1.26,236
32,2017-01-09 00:00:00,2.36,247
33,2017-01-09 06:00:00,2.7,195
34,2017-01-09 12:00:00,2.41,226
35,2017-01-09 18:00:00,2.93,208
36,2017-01-10 00:00:00,5.64,213
37,2017-01-10 06:00:00,2.41,283
38,2017-01-10 12:00:00,4.78,324
39,2017-01-10 18:00:00,1.97,311
40,2017-01-11 00:00:00,2.54,256
41,2017-01-11 06:00:00,3.98,203
42,2017-01-11 12:00:00,5.6,244
43,2017-01-11 18:00:00,4.33,280
44,2017-01-12 00:00:00,5.07,265
45,2017-01-12 06:00:00,2.72,232
46,2017-01-12 12:00:00,5.94,210
47,2017-01-12 18:00:00,10.66,215
48,2017-01-13 00:00:00,7.22,265
49,2017-01-13 06:00:00,4.93,251
50,2017-01-13 12:00:00,6.57,312
51,2017-01-13 18:00:00,5.99,294
52,2017-01-14 00:00:00,4.7,288
53,2017-01-14 06:00:00,3.57,300
54,2017-01-14 12:00:00,4.63,279
55,2017-01-14 18:00:00,2.5,273
56,2017-01-15 00:00:00,2.59,333
57,2017-01-15 06:00:00,1.99,307
58,2017-01-15 12:00:00,2.48,272
59,2017-01-15 18:00:00,2.45,177
60,2017-01-16 00:00:00,1.94,127
61,2017-01-16 06:00:00,2.42,42
62,2017-01-16 12:00:00,2.57,19
63,2017-01-16 18:00:00,2.82,12
64,2017-01-17 00:00:00,3.22,31
65,2017-01-17 06:00:00,3.36,25
66,2017-01-17 12:00:00,6.06,34
67,2017-01-17 18:00:00,4.63,23
68,2017-01-18 00:00:00,5.31,40
69,2017-01-18 06:00:00,5.0,32
70,2017-01-18 12:00:00,5.61,53
71,2017-01-18 18:00:00,3.85,31
72,2017-01-19 00:00:00,4.24,43
73,2017-01-19 06:00:00,4.23,49
74,2017-01-19 12:00:00,3.4,62
75,2017-01-19 18:00:00,1.99,39
76,2017-01-20 00:00:00,2.08,50
77,2017-01-20 06:00:00,2.35,64
78,2017-01-20 12:00:00,2.61,96
79,2017-01-20 18:00:00,2.07,60
80,2017-01-21 00:00:00,2.11,92
81,2017-01-21 06:00:00,1.62,107
82,2017-01-21 12:00:00,1.91,104
83,2017-01-21 18:00:00,1.71,81
84,2017-01-22 00:00:00,1.9,84
85,2017-01-22 06:00:00,2.8,62
86,2017-01-22 12:00:00,3.04,38
87,2017-01-22 18:00:00,2.83,28
88,2017-01-23 00:00:00,2.63,27
89,2017-01-23 06:00:00,2.56,10
90,2017-01-23 12:00:00,3.37,28
91,2017-01-23 18:00:00,2.43,13
92,2017-01-24 00:00:00,2.09,17
93,2017-01-24 06:00:00,0.64,14
94,2017-01-24 12:00:00,1.33,355
95,2017-01-24 18:00:00,1.81,19
96,2017-01-25 00:00:00,2.0,33
97,2017-01-25 06:00:00,2.36,21
98,2017-01-25 12:00:00,3.47,54
99,2017-01-25 18:00:00,2.41,92
100,2017-01-26 00:00:00,2.72,105
101,2017-01-26 06:00:00,2.85,104
102,2017-01-26 12:00:00,3.28,109
103,2017-01-26 18:00:00,3.48,103
104,2017-01-27 00:00:00,5.01,125
105,2017-01-27 06:00:00,3.35,166
106,2017-01-27 12:00:00,5.42,157
107,2017-01-27 18:00:00,6.21,161
108,2017-01-28 00:00:00,6.48,155
109,2017-01-28 06:00:00,5.13,165
110,2017-01-28 12:00:00,4.94,205
111,2017-01-28 18:00:00,2.6,193
112,2017-01-29 00:00:00,3.11,183
113,2017-01-29 06:00:00,4.21,219
114,2017-01-29 12:00:00,3.95,183
115,2017-01-29 18:00:00,4.02,148
116,2017-01-30 00:00:00,7.24,195
117,2017-01-30 06:00:00,5.14,215
118,2017-01-30 12:00:00,5.01,236
119,2017-01-30 18:00:00,2.94,217
120,2017-01-31 00:00:00,3.59,218
121,2017-01-31 06:00:00,2.81,213
122,2017-01-31 12:00:00,1.7,238
123,2017-01-31 18:00:00,1.79,194
124,2017-02-01 00:00:00,2.72,171
125,2017-02-01 06:00:00,2.49,176
126,2017-02-01 12:00:00,4.09,182
127,2017-02-01 18:00:00,2.91,190
128,2017-02-02 00:00:00,3.57,178
129,2017-02-02 06:00:00,4.8,151
130,2017-02-02 12:00:00,6.31,187
131,2017-02-02 18:00:00,4.64,175
132,2017-02-03 00:00:00,5.35,212
133,2017-02-03 06:00:00,4.16,188
134,2017-02-03 12:00:00,8.03,174
135,2017-02-03 18:00:00,8.84,229
136,2017-02-04 00:00:00,5.15,183
137,2017-02-04 06:00:00,7.67,159
138,2017-02-04 12:00:00,7.55,274
139,2017-02-04 18:00:00,3.68,224
140,2017-02-05 00:00:00,4.64,176
141,2017-02-05 06:00:00,4.46,158
142,2017-02-05 12:00:00,5.65,234
