Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.73,226
1,2017-01-01 06:00:00,2.69,201
2,2017-01-01 12:00:00,4.36,219
3,2017-01-01 18:00:00,3.21,197
4,2017-01-02 00:00:00,3.28,203
5,2017-01-02 06:00:00,0.21,265
6,2017-01-02 12:00:00,2.25,21
7,2017-01-02 18:00:00,3.72,36
8,2017-01-03 00:00:00,2.85,42
9,2017-01-03 06:00:00,1.51,52
10,2017-01-03 12:00:00,1.36,343
11,2017-01-03 18:00:00,2.0,269
12,2017-01-04 00:00:00,4.99,266
13,2017-01-04 06:00:00,5.07,260
14,2017-01-04 12:00:00,5.12,280
15,2017-01-04 18:00:00,4.57,344
16,2017-01-05 00:00:00,5.14,349
17,2017-01-05 06:00:00,3.91,352
18,2017-01-05 12:00:00,2.98,6
19,2017-01-05 18:00:00,2.38,24
20,2017-01-06 00:00:00,2.66,81
21,2017-01-06 06:00:00,1.95,110
22,2017-01-06 12:00:00,1.83,106
23,2017-01-06 18:00:00,2.29,93
24,2017-01-07 00:00:00,2.0,141
25,2017-01-07 06:00:00,1.39,168
26,2017-01-07 12:00:00,2.2,232
27,2017-01-07 18:00:00,1.9,246
28,2017-01-08 00:00:00,1.53,331
29,2017-01-08 06:00:00,2.78,37
30,2017-01-08 12:00:00,1.05,8
31,2017-01-08 18:00:00,1.45,129
32,2017-01-09 00:00:00,1.92,207
33,2017-01-09 06:00:00,2.69,200
34,2017-01-09 12:00:00,3.22,227
35,2017-01-09 18:00:00,4.71,231
36,2017-01-10 00:00:00,6.15,234
37,2017-01-10 06:00:00,4.13,313
38,2017-01-10 12:00:00,3.87,309
39,2017-01-10 18:00:00,3.01,325
40,2017-01-11 00:00:00,2.48,259
41,2017-01-11 06:00:00,4.72,218
42,2017-01-11 12:00:00,6.56,251
43,2017-01-11 18:00:00,6.35,296
44,2017-01-12 00:00:00,5.39,282
45,2017-01-12 06:00:00,3.36,240
46,2017-01-12 12:00:00,4.94,202
47,2017-01-12 18:00:00,10.66,206
