,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.66,223
1,2017-01-01 06:00:00,2.34,213
2,2017-01-01 12:00:00,3.49,197
3,2017-01-01 18:00:00,2.71,201
4,2017-01-02 00:00:00,2.26,200
5,2017-01-02 06:00:00,1.41,202
6,2017-01-02 12:00:00,2.57,28
7,2017-01-02 18:00:00,2.7,31
8,2017-01-03 00:00:00,1.58,47
9,2017-01-03 06:00:00,1.4,47
10,2017-01-03 12:00:00,0.71,243
11,2017-01-03 18:00:00,1.91,254
12,2017-01-04 00:00:00,3.4,237
13,2017-01-04 06:00:00,3.48,246
14,2017-01-04 12:00:00,4.47,269
15,2017-01-04 18:00:00,2.46,307
16,2017-01-05 00:00:00,2.6,323
17,2017-01-05 06:00:00,2.77,1
18,2017-01-05 12:00:00,2.82,357
19,2017-01-05 18:00:00,2.68,350
20,2017-01-06 00:00:00,2.37,75
21,2017-01-06 06:00:00,1.4,84
22,2017-01-06 12:00:00,2.38,110
23,2017-01-06 18:00:00,1.86,99
24,2017-01-07 00:00:00,1.18,133
25,2017-01-07 06:00:00,1.64,152
26,2017-01-07 12:00:00,2.89,236
27,2017-01-07 18:00:00,2.31,237
28,2017-01-08 00:00:00,1.89,284
29,2017-01-08 06:00:00,2.54,12
30,2017-01-08 12:00:00,0.67,356
31,2017-01-08 18:00:00,1.24,239
32,2017-01-09 00:00:00,2.42,236
33,2017-01-09 06:00:00,2.93,193
34,2017-01-09 12:00:00,2.75,241
35,2017-01-09 18:00:00,3.11,217
36,2017-01-10 00:00:00,4.46,238
37,2017-01-10 06:00:00,2.72,275
38,2017-01-10 12:00:00,4.92,323
39,2017-01-10 18:00:00,2.3,308
40,2017-01-11 00:00:00,2.62,246
41,2017-01-11 06:00:00,4.0,207
42,2017-01-11 12:00:00,5.47,249
43,2017-01-11 18:00:00,4.67,291
44,2017-01-12 00:00:00,4.9,265
45,2017-01-12 06:00:00,2.96,236
46,2017-01-12 12:00:00,6.29,210
47,2017-01-12 18:00:00,10.68,218
48,2017-01-13 00:00:00,7.04,267
49,2017-01-13 06:00:00,5.05,254
50,2017-01-13 12:00:00,6.76,311
51,2017-01-13 18:00:00,6.06,300
52,2017-01-14 00:00:00,4.89,294
53,2017-01-14 06:00:00,3.8,301
54,2017-01-14 12:00:00,5.0,290
55,2017-01-14 18:00:00,2.85,285
56,2017-01-15 00:00:00,2.56,331
57,2017-01-15 06:00:00,2.09,305
58,2017-01-15 12:00:00,2.46,280
59,2017-01-15 18:00:00,3.23,179
60,2017-01-16 00:00:00,1.34,92
61,2017-01-16 06:00:00,2.45,44
62,2017-01-16 12:00:00,2.21,20
63,2017-01-16 18:00:00,2.48,18
64,2017-01-17 00:00:00,2.91,30
65,2017-01-17 06:00:00,2.84,22
66,2017-01-17 12:00:00,5.54,32
67,2017-01-17 18:00:00,4.33,24
68,2017-01-18 00:00:00,5.16,42
69,2017-01-18 06:00:00,5.07,31
70,2017-01-18 12:00:00,5.91,52
71,2017-01-18 18:00:00,4.13,31
72,2017-01-19 00:00:00,4.14,37
73,2017-01-19 06:00:00,4.41,46
74,2017-01-19 12:00:00,3.83,64
75,2017-01-19 18:00:00,2.26,40
76,2017-01-20 00:00:00,2.42,48
77,2017-01-20 06:00:00,2.58,62
78,2017-01-20 12:00:00,2.9,98
79,2017-01-20 18:00:00,2.02,63
80,2017-01-21 00:00:00,2.1,85
81,2017-01-21 06:00:00,1.51,97
82,2017-01-21 12:00:00,1.98,114
83,2017-01-21 18:00:00,1.56,96
84,2017-01-22 00:00:00,1.51,94
85,2017-01-22 06:00:00,2.74,70
86,2017-01-22 12:00:00,2.83,38
87,2017-01-22 18:00:00,2.79,29
88,2017-01-23 00:00:00,2.76,25
89,2017-01-23 06:00:00,2.7,9
90,2017-01-23 12:00:00,3.29,25
91,2017-01-23 18:00:00,2.29,13
92,2017-01-24 00:00:00,1.85,17
93,2017-01-24 06:00:00,0.34,335
94,2017-01-24 12:00:00,0.88,350
95,2017-01-24 18:00:00,1.6,31
96,2017-01-25 00:00:00,1.91,44
97,2017-01-25 06:00:00,2.34,23
98,2017-01-25 12:00:00,3.38,56
99,2017-01-25 18:00:00,2.48,105
100,2017-01-26 00:00:00,2.65,109
101,2017-01-26 06:00:00,2.99,114
102,2017-01-26 12:00:00,3.57,113
103,2017-01-26 18:00:00,3.61,104
104,2017-01-27 00:00:00,5.3,120
105,2017-01-27 06:00:00,2.98,164
106,2017-01-27 12:00:00,5.08,152
107,2017-01-27 18:00:00,5.72,161
108,2017-01-28 00:00:00,5.99,153
109,2017-01-28 06:00:00,4.97,170
110,2017-01-28 12:00:00,4.52,210
111,2017-01-28 18:00:00,2.59,195
112,2017-01-29 00:00:00,2.96,183
113,2017-01-29 06:00:00,3.92,213
114,2017-01-29 12:00:00,4.3,183
115,2017-01-29 18:00:00,4.34,152
116,2017-01-30 00:00:00,7.78,198
117,2017-01-30 06:00:00,5.3,220
118,2017-01-30 12:00:00,4.56,237
119,2017-01-30 18:00:00,2.67,220
120,2017-01-31 00:00:00,3.02,211
121,2017-01-31 06:00:00,2.18,209
122,2017-01-31 12:00:00,1.14,230
123,2017-01-31 18:00:00,1.91,185
124,2017-02-01 00:00:00,2.87,167
125,2017-02-01 06:00:00,2.73,179
126,2017-02-01 12:00:00,4.4,179
127,2017-02-01 18:00:00,3.18,193
128,2017-02-02 00:00:00,3.66,179
129,2017-02-02 06:00:00,4.88,152
130,2017-02-02 12:00:00,7.09,191
131,2017-02-02 18:00:00,4.84,180
132,2017-02-03 00:00:00,5.01,205
133,2017-02-03 06:00:00,4.19,181
134,2017-02-03 12:00:00,8.39,173
135,2017-02-03 18:00:00,8.26,236
136,2017-02-04 00:00:00,5.1,184
137,2017-02-04 06:00:00,7.55,144
138,2017-02-04 12:00:00,7.87,290
139,2017-02-04 18:00:00,3.53,218
140,2017-02-05 00:00:00,4.29,173
141,2017-02-05 06:00:00,4.12,147
142,2017-02-05 12:00:00,5.63,233
143,2017-02-05 18:00:00,2.16,283
144,2017-02-06 00:00:00,7.32,339
145,2017-02-06 06:00:00,4.87,326
146,2017-02-06 12:00:00,2.57,341
147,2017-02-06 18:00:00,1.95,196
148,2017-02-07 00:00:00,4.61,178
149,2017-02-07 06:00:00,2.41,188
150,2017-02-07 12:00:00,4.65,300
151,2017-02-07 18:00:00,2.23,304
152,2017-02-08 00:00:00,2.53,313
153,2017-02-08 06:00:00,2.32,347
154,2017-02-08 12:00:00,4.92,348
155,2017-02-08 18:00:00,2.78,354
156,2017-02-09 00:00:00,2.74,342
157,2017-02-09 06:00:00,2.95,351
158,2017-02-09 12:00:00,3.03,31
159,2017-02-09 18:00:00,2.05,54
160,2017-02-10 00:00:00,2.16,49
161,2017-02-10 06:00:00,2.49,29
162,2017-02-10 12:00:00,3.08,34
163,2017-02-10 18:00:00,2.84,356
164,2017-02-11 00:00:00,2.46,338
165,2017-02-11 06:00:00,2.33,328
166,2017-02-11 12:00:00,2.11,330
167,2017-02-11 18:00:00,1.04,29
168,2017-02-12 00:00:00,1.58,75
169,2017-02-12 06:00:00,3.44,60
170,2017-02-12 12:00:00,4.21,73
171,2017-02-12 18:00:00,5.28,90
172,2017-02-13 00:00:00,5.29,96
173,2017-02-13 06:00:00,6.51,90
174,2017-02-13 12:00:00,6.1,87
175,2017-02-13 18:00:00,4.91,77
176,2017-02-14 00:00:00,4.6,104
177,2017-02-14 06:00:00,3.52,127
178,2017-02-14 12:00:00,5.05,144
179,2017-02-14 18:00:00,3.66,138
180,2017-02-15 00:00:00,3.52,157
181,2017-02-15 06:00:00,3.49,180
182,2017-02-15 12:00:00,4.23,187
183,2017-02-15 18:00:00,2.14,193
184,2017-02-16 00:00:00,1.56,252
185,2017-02-16 06:00:00,1.15,222
186,2017-02-16 12:00:00,1.92,247
187,2017-02-16 18:00:00,2.12,297
188,2017-02-17 00:00:00,2.17,340
189,2017-02-17 06:00:00,1.57,6
190,2017-02-17 12:00:00,0.59,28
191,2017-02-17 18:00:00,1.48,72
192,2017-02-18 00:00:00,2.02,115
193,2017-02-18 06:00:00,2.54,115
194,2017-02-18 12:00:00,2.89,108
195,2017-02-18 18:00:00,2.5,92
196,2017-02-19 00:00:00,1.06,107
197,2017-02-19 06:00:00,1.38,261
198,2017-02-19 12:00:00,2.38,285
199,2017-02-19 18:00:00,2.27,282
200,2017-02-20 00:00:00,2.52,265
201,2017-02-20 06:00:00,3.64,223
202,2017-02-20 12:00:00,4.32,235
203,2017-02-20 18:00:00,3.56,237
204,2017-02-21 00:00:00,4.14,256
205,2017-02-21 06:00:00,3.7,251
206,2017-02-21 12:00:00,4.69,263
207,2017-02-21 18:00:00,3.7,248
208,2017-02-22 00:00:00,4.54,241
209,2017-02-22 06:00:00,3.67,244
210,2017-02-22 12:00:00,5.74,247
211,2017-02-22 18:00:00,4.48,240
212,2017-02-23 00:00:00,3.88,223
213,2017-02-23 06:00:00,6.41,218
214,2017-02-23 12:00:00,9.66,231
215,2017-02-23 18:00:00,5.31,269
216,2017-02-24 00:00:00,4.78,263
217,2017-02-24 06:00:00,2.67,283
218,2017-02-24 12:00:00,5.64,322
219,2017-02-24 18:00:00,2.89,327
220,2017-02-25 00:00:00,0.52,316
221,2017-02-25 06:00:00,2.95,190
222,2017-02-25 12:00:00,4.01,203
223,2017-02-25 18:00:00,3.04,181
224,2017-02-26 00:00:00,3.6,199
225,2017-02-26 06:00:00,4.07,212
