,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,3.07,221
1,2017-01-01 06:00:00,3.04,192
2,2017-01-01 12:00:00,4.63,208
3,2017-01-01 18:00:00,3.66,199
4,2017-01-02 00:00:00,3.02,201
5,2017-01-02 06:00:00,0.89,315
6,2017-01-02 12:00:00,3.8,40
7,2017-01-02 18:00:00,3.28,30
8,2017-01-03 00:00:00,2.47,23
9,2017-01-03 06:00:00,0.89,341
10,2017-01-03 12:00:00,2.01,273
11,2017-01-03 18:00:00,3.98,261
12,2017-01-04 00:00:00,6.11,262
13,2017-01-04 06:00:00,5.82,279
14,2017-01-04 12:00:00,5.49,293
15,2017-01-04 18:00:00,4.74,353
16,2017-01-05 00:00:00,5.35,348
17,2017-01-05 06:00:00,4.29,353
18,2017-01-05 12:00:00,2.82,5
19,2017-01-05 18:00:00,2.2,19
20,2017-01-06 00:00:00,2.64,97
21,2017-01-06 06:00:00,2.55,144
22,2017-01-06 12:00:00,1.96,160
23,2017-01-06 18:00:00,2.25,162
24,2017-01-07 00:00:00,3.37,193
25,2017-01-07 06:00:00,2.99,202
26,2017-01-07 12:00:00,2.94,238
27,2017-01-07 18:00:00,2.08,275
28,2017-01-08 00:00:00,3.47,359
29,2017-01-08 06:00:00,2.28,32
30,2017-01-08 12:00:00,0.95,274
31,2017-01-08 18:00:00,1.47,157
32,2017-01-09 00:00:00,2.78,214
33,2017-01-09 06:00:00,2.41,208
34,2017-01-09 12:00:00,2.9,241
35,2017-01-09 18:00:00,6.0,223
36,2017-01-10 00:00:00,5.59,280
37,2017-01-10 06:00:00,4.1,295
38,2017-01-10 12:00:00,3.94,306
39,2017-01-10 18:00:00,3.47,307
40,2017-01-11 00:00:00,3.28,254
41,2017-01-11 06:00:00,4.82,226
42,2017-01-11 12:00:00,7.19,276
43,2017-01-11 18:00:00,6.79,296
44,2017-01-12 00:00:00,5.83,285
45,2017-01-12 06:00:00,3.79,238
46,2017-01-12 12:00:00,5.54,199
47,2017-01-12 18:00:00,10.28,200
48,2017-01-13 00:00:00,8.44,266
49,2017-01-13 06:00:00,5.81,255
50,2017-01-13 12:00:00,8.17,293
51,2017-01-13 18:00:00,8.97,310
52,2017-01-14 00:00:00,5.64,301
53,2017-01-14 06:00:00,5.83,312
54,2017-01-14 12:00:00,4.63,282
55,2017-01-14 18:00:00,3.87,322
56,2017-01-15 00:00:00,4.45,345
57,2017-01-15 06:00:00,3.36,318
58,2017-01-15 12:00:00,1.36,224
59,2017-01-15 18:00:00,3.07,191
60,2017-01-16 00:00:00,2.64,62
61,2017-01-16 06:00:00,2.77,67
