Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.86,212
1,2017-01-01 06:00:00,2.47,194
2,2017-01-01 12:00:00,3.75,186
3,2017-01-01 18:00:00,3.22,192
4,2017-01-02 00:00:00,2.27,194
5,2017-01-02 06:00:00,0.59,332
6,2017-01-02 12:00:00,3.99,46
7,2017-01-02 18:00:00,2.02,30
8,2017-01-03 00:00:00,1.15,25
9,2017-01-03 06:00:00,0.08,19
10,2017-01-03 12:00:00,2.41,248
11,2017-01-03 18:00:00,3.02,241
12,2017-01-04 00:00:00,4.18,246
13,2017-01-04 06:00:00,3.23,268
14,2017-01-04 12:00:00,4.47,295
15,2017-01-04 18:00:00,2.09,324
16,2017-01-05 00:00:00,2.77,325
17,2017-01-05 06:00:00,2.43,360
18,2017-01-05 12:00:00,2.75,357
19,2017-01-05 18:00:00,2.27,344
20,2017-01-06 00:00:00,2.21,101
21,2017-01-06 06:00:00,1.32,120
22,2017-01-06 12:00:00,2.28,142
23,2017-01-06 18:00:00,2.07,157
24,2017-01-07 00:00:00,2.19,194
25,2017-01-07 06:00:00,2.92,187
26,2017-01-07 12:00:00,3.84,237
27,2017-01-07 18:00:00,2.54,243
28,2017-01-08 00:00:00,2.01,327
29,2017-01-08 06:00:00,1.41,7
30,2017-01-08 12:00:00,1.07,273
31,2017-01-08 18:00:00,1.18,244
32,2017-01-09 00:00:00,2.46,219
33,2017-01-09 06:00:00,2.27,203
34,2017-01-09 12:00:00,2.91,222
35,2017-01-09 18:00:00,3.88,210
36,2017-01-10 00:00:00,4.27,299
37,2017-01-10 06:00:00,2.92,267
38,2017-01-10 12:00:00,4.78,313
39,2017-01-10 18:00:00,2.25,289
40,2017-01-11 00:00:00,3.01,225
41,2017-01-11 06:00:00,4.18,214
42,2017-01-11 12:00:00,5.66,272
43,2017-01-11 18:00:00,5.71,295
44,2017-01-12 00:00:00,4.63,269
45,2017-01-12 06:00:00,3.51,225
46,2017-01-12 12:00:00,6.75,207
47,2017-01-12 18:00:00,11.13,220
48,2017-01-13 00:00:00,6.58,270
49,2017-01-13 06:00:00,4.91,244
50,2017-01-13 12:00:00,6.76,298
51,2017-01-13 18:00:00,5.78,301
52,2017-01-14 00:00:00,3.88,285
53,2017-01-14 06:00:00,3.21,288
54,2017-01-14 12:00:00,5.96,318
55,2017-01-14 18:00:00,2.45,291
56,2017-01-15 00:00:00,1.79,318
57,2017-01-15 06:00:00,1.87,295
58,2017-01-15 12:00:00,2.08,246
59,2017-01-15 18:00:00,2.87,177
60,2017-01-16 00:00:00,2.03,45
61,2017-01-16 06:00:00,1.85,55
62,2017-01-16 12:00:00,1.17,42
63,2017-01-16 18:00:00,1.7,45
64,2017-01-17 00:00:00,2.14,51
65,2017-01-17 06:00:00,1.59,39
66,2017-01-17 12:00:00,3.74,37
67,2017-01-17 18:00:00,3.58,26
68,2017-01-18 00:00:00,4.57,52
69,2017-01-18 06:00:00,4.49,36
70,2017-01-18 12:00:00,5.98,57
71,2017-01-18 18:00:00,4.31,36
72,2017-01-19 00:00:00,3.59,40
73,2017-01-19 06:00:00,4.28,48
74,2017-01-19 12:00:00,4.48,69
75,2017-01-19 18:00:00,2.59,49
76,2017-01-20 00:00:00,2.75,57
77,2017-01-20 06:00:00,2.89,62
78,2017-01-20 12:00:00,3.52,107
79,2017-01-20 18:00:00,1.99,70
80,2017-01-21 00:00:00,1.87,79
81,2017-01-21 06:00:00,1.39,101
82,2017-01-21 12:00:00,2.15,135
83,2017-01-21 18:00:00,1.28,136
84,2017-01-22 00:00:00,0.91,162
85,2017-01-22 06:00:00,1.94,96
86,2017-01-22 12:00:00,1.58,40
87,2017-01-22 18:00:00,1.82,50
88,2017-01-23 00:00:00,1.9,39
89,2017-01-23 06:00:00,1.68,24
90,2017-01-23 12:00:00,2.08,32
91,2017-01-23 18:00:00,0.94,27
92,2017-01-24 00:00:00,0.92,325
93,2017-01-24 06:00:00,1.22,257
94,2017-01-24 12:00:00,0.9,323
95,2017-01-24 18:00:00,0.79,85
96,2017-01-25 00:00:00,1.22,84
97,2017-01-25 06:00:00,1.73,36
98,2017-01-25 12:00:00,2.58,73
99,2017-01-25 18:00:00,2.59,113
100,2017-01-26 00:00:00,2.53,117
101,2017-01-26 06:00:00,3.34,129
102,2017-01-26 12:00:00,4.02,122
103,2017-01-26 18:00:00,3.69,100
104,2017-01-27 00:00:00,4.67,118
105,2017-01-27 06:00:00,2.64,143
106,2017-01-27 12:00:00,4.65,138
107,2017-01-27 18:00:00,4.3,147
108,2017-01-28 00:00:00,5.9,150
109,2017-01-28 06:00:00,5.23,168
110,2017-01-28 12:00:00,4.28,212
111,2017-01-28 18:00:00,3.04,195
112,2017-01-29 00:00:00,2.75,179
113,2017-01-29 06:00:00,3.3,197
114,2017-01-29 12:00:00,4.89,185
115,2017-01-29 18:00:00,5.25,151
116,2017-01-30 00:00:00,7.32,198
117,2017-01-30 06:00:00,4.76,220
118,2017-01-30 12:00:00,3.81,239
119,2017-01-30 18:00:00,1.9,220
120,2017-01-31 00:00:00,1.8,223
121,2017-01-31 06:00:00,0.88,181
122,2017-01-31 12:00:00,1.22,99
123,2017-01-31 18:00:00,2.27,147
124,2017-02-01 00:00:00,3.14,154
125,2017-02-01 06:00:00,2.58,159
126,2017-02-01 12:00:00,4.58,167
127,2017-02-01 18:00:00,3.26,183
