Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.76,221
1,2017-01-01 06:00:00,2.8,200
2,2017-01-01 12:00:00,4.52,218
3,2017-01-01 18:00:00,3.29,199
4,2017-01-02 00:00:00,3.18,202
5,2017-01-02 06:00:00,0.58,229
6,2017-01-02 12:00:00,2.31,27
7,2017-01-02 18:00:00,3.33,33
8,2017-01-03 00:00:00,2.43,29
9,2017-01-03 06:00:00,1.07,41
10,2017-01-03 12:00:00,1.64,307
11,2017-01-03 18:00:00,2.78,265
12,2017-01-04 00:00:00,5.34,261
13,2017-01-04 06:00:00,5.28,261
14,2017-01-04 12:00:00,5.31,284
15,2017-01-04 18:00:00,4.67,346
16,2017-01-05 00:00:00,5.28,343
17,2017-01-05 06:00:00,4.22,349
18,2017-01-05 12:00:00,2.98,1
19,2017-01-05 18:00:00,2.47,28
20,2017-01-06 00:00:00,2.85,81
21,2017-01-06 06:00:00,1.87,112
22,2017-01-06 12:00:00,1.7,112
23,2017-01-06 18:00:00,2.13,102
24,2017-01-07 00:00:00,1.97,153
25,2017-01-07 06:00:00,1.64,173
26,2017-01-07 12:00:00,2.33,224
27,2017-01-07 18:00:00,1.67,226
28,2017-01-08 00:00:00,1.45,341
29,2017-01-08 06:00:00,2.12,41
30,2017-01-08 12:00:00,0.71,21
31,2017-01-08 18:00:00,1.13,139
32,2017-01-09 00:00:00,1.65,209
33,2017-01-09 06:00:00,2.78,191
34,2017-01-09 12:00:00,3.25,219
35,2017-01-09 18:00:00,4.42,226
36,2017-01-10 00:00:00,6.35,229
37,2017-01-10 06:00:00,3.91,315
38,2017-01-10 12:00:00,3.6,309
39,2017-01-10 18:00:00,2.83,325
40,2017-01-11 00:00:00,2.43,249
41,2017-01-11 06:00:00,4.79,213
42,2017-01-11 12:00:00,6.45,247
43,2017-01-11 18:00:00,6.34,294
44,2017-01-12 00:00:00,5.52,281
45,2017-01-12 06:00:00,3.51,240
46,2017-01-12 12:00:00,4.78,197
47,2017-01-12 18:00:00,10.24,200
48,2017-01-13 00:00:00,8.97,261
49,2017-01-13 06:00:00,6.68,260
50,2017-01-13 12:00:00,7.54,301
51,2017-01-13 18:00:00,8.68,303
52,2017-01-14 00:00:00,5.12,299
53,2017-01-14 06:00:00,5.86,313
54,2017-01-14 12:00:00,4.15,268
55,2017-01-14 18:00:00,4.05,323
56,2017-01-15 00:00:00,4.21,348
57,2017-01-15 06:00:00,3.2,314
58,2017-01-15 12:00:00,1.92,285
59,2017-01-15 18:00:00,3.85,173
60,2017-01-16 00:00:00,2.99,109
61,2017-01-16 06:00:00,3.47,51
62,2017-01-16 12:00:00,2.63,44
63,2017-01-16 18:00:00,2.95,44
64,2017-01-17 00:00:00,3.64,44
65,2017-01-17 06:00:00,5.78,46
66,2017-01-17 12:00:00,6.23,35
67,2017-01-17 18:00:00,5.11,30
68,2017-01-18 00:00:00,5.98,43
69,2017-01-18 06:00:00,6.25,38
70,2017-01-18 12:00:00,6.55,53
71,2017-01-18 18:00:00,6.13,54
72,2017-01-19 00:00:00,5.22,51
73,2017-01-19 06:00:00,4.42,62
74,2017-01-19 12:00:00,5.0,81
75,2017-01-19 18:00:00,3.68,67
76,2017-01-20 00:00:00,3.85,68
77,2017-01-20 06:00:00,3.22,64
78,2017-01-20 12:00:00,3.47,93
79,2017-01-20 18:00:00,2.45,82
80,2017-01-21 00:00:00,2.68,84
81,2017-01-21 06:00:00,1.19,128
82,2017-01-21 12:00:00,2.24,110
83,2017-01-21 18:00:00,1.5,109
84,2017-01-22 00:00:00,0.72,116
85,2017-01-22 06:00:00,2.58,86
86,2017-01-22 12:00:00,2.97,42
87,2017-01-22 18:00:00,2.33,26
88,2017-01-23 00:00:00,2.72,31
89,2017-01-23 06:00:00,3.07,21
90,2017-01-23 12:00:00,3.86,33
91,2017-01-23 18:00:00,2.96,36
92,2017-01-24 00:00:00,2.18,14
93,2017-01-24 06:00:00,2.55,340
94,2017-01-24 12:00:00,0.77,27
95,2017-01-24 18:00:00,1.93,46
96,2017-01-25 00:00:00,2.64,48
97,2017-01-25 06:00:00,2.97,31
98,2017-01-25 12:00:00,3.68,70
99,2017-01-25 18:00:00,3.17,93
100,2017-01-26 00:00:00,3.17,111
101,2017-01-26 06:00:00,2.71,128
