,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.5,223
1,2017-01-01 06:00:00,2.32,198
2,2017-01-01 12:00:00,3.45,191
3,2017-01-01 18:00:00,2.59,189
4,2017-01-02 00:00:00,2.38,200
5,2017-01-02 06:00:00,1.16,202
6,2017-01-02 12:00:00,2.62,34
7,2017-01-02 18:00:00,2.35,25
8,2017-01-03 00:00:00,1.1,28
9,2017-01-03 06:00:00,0.85,27
10,2017-01-03 12:00:00,1.41,243
11,2017-01-03 18:00:00,2.2,237
12,2017-01-04 00:00:00,3.66,230
13,2017-01-04 06:00:00,3.47,239
14,2017-01-04 12:00:00,4.34,273
15,2017-01-04 18:00:00,2.35,313
16,2017-01-05 00:00:00,2.79,318
17,2017-01-05 06:00:00,2.44,358
18,2017-01-05 12:00:00,2.97,351
19,2017-01-05 18:00:00,2.37,2
20,2017-01-06 00:00:00,2.37,79
21,2017-01-06 06:00:00,1.29,92
22,2017-01-06 12:00:00,2.29,120
23,2017-01-06 18:00:00,1.72,110
24,2017-01-07 00:00:00,1.34,148
25,2017-01-07 06:00:00,1.92,155
26,2017-01-07 12:00:00,2.92,222
27,2017-01-07 18:00:00,2.28,217
28,2017-01-08 00:00:00,1.51,278
29,2017-01-08 06:00:00,2.22,17
30,2017-01-08 12:00:00,0.25,335
31,2017-01-08 18:00:00,1.32,208
32,2017-01-09 00:00:00,2.32,235
33,2017-01-09 06:00:00,2.78,190
34,2017-01-09 12:00:00,2.37,212
35,2017-01-09 18:00:00,3.06,206
36,2017-01-10 00:00:00,4.36,228
37,2017-01-10 06:00:00,2.32,267
38,2017-01-10 12:00:00,4.51,322
39,2017-01-10 18:00:00,1.8,308
40,2017-01-11 00:00:00,2.6,247
41,2017-01-11 06:00:00,4.07,202
42,2017-01-11 12:00:00,5.42,244
43,2017-01-11 18:00:00,4.5,288
44,2017-01-12 00:00:00,4.78,263
45,2017-01-12 06:00:00,2.94,229
46,2017-01-12 12:00:00,5.97,208
47,2017-01-12 18:00:00,10.26,208
48,2017-01-13 00:00:00,7.19,265
49,2017-01-13 06:00:00,4.84,246
50,2017-01-13 12:00:00,6.35,305
51,2017-01-13 18:00:00,6.47,304
52,2017-01-14 00:00:00,4.29,287
53,2017-01-14 06:00:00,3.33,299
54,2017-01-14 12:00:00,4.63,286
55,2017-01-14 18:00:00,2.31,289
56,2017-01-15 00:00:00,2.23,329
57,2017-01-15 06:00:00,2.03,297
58,2017-01-15 12:00:00,1.95,271
59,2017-01-15 18:00:00,2.79,168
60,2017-01-16 00:00:00,2.12,110
61,2017-01-16 06:00:00,2.08,43
62,2017-01-16 12:00:00,2.0,7
63,2017-01-16 18:00:00,2.57,11
64,2017-01-17 00:00:00,2.62,30
65,2017-01-17 06:00:00,2.33,15
66,2017-01-17 12:00:00,5.1,35
67,2017-01-17 18:00:00,3.9,20
68,2017-01-18 00:00:00,4.6,41
69,2017-01-18 06:00:00,4.61,29
70,2017-01-18 12:00:00,5.64,55
71,2017-01-18 18:00:00,3.67,25
72,2017-01-19 00:00:00,3.65,35
73,2017-01-19 06:00:00,3.85,42
74,2017-01-19 12:00:00,3.57,63
75,2017-01-19 18:00:00,2.21,42
76,2017-01-20 00:00:00,2.45,46
77,2017-01-20 06:00:00,2.25,59
78,2017-01-20 12:00:00,2.99,102
79,2017-01-20 18:00:00,2.03,69
80,2017-01-21 00:00:00,2.23,92
81,2017-01-21 06:00:00,1.55,105
82,2017-01-21 12:00:00,1.71,116
83,2017-01-21 18:00:00,1.29,103
84,2017-01-22 00:00:00,1.31,107
85,2017-01-22 06:00:00,2.42,73
86,2017-01-22 12:00:00,2.37,36
87,2017-01-22 18:00:00,2.64,23
88,2017-01-23 00:00:00,2.61,20
89,2017-01-23 06:00:00,2.53,7
90,2017-01-23 12:00:00,2.96,20
91,2017-01-23 18:00:00,2.08,1
92,2017-01-24 00:00:00,1.65,4
93,2017-01-24 06:00:00,0.49,262
94,2017-01-24 12:00:00,0.73,342
95,2017-01-24 18:00:00,1.57,24
96,2017-01-25 00:00:00,1.73,45
97,2017-01-25 06:00:00,2.14,28
98,2017-01-25 12:00:00,3.06,59
99,2017-01-25 18:00:00,2.23,107
100,2017-01-26 00:00:00,2.51,115
101,2017-01-26 06:00:00,2.9,119
102,2017-01-26 12:00:00,3.24,116
103,2017-01-26 18:00:00,3.55,101
104,2017-01-27 00:00:00,4.92,116
105,2017-01-27 06:00:00,2.61,160
106,2017-01-27 12:00:00,4.87,154
107,2017-01-27 18:00:00,5.48,162
108,2017-01-28 00:00:00,6.02,152
109,2017-01-28 06:00:00,5.02,164
110,2017-01-28 12:00:00,4.84,206
111,2017-01-28 18:00:00,2.59,195
112,2017-01-29 00:00:00,2.86,179
113,2017-01-29 06:00:00,3.98,211
114,2017-01-29 12:00:00,4.29,182
115,2017-01-29 18:00:00,4.66,143
116,2017-01-30 00:00:00,7.23,195
117,2017-01-30 06:00:00,4.88,214
118,2017-01-30 12:00:00,4.17,235
119,2017-01-30 18:00:00,2.17,209
120,2017-01-31 00:00:00,2.67,218
121,2017-01-31 06:00:00,1.75,204
122,2017-01-31 12:00:00,0.76,223
123,2017-01-31 18:00:00,1.33,181
124,2017-02-01 00:00:00,2.84,162
125,2017-02-01 06:00:00,2.51,161
126,2017-02-01 12:00:00,4.24,174
127,2017-02-01 18:00:00,2.83,187
128,2017-02-02 00:00:00,3.46,174
129,2017-02-02 06:00:00,4.69,143
