,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.76,229
1,2017-01-01 06:00:00,2.66,201
2,2017-01-01 12:00:00,4.3,218
3,2017-01-01 18:00:00,3.21,195
4,2017-01-02 00:00:00,3.25,201
5,2017-01-02 06:00:00,0.25,326
6,2017-01-02 12:00:00,2.44,20
7,2017-01-02 18:00:00,3.88,37
8,2017-01-03 00:00:00,3.05,44
9,2017-01-03 06:00:00,1.6,52
10,2017-01-03 12:00:00,1.32,354
11,2017-01-03 18:00:00,1.81,269
12,2017-01-04 00:00:00,4.91,267
13,2017-01-04 06:00:00,4.98,263
14,2017-01-04 12:00:00,5.05,281
15,2017-01-04 18:00:00,4.6,342
16,2017-01-05 00:00:00,5.11,352
17,2017-01-05 06:00:00,3.9,355
18,2017-01-05 12:00:00,2.97,8
19,2017-01-05 18:00:00,2.36,24
20,2017-01-06 00:00:00,2.57,81
21,2017-01-06 06:00:00,2.02,113
22,2017-01-06 12:00:00,1.85,109
23,2017-01-06 18:00:00,2.22,95
24,2017-01-07 00:00:00,2.12,143
25,2017-01-07 06:00:00,1.41,170
26,2017-01-07 12:00:00,2.22,235
27,2017-01-07 18:00:00,2.04,254
28,2017-01-08 00:00:00,1.73,334
29,2017-01-08 06:00:00,3.08,36
30,2017-01-08 12:00:00,1.14,1
31,2017-01-08 18:00:00,1.6,131
32,2017-01-09 00:00:00,2.08,208
33,2017-01-09 06:00:00,2.71,205
34,2017-01-09 12:00:00,3.15,231
35,2017-01-09 18:00:00,4.94,232
36,2017-01-10 00:00:00,6.06,239
37,2017-01-10 06:00:00,4.2,311
38,2017-01-10 12:00:00,3.93,309
39,2017-01-10 18:00:00,3.09,323
40,2017-01-11 00:00:00,2.63,263
41,2017-01-11 06:00:00,4.72,221
42,2017-01-11 12:00:00,6.65,255
43,2017-01-11 18:00:00,6.39,297
44,2017-01-12 00:00:00,5.33,283
45,2017-01-12 06:00:00,3.3,241
46,2017-01-12 12:00:00,5.04,203
47,2017-01-12 18:00:00,10.87,208
48,2017-01-13 00:00:00,8.01,259
49,2017-01-13 06:00:00,6.68,262
50,2017-01-13 12:00:00,7.7,307
51,2017-01-13 18:00:00,8.37,302
52,2017-01-14 00:00:00,5.44,293
53,2017-01-14 06:00:00,5.77,315
54,2017-01-14 12:00:00,4.51,275
55,2017-01-14 18:00:00,4.25,317
56,2017-01-15 00:00:00,4.56,347
57,2017-01-15 06:00:00,2.92,317
58,2017-01-15 12:00:00,1.28,263
59,2017-01-15 18:00:00,3.71,188
60,2017-01-16 00:00:00,2.36,71
61,2017-01-16 06:00:00,3.53,52
62,2017-01-16 12:00:00,2.72,54
63,2017-01-16 18:00:00,2.89,52
64,2017-01-17 00:00:00,3.66,44
65,2017-01-17 06:00:00,5.77,42
66,2017-01-17 12:00:00,7.1,37
67,2017-01-17 18:00:00,5.25,26
68,2017-01-18 00:00:00,5.9,39
69,2017-01-18 06:00:00,6.24,35
70,2017-01-18 12:00:00,6.89,53
71,2017-01-18 18:00:00,6.28,55
72,2017-01-19 00:00:00,5.36,49
73,2017-01-19 06:00:00,4.92,59
74,2017-01-19 12:00:00,5.69,81
75,2017-01-19 18:00:00,3.6,64
76,2017-01-20 00:00:00,3.8,66
77,2017-01-20 06:00:00,3.28,56
78,2017-01-20 12:00:00,3.5,90
79,2017-01-20 18:00:00,2.38,76
80,2017-01-21 00:00:00,2.58,77
81,2017-01-21 06:00:00,0.56,115
82,2017-01-21 12:00:00,2.18,90
83,2017-01-21 18:00:00,1.8,102
84,2017-01-22 00:00:00,0.44,67
85,2017-01-22 06:00:00,2.57,80
86,2017-01-22 12:00:00,3.01,40
87,2017-01-22 18:00:00,2.49,38
88,2017-01-23 00:00:00,3.01,40
89,2017-01-23 06:00:00,3.14,24
90,2017-01-23 12:00:00,3.99,33
91,2017-01-23 18:00:00,3.41,39
92,2017-01-24 00:00:00,2.19,34
93,2017-01-24 06:00:00,2.21,357
94,2017-01-24 12:00:00,0.5,13
95,2017-01-24 18:00:00,1.63,54
96,2017-01-25 00:00:00,2.58,46
97,2017-01-25 06:00:00,2.85,23
98,2017-01-25 12:00:00,3.84,68
99,2017-01-25 18:00:00,3.27,88
100,2017-01-26 00:00:00,3.0,113
101,2017-01-26 06:00:00,2.63,125
102,2017-01-26 12:00:00,4.05,117
103,2017-01-26 18:00:00,5.27,109
104,2017-01-27 00:00:00,6.21,132
105,2017-01-27 06:00:00,4.4,172
106,2017-01-27 12:00:00,5.12,139
107,2017-01-27 18:00:00,5.93,157
108,2017-01-28 00:00:00,6.32,161
109,2017-01-28 06:00:00,6.03,192
110,2017-01-28 12:00:00,4.33,227
111,2017-01-28 18:00:00,3.48,204
112,2017-01-29 00:00:00,4.47,194
113,2017-01-29 06:00:00,4.33,217
114,2017-01-29 12:00:00,3.68,190
115,2017-01-29 18:00:00,6.14,165
116,2017-01-30 00:00:00,7.43,200
117,2017-01-30 06:00:00,5.05,222
118,2017-01-30 12:00:00,3.8,233
119,2017-01-30 18:00:00,3.74,239
120,2017-01-31 00:00:00,3.1,232
121,2017-01-31 06:00:00,2.3,218
122,2017-01-31 12:00:00,0.51,284
123,2017-01-31 18:00:00,1.61,138
124,2017-02-01 00:00:00,2.96,164
125,2017-02-01 06:00:00,3.47,191
126,2017-02-01 12:00:00,3.75,186
127,2017-02-01 18:00:00,4.92,195
128,2017-02-02 00:00:00,5.27,188
129,2017-02-02 06:00:00,5.47,166
130,2017-02-02 12:00:00,6.69,183
131,2017-02-02 18:00:00,6.1,196
132,2017-02-03 00:00:00,6.43,212
133,2017-02-03 06:00:00,5.9,199
134,2017-02-03 12:00:00,8.13,163
135,2017-02-03 18:00:00,10.46,232
136,2017-02-04 00:00:00,6.1,190
137,2017-02-04 06:00:00,8.33,128
138,2017-02-04 12:00:00,10.08,289
