Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.71,222
1,2017-01-01 06:00:00,2.37,217
2,2017-01-01 12:00:00,3.53,197
3,2017-01-01 18:00:00,2.79,202
4,2017-01-02 00:00:00,2.25,199
5,2017-01-02 06:00:00,1.38,201
6,2017-01-02 12:00:00,2.68,27
7,2017-01-02 18:00:00,2.81,32
8,2017-01-03 00:00:00,1.82,49
9,2017-01-03 06:00:00,1.6,52
10,2017-01-03 12:00:00,0.55,241
11,2017-01-03 18:00:00,1.89,260
12,2017-01-04 00:00:00,3.34,241
13,2017-01-04 06:00:00,3.43,250
14,2017-01-04 12:00:00,4.41,270
15,2017-01-04 18:00:00,2.52,306
16,2017-01-05 00:00:00,2.59,327
17,2017-01-05 06:00:00,2.94,2
18,2017-01-05 12:00:00,2.8,0
19,2017-01-05 18:00:00,2.77,348
20,2017-01-06 00:00:00,2.37,74
21,2017-01-06 06:00:00,1.45,84
22,2017-01-06 12:00:00,2.39,110
23,2017-01-06 18:00:00,1.88,101
24,2017-01-07 00:00:00,1.15,135
25,2017-01-07 06:00:00,1.63,155
26,2017-01-07 12:00:00,3.01,240
27,2017-01-07 18:00:00,2.34,244
28,2017-01-08 00:00:00,1.99,291
29,2017-01-08 06:00:00,2.64,11
30,2017-01-08 12:00:00,0.86,351
31,2017-01-08 18:00:00,1.21,246
32,2017-01-09 00:00:00,2.37,230
33,2017-01-09 06:00:00,2.94,194
34,2017-01-09 12:00:00,3.06,248
35,2017-01-09 18:00:00,3.27,221
36,2017-01-10 00:00:00,4.4,248
37,2017-01-10 06:00:00,2.88,277
38,2017-01-10 12:00:00,4.99,322
39,2017-01-10 18:00:00,2.48,309
40,2017-01-11 00:00:00,2.59,243
41,2017-01-11 06:00:00,3.99,209
42,2017-01-11 12:00:00,5.45,253
43,2017-01-11 18:00:00,4.78,292
44,2017-01-12 00:00:00,4.89,266
45,2017-01-12 06:00:00,3.0,238
46,2017-01-12 12:00:00,6.4,210
47,2017-01-12 18:00:00,11.03,223
48,2017-01-13 00:00:00,7.01,267
49,2017-01-13 06:00:00,5.17,257
50,2017-01-13 12:00:00,6.9,312
51,2017-01-13 18:00:00,5.83,299
52,2017-01-14 00:00:00,5.08,296
53,2017-01-14 06:00:00,3.93,301
54,2017-01-14 12:00:00,5.22,292
55,2017-01-14 18:00:00,3.16,286
56,2017-01-15 00:00:00,2.66,330
57,2017-01-15 06:00:00,2.1,308
58,2017-01-15 12:00:00,2.63,283
59,2017-01-15 18:00:00,3.45,184
