Unnamed: 0,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,2.51,225
1,2017-01-01 06:00:00,2.48,203
2,2017-01-01 12:00:00,4.41,228
3,2017-01-01 18:00:00,2.82,201
4,2017-01-02 00:00:00,2.8,210
5,2017-01-02 06:00:00,0.48,213
6,2017-01-02 12:00:00,1.05,28
7,2017-01-02 18:00:00,3.54,36
8,2017-01-03 00:00:00,3.12,46
9,2017-01-03 06:00:00,1.92,58
10,2017-01-03 12:00:00,1.58,2
11,2017-01-03 18:00:00,1.36,271
12,2017-01-04 00:00:00,4.56,262
13,2017-01-04 06:00:00,4.77,252
14,2017-01-04 12:00:00,5.23,265
15,2017-01-04 18:00:00,4.22,335
16,2017-01-05 00:00:00,4.93,347
17,2017-01-05 06:00:00,3.47,353
18,2017-01-05 12:00:00,2.96,8
19,2017-01-05 18:00:00,2.66,30
20,2017-01-06 00:00:00,3.03,71
21,2017-01-06 06:00:00,1.96,93
22,2017-01-06 12:00:00,2.03,90
23,2017-01-06 18:00:00,2.96,76
24,2017-01-07 00:00:00,2.15,105
25,2017-01-07 06:00:00,1.09,126
26,2017-01-07 12:00:00,1.75,231
27,2017-01-07 18:00:00,1.94,237
28,2017-01-08 00:00:00,1.38,276
29,2017-01-08 06:00:00,2.55,45
30,2017-01-08 12:00:00,1.37,40
31,2017-01-08 18:00:00,1.46,102
32,2017-01-09 00:00:00,1.56,188
33,2017-01-09 06:00:00,2.48,185
34,2017-01-09 12:00:00,3.71,222
35,2017-01-09 18:00:00,4.27,232
36,2017-01-10 00:00:00,6.49,216
37,2017-01-10 06:00:00,4.14,318
38,2017-01-10 12:00:00,3.98,307
39,2017-01-10 18:00:00,2.82,332
40,2017-01-11 00:00:00,2.44,248
41,2017-01-11 06:00:00,4.71,217
42,2017-01-11 12:00:00,6.49,241
43,2017-01-11 18:00:00,5.82,289
44,2017-01-12 00:00:00,5.26,276
45,2017-01-12 06:00:00,3.38,238
46,2017-01-12 12:00:00,4.74,201
47,2017-01-12 18:00:00,10.28,206
48,2017-01-13 00:00:00,8.3,258
49,2017-01-13 06:00:00,6.83,262
50,2017-01-13 12:00:00,8.21,311
51,2017-01-13 18:00:00,8.11,294
52,2017-01-14 00:00:00,5.18,292
53,2017-01-14 06:00:00,5.77,312
54,2017-01-14 12:00:00,3.95,269
55,2017-01-14 18:00:00,4.1,314
56,2017-01-15 00:00:00,4.26,346
57,2017-01-15 06:00:00,2.67,316
58,2017-01-15 12:00:00,2.51,284
59,2017-01-15 18:00:00,3.67,182
60,2017-01-16 00:00:00,2.89,127
61,2017-01-16 06:00:00,3.63,48
62,2017-01-16 12:00:00,3.43,42
63,2017-01-16 18:00:00,3.41,40
64,2017-01-17 00:00:00,4.51,39
65,2017-01-17 06:00:00,6.24,41
66,2017-01-17 12:00:00,7.0,31
67,2017-01-17 18:00:00,6.03,32
68,2017-01-18 00:00:00,6.47,41
69,2017-01-18 06:00:00,6.71,38
70,2017-01-18 12:00:00,7.93,58
71,2017-01-18 18:00:00,6.19,56
72,2017-01-19 00:00:00,5.47,50
73,2017-01-19 06:00:00,4.86,62
74,2017-01-19 12:00:00,4.69,79
75,2017-01-19 18:00:00,2.9,59
76,2017-01-20 00:00:00,3.64,60
77,2017-01-20 06:00:00,2.83,52
78,2017-01-20 12:00:00,3.16,97
79,2017-01-20 18:00:00,2.09,76
80,2017-01-21 00:00:00,2.14,77
81,2017-01-21 06:00:00,1.05,136
82,2017-01-21 12:00:00,2.56,96
83,2017-01-21 18:00:00,1.89,95
84,2017-01-22 00:00:00,1.01,76
85,2017-01-22 06:00:00,3.4,79
86,2017-01-22 12:00:00,3.6,47
87,2017-01-22 18:00:00,2.67,41
88,2017-01-23 00:00:00,3.39,48
89,2017-01-23 06:00:00,3.21,31
90,2017-01-23 12:00:00,4.05,35
91,2017-01-23 18:00:00,3.64,39
92,2017-01-24 00:00:00,2.74,34
93,2017-01-24 06:00:00,2.6,0
94,2017-01-24 12:00:00,1.39,38
95,2017-01-24 18:00:00,2.36,43
96,2017-01-25 00:00:00,2.97,37
97,2017-01-25 06:00:00,3.07,34
98,2017-01-25 12:00:00,4.24,63
99,2017-01-25 18:00:00,3.16,85
100,2017-01-26 00:00:00,2.71,110
101,2017-01-26 06:00:00,2.55,121
102,2017-01-26 12:00:00,3.88,115
103,2017-01-26 18:00:00,5.06,104
104,2017-01-27 00:00:00,6.49,134
105,2017-01-27 06:00:00,4.92,172
106,2017-01-27 12:00:00,6.03,144
107,2017-01-27 18:00:00,6.8,160
108,2017-01-28 00:00:00,6.44,161
109,2017-01-28 06:00:00,5.71,186
110,2017-01-28 12:00:00,4.29,214
111,2017-01-28 18:00:00,3.07,213
112,2017-01-29 00:00:00,4.89,193
113,2017-01-29 06:00:00,4.55,217
114,2017-01-29 12:00:00,3.23,192
115,2017-01-29 18:00:00,5.39,164
116,2017-01-30 00:00:00,6.85,194
117,2017-01-30 06:00:00,5.6,217
118,2017-01-30 12:00:00,3.92,232
119,2017-01-30 18:00:00,3.96,232
120,2017-01-31 00:00:00,3.62,230
121,2017-01-31 06:00:00,3.19,214
122,2017-01-31 12:00:00,1.26,225
123,2017-01-31 18:00:00,1.48,155
124,2017-02-01 00:00:00,2.37,148
125,2017-02-01 06:00:00,3.2,175
126,2017-02-01 12:00:00,3.36,176
127,2017-02-01 18:00:00,4.76,190
128,2017-02-02 00:00:00,4.51,184
129,2017-02-02 06:00:00,5.37,156
130,2017-02-02 12:00:00,5.89,169
131,2017-02-02 18:00:00,5.94,189
132,2017-02-03 00:00:00,6.12,210
133,2017-02-03 06:00:00,5.92,199
134,2017-02-03 12:00:00,7.33,164
135,2017-02-03 18:00:00,10.53,224
136,2017-02-04 00:00:00,6.07,193
137,2017-02-04 06:00:00,8.32,138
138,2017-02-04 12:00:00,11.4,281
139,2017-02-04 18:00:00,5.13,230
140,2017-02-05 00:00:00,6.21,171
141,2017-02-05 06:00:00,4.94,150
142,2017-02-05 12:00:00,5.18,221
143,2017-02-05 18:00:00,1.45,111
144,2017-02-06 00:00:00,6.66,315
145,2017-02-06 06:00:00,6.09,323
146,2017-02-06 12:00:00,3.62,318
147,2017-02-06 18:00:00,2.48,236
148,2017-02-07 00:00:00,5.1,178
149,2017-02-07 06:00:00,3.96,184
150,2017-02-07 12:00:00,4.22,286
151,2017-02-07 18:00:00,3.35,306
152,2017-02-08 00:00:00,3.05,323
153,2017-02-08 06:00:00,2.77,327
154,2017-02-08 12:00:00,6.1,344
155,2017-02-08 18:00:00,3.73,345
156,2017-02-09 00:00:00,3.81,354
157,2017-02-09 06:00:00,3.24,2
158,2017-02-09 12:00:00,4.74,40
159,2017-02-09 18:00:00,3.75,62
160,2017-02-10 00:00:00,3.16,43
161,2017-02-10 06:00:00,2.68,32
162,2017-02-10 12:00:00,3.24,50
163,2017-02-10 18:00:00,3.89,8
164,2017-02-11 00:00:00,3.32,350
165,2017-02-11 06:00:00,3.07,341
166,2017-02-11 12:00:00,1.76,331
167,2017-02-11 18:00:00,1.52,26
168,2017-02-12 00:00:00,2.34,57
169,2017-02-12 06:00:00,3.78,68
170,2017-02-12 12:00:00,3.23,89
171,2017-02-12 18:00:00,6.11,111
172,2017-02-13 00:00:00,6.0,101
173,2017-02-13 06:00:00,5.1,93
174,2017-02-13 12:00:00,6.25,93
175,2017-02-13 18:00:00,5.44,102
176,2017-02-14 00:00:00,4.3,124
177,2017-02-14 06:00:00,5.04,163
178,2017-02-14 12:00:00,5.41,153
179,2017-02-14 18:00:00,4.81,159
180,2017-02-15 00:00:00,4.39,160
181,2017-02-15 06:00:00,4.11,187
182,2017-02-15 12:00:00,3.3,184
183,2017-02-15 18:00:00,2.5,193
184,2017-02-16 00:00:00,0.62,200
185,2017-02-16 06:00:00,1.31,151
186,2017-02-16 12:00:00,0.93,263
187,2017-02-16 18:00:00,2.01,328
188,2017-02-17 00:00:00,2.69,328
189,2017-02-17 06:00:00,1.0,50
190,2017-02-17 12:00:00,1.34,48
191,2017-02-17 18:00:00,1.88,46
192,2017-02-18 00:00:00,2.75,89
193,2017-02-18 06:00:00,2.21,87
194,2017-02-18 12:00:00,3.08,85
195,2017-02-18 18:00:00,3.75,78
196,2017-02-19 00:00:00,0.95,74
197,2017-02-19 06:00:00,0.3,266
198,2017-02-19 12:00:00,1.52,257
199,2017-02-19 18:00:00,2.79,267
200,2017-02-20 00:00:00,3.74,250
201,2017-02-20 06:00:00,4.04,226
202,2017-02-20 12:00:00,5.13,229
203,2017-02-20 18:00:00,4.82,244
204,2017-02-21 00:00:00,4.9,253
205,2017-02-21 06:00:00,4.68,262
206,2017-02-21 12:00:00,4.97,264
207,2017-02-21 18:00:00,4.3,249
208,2017-02-22 00:00:00,4.94,243
209,2017-02-22 06:00:00,5.89,237
210,2017-02-22 12:00:00,6.88,245
211,2017-02-22 18:00:00,5.45,236
212,2017-02-23 00:00:00,6.21,234
213,2017-02-23 06:00:00,7.6,218
214,2017-02-23 12:00:00,9.94,229
215,2017-02-23 18:00:00,7.22,276
216,2017-02-24 00:00:00,5.64,268
217,2017-02-24 06:00:00,4.43,281
218,2017-02-24 12:00:00,5.38,316
219,2017-02-24 18:00:00,3.05,340
220,2017-02-25 00:00:00,0.36,244
221,2017-02-25 06:00:00,2.12,189
222,2017-02-25 12:00:00,2.82,197
223,2017-02-25 18:00:00,4.15,196
224,2017-02-26 00:00:00,4.63,205
225,2017-02-26 06:00:00,5.41,217
226,2017-02-26 12:00:00,5.32,212
227,2017-02-26 18:00:00,5.88,207
228,2017-02-27 00:00:00,6.51,215
229,2017-02-27 06:00:00,7.38,200
230,2017-02-27 12:00:00,11.88,198
231,2017-02-27 18:00:00,7.33,226
232,2017-02-28 00:00:00,7.46,225
233,2017-02-28 06:00:00,6.5,206
234,2017-02-28 12:00:00,11.64,244
235,2017-02-28 18:00:00,5.74,253
236,2017-03-01 00:00:00,8.52,250
237,2017-03-01 06:00:00,6.45,239
238,2017-03-01 12:00:00,8.96,206
239,2017-03-01 18:00:00,7.91,225
240,2017-03-02 00:00:00,8.41,258
241,2017-03-02 06:00:00,5.55,257
242,2017-03-02 12:00:00,4.1,241
243,2017-03-02 18:00:00,2.44,200
244,2017-03-03 00:00:00,3.83,142
245,2017-03-03 06:00:00,4.26,152
246,2017-03-03 12:00:00,4.8,162
247,2017-03-03 18:00:00,5.09,164
248,2017-03-04 00:00:00,6.45,172
249,2017-03-04 06:00:00,4.19,191
250,2017-03-04 12:00:00,4.5,272
251,2017-03-04 18:00:00,5.25,230
252,2017-03-05 00:00:00,5.12,230
253,2017-03-05 06:00:00,6.41,203
254,2017-03-05 12:00:00,9.69,204
255,2017-03-05 18:00:00,9.34,260
256,2017-03-06 00:00:00,8.31,245
257,2017-03-06 06:00:00,4.53,232
258,2017-03-06 12:00:00,1.04,308
259,2017-03-06 18:00:00,6.13,283
260,2017-03-07 00:00:00,6.48,280
261,2017-03-07 06:00:00,5.97,284
262,2017-03-07 12:00:00,5.12,285
263,2017-03-07 18:00:00,1.79,267
264,2017-03-08 00:00:00,3.75,194
265,2017-03-08 06:00:00,5.64,198
266,2017-03-08 12:00:00,7.01,245
267,2017-03-08 18:00:00,6.87,242
268,2017-03-09 00:00:00,6.19,246
269,2017-03-09 06:00:00,6.07,236
270,2017-03-09 12:00:00,5.71,259
271,2017-03-09 18:00:00,3.05,269
272,2017-03-10 00:00:00,1.65,332
273,2017-03-10 06:00:00,1.86,100
274,2017-03-10 12:00:00,3.08,112
275,2017-03-10 18:00:00,3.16,83
276,2017-03-11 00:00:00,3.35,112
277,2017-03-11 06:00:00,2.55,92
278,2017-03-11 12:00:00,2.35,98
279,2017-03-11 18:00:00,3.06,67
280,2017-03-12 00:00:00,1.07,120
281,2017-03-12 06:00:00,0.31,251
282,2017-03-12 12:00:00,1.89,295
283,2017-03-12 18:00:00,5.01,351
284,2017-03-13 00:00:00,4.29,344
285,2017-03-13 06:00:00,4.91,358
286,2017-03-13 12:00:00,4.13,359
287,2017-03-13 18:00:00,4.34,354
