,Time,Speed(m/s),Direction (deg N)
0,2017-01-01 00:00:00,1.45,222
1,2017-01-01 06:00:00,2.09,214
2,2017-01-01 12:00:00,3.07,207
3,2017-01-01 18:00:00,2.66,201
4,2017-01-02 00:00:00,1.87,206
5,2017-01-02 06:00:00,1.71,195
6,2017-01-02 12:00:00,1.44,10
7,2017-01-02 18:00:00,2.85,29
8,2017-01-03 00:00:00,1.97,57
9,2017-01-03 06:00:00,1.62,48
10,2017-01-03 12:00:00,0.34,258
11,2017-01-03 18:00:00,1.47,257
12,2017-01-04 00:00:00,3.23,230
13,2017-01-04 06:00:00,3.37,243
14,2017-01-04 12:00:00,4.79,258
15,2017-01-04 18:00:00,2.34,294
16,2017-01-05 00:00:00,2.4,326
17,2017-01-05 06:00:00,2.57,5
18,2017-01-05 12:00:00,2.57,352
19,2017-01-05 18:00:00,2.57,358
20,2017-01-06 00:00:00,2.58,65
21,2017-01-06 06:00:00,1.61,69
22,2017-01-06 12:00:00,2.65,90
23,2017-01-06 18:00:00,2.18,72
24,2017-01-07 00:00:00,1.42,88
25,2017-01-07 06:00:00,1.59,113
26,2017-01-07 12:00:00,2.1,244
27,2017-01-07 18:00:00,2.43,243
28,2017-01-08 00:00:00,2.31,256
29,2017-01-08 06:00:00,2.37,11
30,2017-01-08 12:00:00,0.99,30
31,2017-01-08 18:00:00,1.25,239
32,2017-01-09 00:00:00,2.35,248
33,2017-01-09 06:00:00,2.67,196
34,2017-01-09 12:00:00,2.42,226
35,2017-01-09 18:00:00,2.94,207
36,2017-01-10 00:00:00,5.72,213
37,2017-01-10 06:00:00,2.42,284
38,2017-01-10 12:00:00,4.79,325
39,2017-01-10 18:00:00,1.97,311
40,2017-01-11 00:00:00,2.53,256
41,2017-01-11 06:00:00,3.98,203
42,2017-01-11 12:00:00,5.61,244
43,2017-01-11 18:00:00,4.32,279
44,2017-01-12 00:00:00,5.09,265
45,2017-01-12 06:00:00,2.71,232
46,2017-01-12 12:00:00,5.93,210
47,2017-01-12 18:00:00,10.71,215
48,2017-01-13 00:00:00,7.25,265
49,2017-01-13 06:00:00,4.94,251
50,2017-01-13 12:00:00,6.57,312
51,2017-01-13 18:00:00,5.96,294
52,2017-01-14 00:00:00,4.72,288
53,2017-01-14 06:00:00,3.57,300
54,2017-01-14 12:00:00,4.63,278
55,2017-01-14 18:00:00,2.53,272
56,2017-01-15 00:00:00,2.6,333
57,2017-01-15 06:00:00,1.98,308
58,2017-01-15 12:00:00,2.52,272
59,2017-01-15 18:00:00,2.41,178
60,2017-01-16 00:00:00,1.94,128
61,2017-01-16 06:00:00,2.46,42
62,2017-01-16 12:00:00,2.63,20
63,2017-01-16 18:00:00,2.84,12
64,2017-01-17 00:00:00,3.27,31
65,2017-01-17 06:00:00,3.45,26
66,2017-01-17 12:00:00,6.13,34
67,2017-01-17 18:00:00,4.69,23
68,2017-01-18 00:00:00,5.37,40
69,2017-01-18 06:00:00,5.04,33
70,2017-01-18 12:00:00,5.61,53
71,2017-01-18 18:00:00,3.89,32
72,2017-01-19 00:00:00,4.3,43
73,2017-01-19 06:00:00,4.28,49
74,2017-01-19 12:00:00,3.4,62
75,2017-01-19 18:00:00,1.98,40
76,2017-01-20 00:00:00,2.06,51
77,2017-01-20 06:00:00,2.37,64
78,2017-01-20 12:00:00,2.58,95
79,2017-01-20 18:00:00,2.09,60
80,2017-01-21 00:00:00,2.1,92
81,2017-01-21 06:00:00,1.63,107
82,2017-01-21 12:00:00,1.92,103
83,2017-01-21 18:00:00,1.75,80
84,2017-01-22 00:00:00,1.95,83
85,2017-01-22 06:00:00,2.83,62
86,2017-01-22 12:00:00,3.08,38
87,2017-01-22 18:00:00,2.84,29
88,2017-01-23 00:00:00,2.63,28
89,2017-01-23 06:00:00,2.56,11
90,2017-01-23 12:00:00,3.4,29
91,2017-01-23 18:00:00,2.45,14
92,2017-01-24 00:00:00,2.12,18
93,2017-01-24 06:00:00,0.71,17
94,2017-01-24 12:00:00,1.38,355
95,2017-01-24 18:00:00,1.82,19
96,2017-01-25 00:00:00,2.03,33
97,2017-01-25 06:00:00,2.37,21
98,2017-01-25 12:00:00,3.5,54
99,2017-01-25 18:00:00,2.43,91
100,2017-01-26 00:00:00,2.74,104
101,2017-01-26 06:00:00,2.85,103
102,2017-01-26 12:00:00,3.29,109
103,2017-01-26 18:00:00,3.47,103
