Time,Speed(m/s),Direction (deg N)
2020/07/08 06:00UTC,2.01,280
2020/07/08 09:00UTC,3.23,264
2020/07/08 12:00UTC,4.20,283
2020/07/08 15:00UTC,3.95,287
2020/07/08 18:00UTC,2.71,316
2020/07/08 21:00UTC,1.94,354
2020/07/09 00:00UTC,1.10,304
2020/07/09 03:00UTC,1.34,307
2020/07/09 06:00UTC,1.54,237
2020/07/09 09:00UTC,2.86,253
2020/07/09 12:00UTC,4.13,252
2020/07/09 15:00UTC,5.00,253
2020/07/09 18:00UTC,3.01,259
2020/07/09 21:00UTC,2.69,262
2020/07/10 00:00UTC,2.42,303
2020/07/10 03:00UTC,2.25,279
2020/07/10 06:00UTC,2.71,267
2020/07/10 09:00UTC,4.76,274
2020/07/10 12:00UTC,4.46,277
2020/07/10 15:00UTC,4.06,314
2020/07/10 18:00UTC,5.54,334
2020/07/10 21:00UTC,4.53,340
2020/07/11 00:00UTC,3.15,332
2020/07/11 03:00UTC,2.80,330
2020/07/11 06:00UTC,2.72,343
2020/07/11 09:00UTC,3.48,358
2020/07/11 12:00UTC,3.41,359
2020/07/11 15:00UTC,3.49,358
2020/07/11 18:00UTC,3.02,3
2020/07/11 21:00UTC,3.52,13
2020/07/12 00:00UTC,3.92,28
2020/07/12 03:00UTC,3.66,25
2020/07/12 06:00UTC,3.99,34
2020/07/12 09:00UTC,4.75,51
2020/07/12 12:00UTC,4.65,71
2020/07/12 15:00UTC,4.63,74
2020/07/12 18:00UTC,3.58,73
2020/07/12 21:00UTC,3.43,58
2020/07/13 00:00UTC,3.30,35
2020/07/13 03:00UTC,3.29,28
2020/07/13 06:00UTC,3.34,35
2020/07/13 09:00UTC,3.39,32
2020/07/13 12:00UTC,2.85,42
2020/07/13 15:00UTC,2.89,343
2020/07/13 18:00UTC,4.42,331
2020/07/13 21:00UTC,5.06,346
2020/07/14 00:00UTC,3.95,339
2020/07/14 03:00UTC,3.40,329
2020/07/14 06:00UTC,3.12,325
2020/07/14 09:00UTC,2.79,304
2020/07/14 12:00UTC,3.28,283
2020/07/14 15:00UTC,4.36,301
2020/07/14 18:00UTC,3.57,314
2020/07/14 21:00UTC,3.12,338
2020/07/15 00:00UTC,2.60,334
2020/07/15 03:00UTC,1.86,336
2020/07/15 06:00UTC,1.27,327
2020/07/15 09:00UTC,1.73,252
2020/07/15 12:00UTC,2.16,247
2020/07/15 15:00UTC,2.02,258
2020/07/15 18:00UTC,1.33,267
2020/07/15 21:00UTC,0.98,296
2020/07/16 00:00UTC,2.02,13
2020/07/16 03:00UTC,1.83,26
2020/07/16 06:00UTC,2.09,29
2020/07/16 09:00UTC,2.30,48
2020/07/16 12:00UTC,1.32,9
2020/07/16 15:00UTC,0.96,4
2020/07/16 18:00UTC,3.99,333
2020/07/16 21:00UTC,3.62,359
2020/07/17 00:00UTC,2.46,16
2020/07/17 03:00UTC,2.62,348
2020/07/17 06:00UTC,2.74,347
2020/07/17 09:00UTC,2.28,347
2020/07/17 12:00UTC,2.41,307
2020/07/17 15:00UTC,2.03,317
2020/07/17 18:00UTC,1.90,351
2020/07/17 21:00UTC,1.98,348
2020/07/18 00:00UTC,1.47,41
2020/07/18 03:00UTC,0.42,30
2020/07/18 06:00UTC,0.53,20
